Date,Open,Close
2023-01-01,80.55,80.29
2023-01-02,80.77,80.77
2023-01-03,80.61,81.24
2023-01-04,79.81,81.05
2023-01-05,79.92,80.07
2023-01-06,79.4,80.72
2023-01-07,79.19,80.81
2023-01-08,78.98,80.9
2023-01-09,78.77,80.99
2023-01-10,77.8,78.97
2023-01-11,79.65,78.95
2023-01-12,78.49,80.09
2023-01-13,79.12,77.92
2023-01-14,78.89,78.71
2023-01-15,78.67,79.5
2023-01-16,78.44,80.28
2023-01-17,77.97,78.57
2023-01-18,78.44,78.1
2023-01-19,79.26,79.14
2023-01-20,80.22,79.39
2023-01-21,80.33,80.13
2023-01-22,80.45,80.87
2023-01-23,80.57,81.62
2023-01-24,80.56,80.28
2023-01-25,80.35,80.66
2023-01-26,79.31,79.9
2023-01-27,78.26,79.14
2023-01-28,79.0,79.37
2023-01-29,79.73,79.59
2023-01-30,80.46,79.82
2023-01-31,86.54,81.06
2023-02-01,83.53,86.96
2023-02-02,85.38,82.51
2023-02-03,83.85,87.26
2023-02-04,84.24,86.54
2023-02-05,84.64,85.83
2023-02-06,85.03,85.11
2023-02-07,83.93,85.43
2023-02-08,84.14,84.71
2023-02-09,85.6,84.29
2023-02-10,84.15,86.12
2023-02-11,83.41,85.83
2023-02-12,82.68,85.53
2023-02-13,81.94,85.24
2023-02-14,82.47,83.51
2023-02-15,83.68,82.33
2023-02-16,83.58,84.29
2023-02-17,84.13,83.58
2023-02-18,83.75,83.85
2023-02-19,83.38,84.12
2023-02-20,83.01,84.39
2023-02-21,83.03,84.26
2023-02-22,81.85,82.95
2023-02-23,82.04,81.05
2023-02-24,82.04,82.31
2023-02-25,81.52,82.39
2023-02-26,81.0,82.48
2023-02-27,80.48,82.57
2023-02-28,80.78,80.15
2023-03-01,81.55,80.84
2023-03-02,81.15,82.1
2023-03-03,81.73,81.43
2023-03-04,81.56,81.73
2023-03-05,81.38,82.04
2023-03-06,81.21,82.34
2023-03-07,81.51,82.03
2023-03-08,81.81,81.71
2023-03-09,81.88,82.32
2023-03-10,82.01,81.98
2023-03-11,81.37,82.26
2023-03-12,80.73,82.53
2023-03-13,80.08,82.81
2023-03-14,77.05,79.74
2023-03-15,77.49,78.17
2023-03-16,76.33,78.17
2023-03-17,78.29,77.09
2023-03-18,77.84,77.49
2023-03-19,77.38,77.89
2023-03-20,76.93,78.29
2023-03-21,78.02,77.23
2023-03-22,80.1,78.79
2023-03-23,79.03,80.09
2023-03-24,79.15,79.8
2023-03-25,78.74,79.45
2023-03-26,78.34,79.1
2023-03-27,77.93,78.76
2023-03-28,76.32,77.34
2023-03-29,78.24,75.92
2023-03-30,78.58,78.24
2023-03-31,78.92,80.57
2023-04-01,79.89,80.16
2023-04-02,80.87,79.74
2023-04-03,81.84,79.33
2023-04-04,82.08,80.58
2023-04-05,82.32,81.84
2023-04-06,81.98,83.13
2023-04-07,81.75,82.84
2023-04-08,81.53,82.56
2023-04-09,81.3,82.28
2023-04-10,81.07,82.0
2023-04-11,81.98,81.49
2023-04-12,83.27,82.71
2023-04-13,87.2,84.1
2023-04-14,87.47,85.4
2023-04-15,87.74,86.71
2023-04-16,88.02,88.01
2023-04-17,88.29,89.31
2023-04-18,87.84,88.29
2023-04-19,87.36,87.91
2023-04-20,88.31,87.52
2023-04-21,88.42,88.87
2023-04-22,88.23,88.81
2023-04-23,88.04,88.74
2023-04-24,87.85,88.67
2023-04-25,88.01,88.28
2023-04-26,85.86,88.85
2023-04-27,85.78,86.72
2023-04-28,86.46,86.2
2023-04-29,86.74,86.41
2023-04-30,87.02,86.62
2023-05-01,87.29,86.83
2023-05-02,87.57,87.04
2023-05-03,88.42,87.57
2023-05-04,89.6,89.42
2023-05-05,87.63,89.74
2023-05-06,88.49,89.13
2023-05-07,89.36,88.52
2023-05-08,90.23,87.91
2023-05-09,89.71,94.59
2023-05-10,87.85,90.49
2023-05-11,88.59,88.66
2023-05-12,88.4,89.43
2023-05-13,88.44,88.86
2023-05-14,88.47,88.29
2023-05-15,88.51,87.72
2023-05-16,87.51,89.25
2023-05-17,87.32,87.91
2023-05-18,86.86,88.2
2023-05-19,86.83,87.72
2023-05-20,86.93,87.22
2023-05-21,87.03,86.71
2023-05-22,87.13,86.2
2023-05-23,87.75,87.53
2023-05-24,86.02,88.28
2023-05-25,82.66,86.54
2023-05-26,83.46,83.33
2023-05-27,83.82,83.37
2023-05-28,84.18,83.42
2023-05-29,84.54,83.47
2023-05-30,85.38,85.14
2023-05-31,84.77,86.19
2023-06-01,85.19,85.02
2023-06-02,84.5,84.35
2023-06-03,84.71,84.65
2023-06-04,84.93,84.95
2023-06-05,85.15,85.24
2023-06-06,84.68,85.72
2023-06-07,84.91,84.86
2023-06-08,83.35,84.86
2023-06-09,82.5,84.18
2023-06-10,82.27,83.77
2023-06-11,82.05,83.36
2023-06-12,81.83,82.95
2023-06-13,82.6,82.92
2023-06-14,82.26,83.33
2023-06-15,81.83,83.08
2023-06-16,82.24,82.94
2023-06-17,81.83,82.94
2023-06-18,81.42,82.93
2023-06-19,81.02,82.92
2023-06-20,80.96,81.06
2023-06-21,81.0,81.62
2023-06-22,80.54,80.99
2023-06-23,79.8,80.86
2023-06-24,79.08,80.16
2023-06-25,78.35,79.46
2023-06-26,77.63,78.76
2023-06-27,80.34,77.63
2023-06-28,80.62,80.95
2023-06-29,80.24,80.83
2023-06-30,79.86,80.71
2023-07-01,79.6,80.69
2023-07-02,79.34,80.67
2023-07-03,79.08,80.65
2023-07-04,78.83,79.33
2023-07-05,79.0,79.99
2023-07-06,80.71,78.95
2023-07-07,80.73,81.06
2023-07-08,80.62,81.01
2023-07-09,80.51,80.96
2023-07-10,80.4,80.91
2023-07-11,80.76,80.47
2023-07-12,80.98,81.43
2023-07-13,80.08,81.43
2023-07-14,78.96,80.08
2023-07-15,79.23,79.77
2023-07-16,79.51,79.45
2023-07-17,79.79,79.14
2023-07-18,79.83,80.0
2023-07-19,79.86,80.47
2023-07-20,80.92,80.28
2023-07-21,81.05,80.92
2023-07-22,80.59,81.03
2023-07-23,80.13,81.13
2023-07-24,79.67,81.24
2023-07-25,80.34,79.41
2023-07-26,80.49,80.66
2023-07-27,79.97,81.14
2023-07-28,79.82,80.28
2023-07-29,80.2,80.25
2023-07-30,80.59,80.22
2023-07-31,80.98,80.19
2023-08-01,82.23,81.62
2023-08-02,82.21,82.95
2023-08-03,80.29,82.95
2023-08-04,81.29,82.54
2023-08-05,81.1,82.22
2023-08-06,80.92,81.89
2023-08-07,80.74,81.56
2023-08-08,80.87,80.8
2023-08-09,80.66,80.87
2023-08-10,80.92,81.15
2023-08-11,81.01,81.74
2023-08-12,81.19,81.65
2023-08-13,81.37,81.57
2023-08-14,81.55,81.48
2023-08-15,83.87,81.57
2023-08-16,86.18,81.65
2023-08-17,88.06,86.67
2023-08-18,86.09,88.79
2023-08-19,85.77,87.93
2023-08-20,85.45,87.06
2023-08-21,85.13,86.19
2023-08-22,85.32,85.88
2023-08-23,87.18,85.32
2023-08-24,89.13,87.85
2023-08-25,88.8,89.57
2023-08-26,89.19,89.58
2023-08-27,89.58,89.59
2023-08-28,89.96,89.6
2023-08-29,88.76,89.74
2023-08-30,87.95,88.83
2023-08-31,86.83,88.64
2023-09-01,89.14,87.57
2023-09-02,90.01,88.19
2023-09-03,90.88,88.8
2023-09-04,91.75,89.41
2023-09-05,93.02,92.37
2023-09-06,105.41,94.57
2023-09-07,107.5,105.71
2023-09-08,106.75,108.07
2023-09-09,108.89,108.01
2023-09-10,111.03,107.96
2023-09-11,113.17,107.9
2023-09-12,107.84,115.99
2023-09-13,117.55,109.08
2023-09-14,117.02,118.92
2023-09-15,118.78,116.94
2023-09-16,118.58,118.02
2023-09-17,118.38,119.1
2023-09-18,118.17,120.19
2023-09-19,118.18,118.74
2023-09-20,118.18,117.29
2023-09-21,117.57,118.71
2023-09-22,116.42,118.72
2023-09-23,116.74,118.06
2023-09-24,117.07,117.4
2023-09-25,117.4,116.74
2023-09-26,117.07,118.36
2023-09-27,117.09,117.12
2023-09-28,117.02,116.86
2023-09-29,117.42,117.95
2023-09-30,117.25,118.05
2023-10-01,117.09,118.16
2023-10-02,116.92,118.27
2023-10-03,116.76,118.37
2023-10-04,117.01,116.76
2023-10-05,117.2,118.12
2023-10-06,115.54,118.22
2023-10-07,114.39,117.01
2023-10-08,113.24,115.8
2023-10-09,112.09,114.59
2023-10-10,117.35,115.11
2023-10-11,125.35,118.0
2023-10-12,127.33,126.61
2023-10-13,126.51,127.33
2023-10-14,124.47,127.27
2023-10-15,122.44,127.22
2023-10-16,120.41,127.16
2023-10-17,119.58,121.46
2023-10-18,116.77,119.88
2023-10-19,117.21,116.54
2023-10-20,118.49,117.21
2023-10-21,116.56,117.64
2023-10-22,114.63,118.06
2023-10-23,112.7,118.49
2023-10-24,111.05,115.6
2023-10-25,109.4,112.7
2023-10-26,114.79,109.08
2023-10-27,113.85,116.54
2023-10-28,112.8,115.63
2023-10-29,111.75,114.71
2023-10-30,110.71,113.79
2023-10-31,107.97,109.66
2023-11-01,105.33,107.97
2023-11-02,108.39,106.92
2023-11-03,109.09,109.08
2023-11-04,109.34,109.6
2023-11-05,109.59,110.12
2023-11-06,109.84,110.65
2023-11-07,108.55,109.86
2023-11-08,108.29,110.05
2023-11-09,108.84,108.09
2023-11-10,108.7,108.84
2023-11-11,109.28,108.95
2023-11-12,109.86,109.06
2023-11-13,110.44,109.17
2023-11-14,110.74,110.01
2023-11-15,111.04,110.85
2023-11-16,112.95,111.83
2023-11-17,112.03,112.95
2023-11-18,112.1,112.64
2023-11-19,112.16,112.34
2023-11-20,112.22,112.03
2023-11-21,111.86,112.99
2023-11-22,112.53,111.92
2023-11-23,111.57,112.54
2023-11-24,111.36,111.83
2023-11-25,111.02,111.71
2023-11-26,110.69,111.59
2023-11-27,110.36,111.47
2023-11-28,110.03,111.36
2023-11-29,110.44,111.12
2023-11-30,110.86,110.25
2023-12-01,112.12,110.84
2023-12-02,111.88,111.81
2023-12-03,111.64,112.78
2023-12-04,111.4,113.75
2023-12-05,112.26,111.04
2023-12-06,113.2,113.48
2023-12-07,113.02,114.05
2023-12-08,112.25,113.79
2023-12-09,112.43,113.59
2023-12-10,112.62,113.38
2023-12-11,112.8,113.17
2023-12-12,112.7,113.79
2023-12-13,114.36,113.49
2023-12-14,114.57,115.19
2023-12-15,114.58,115.17
2023-12-16,114.39,115.32
2023-12-17,114.21,115.48
2023-12-18,114.03,115.63
2023-12-19,114.76,114.55
2023-12-20,112.55,115.12
2023-12-21,113.75,112.06
2023-12-22,116.12,113.99
2023-12-23,117.0,115.22
2023-12-24,117.88,116.45
2023-12-25,118.77,117.67
2023-12-26,119.65,118.9
2023-12-27,119.75,122.44
2023-12-28,119.71,120.57
2023-12-29,119.86,119.94
2023-12-30,119.21,120.25
2023-12-31,118.57,120.56
