Date,Open,Close
2022-01-01,906.22,885.04
2022-01-02,906.38,892.31
2022-01-03,906.55,899.59
2022-01-04,903.93,909.56
2022-01-05,901.22,905.51
2022-01-06,900.28,892.68
2022-01-07,935.14,905.41
2022-01-08,939.6,916.31
2022-01-09,944.06,927.2
2022-01-10,948.52,938.1
2022-01-11,983.62,952.91
2022-01-12,977.5,987.47
2022-01-13,980.51,983.42
2022-01-14,979.42,978.59
2022-01-15,985.35,978.86
2022-01-16,991.27,979.14
2022-01-17,997.2,979.42
2022-01-18,979.33,1002.14
2022-01-19,952.22,967.82
2022-01-20,958.69,946.99
2022-01-21,938.25,944.02
2022-01-22,915.32,941.98
2022-01-23,892.4,939.94
2022-01-24,869.47,937.9
2022-01-25,845.67,851.2
2022-01-26,847.1,847.65
2022-01-27,848.54,844.09
2022-01-28,844.78,855.74
2022-01-29,848.26,857.72
2022-01-30,851.73,859.69
2022-01-31,855.2,861.67
2022-02-01,861.77,863.94
2022-02-02,872.38,867.4
2022-02-03,857.62,872.93
2022-02-04,870.41,859.1
2022-02-05,863.84,862.36
2022-02-06,857.27,865.62
2022-02-07,850.71,868.88
2022-02-08,826.96,853.18
2022-02-09,847.55,834.22
2022-02-10,856.58,850.21
2022-02-11,827.7,849.13
2022-02-12,812.74,838.82
2022-02-13,797.78,828.52
2022-02-14,782.82,818.22
2022-02-15,801.88,784.05
2022-02-16,810.57,808.54
2022-02-17,792.2,810.57
2022-02-18,786.77,789.98
2022-02-19,783.08,788.32
2022-02-20,779.4,786.65
2022-02-21,775.71,784.99
2022-02-22,742.53,769.24
2022-02-23,765.69,754.48
2022-02-24,726.93,745.44
2022-02-25,748.41,742.58
2022-02-26,750.63,744.52
2022-02-27,752.85,746.46
2022-02-28,755.07,748.41
2022-03-01,750.48,744.5
2022-03-02,745.89,740.6
2022-03-03,738.63,754.13
2022-03-04,725.25,730.63
2022-03-05,716.31,727.19
2022-03-06,707.38,723.75
2022-03-07,698.44,720.31
2022-03-08,720.21,699.62
2022-03-09,734.43,720.21
2022-03-10,780.79,751.47
2022-03-11,761.54,770.23
2022-03-12,759.02,768.58
2022-03-13,756.5,766.94
2022-03-14,753.98,765.29
2022-03-15,745.39,753.44
2022-03-16,794.32,752.95
2022-03-17,811.16,809.73
2022-03-18,808.78,811.31
2022-03-19,806.39,812.89
2022-03-20,804.01,814.47
2022-03-21,801.63,816.05
2022-03-22,823.6,799.85
2022-03-23,824.59,830.46
2022-03-24,853.67,827.55
2022-03-25,835.25,860.98
2022-03-26,830.45,853.44
2022-03-27,825.64,845.9
2022-03-28,820.84,838.36
2022-03-29,848.68,825.43
2022-03-30,850.81,853.57
2022-03-31,843.89,850.81
2022-04-01,848.98,840.59
2022-04-02,853.01,845.93
2022-04-03,857.04,851.28
2022-04-04,861.08,856.63
2022-04-05,859.79,866.51
2022-04-06,849.57,859.0
2022-04-07,912.47,853.82
2022-04-08,909.56,907.49
2022-04-09,915.12,907.78
2022-04-10,920.69,908.08
2022-04-11,926.25,908.38
2022-04-12,909.81,921.31
2022-04-13,888.58,918.3
2022-04-14,886.49,912.19
2022-04-15,884.41,906.08
2022-04-16,882.33,899.96
2022-04-17,880.24,893.85
2022-04-18,878.16,887.74
2022-04-19,846.46,878.75
2022-04-20,857.92,858.51
2022-04-21,869.17,863.79
2022-04-22,867.94,863.94
2022-04-23,870.39,862.33
2022-04-24,872.84,860.71
2022-04-25,875.3,859.1
2022-04-26,870.26,888.73
2022-04-27,864.73,856.43
2022-04-28,847.25,871.94
2022-04-29,825.33,858.06
2022-04-30,824.29,845.24
2022-05-01,823.26,832.42
2022-05-02,822.22,819.6
2022-05-03,808.64,824.51
2022-05-04,795.06,829.43
2022-05-05,788.25,802.22
2022-05-06,759.71,760.35
2022-05-07,751.32,758.71
2022-05-08,742.92,757.06
2022-05-09,734.53,755.42
2022-05-10,716.86,733.0
2022-05-11,713.89,715.92
2022-05-12,686.64,702.09
2022-05-13,687.03,696.07
2022-05-14,689.49,695.74
2022-05-15,691.94,695.41
2022-05-16,694.39,695.08
2022-05-17,722.14,704.76
2022-05-18,715.47,721.84
2022-05-19,694.93,696.17
2022-05-20,704.61,709.99
2022-05-21,705.8,709.5
2022-05-22,706.98,709.01
2022-05-23,708.17,708.51
2022-05-24,734.68,720.76
2022-05-25,711.33,739.96
2022-05-26,716.16,710.98
2022-05-27,722.48,721.74
2022-05-28,726.06,725.51
2022-05-29,729.63,729.28
2022-05-30,733.2,733.05
2022-05-31,787.85,733.2
2022-06-01,795.61,777.14
2022-06-02,864.73,796.64
2022-06-03,877.96,861.08
2022-06-04,865.73,861.08
2022-06-05,853.51,861.08
2022-06-06,841.28,861.08
2022-06-07,817.97,834.41
2022-06-08,812.64,820.59
2022-06-09,803.61,807.75
2022-06-10,784.05,797.88
2022-06-11,770.85,787.02
2022-06-12,757.65,776.15
2022-06-13,744.46,765.29
2022-06-14,751.66,732.7
2022-06-15,768.11,754.43
2022-06-16,742.78,777.14
2022-06-17,735.52,742.38
2022-06-18,730.65,740.82
2022-06-19,725.78,739.25
2022-06-20,720.9,737.69
2022-06-21,742.43,736.65
2022-06-22,728.01,730.73
2022-06-23,740.41,729.74
2022-06-24,769.09,749.0
2022-06-25,778.57,758.61
