Date,Open,Close
2023-01-01,559.99,561.21
2023-01-02,562.4,565.1
2023-01-03,559.42,565.1
2023-01-04,558.19,565.64
2023-01-05,554.71,554.42
2023-01-06,557.75,557.95
2023-01-07,558.65,560.3
2023-01-08,559.55,562.65
2023-01-09,560.44,565.0
2023-01-10,557.85,563.09
2023-01-11,557.26,555.99
2023-01-12,555.74,558.34
2023-01-13,550.4,556.72
2023-01-14,549.52,556.97
2023-01-15,548.64,557.21
2023-01-16,547.76,557.46
2023-01-17,548.15,556.18
2023-01-18,549.28,551.97
2023-01-19,545.31,550.75
2023-01-20,551.09,548.89
2023-01-21,548.07,549.96
2023-01-22,545.05,551.04
2023-01-23,542.03,552.12
2023-01-24,546.14,548.49
2023-01-25,535.96,546.14
2023-01-26,531.82,544.09
2023-01-27,527.68,542.03
2023-01-28,529.43,537.02
2023-01-29,531.17,532.01
2023-01-30,532.92,526.99
2023-01-31,538.9,530.76
2023-02-01,539.73,536.89
2023-02-02,538.75,544.87
2023-02-03,538.9,544.14
2023-02-04,541.72,545.59
2023-02-05,544.54,547.04
2023-02-06,547.37,548.49
2023-02-07,543.65,544.38
2023-02-08,554.52,550.5
2023-02-09,559.17,554.42
2023-02-10,555.16,560.4
2023-02-11,556.66,562.6
2023-02-12,558.16,564.8
2023-02-13,559.66,567.01
2023-02-14,552.17,567.5
2023-02-15,547.56,548.4
2023-02-16,546.09,543.6
2023-02-17,549.87,550.99
2023-02-18,549.74,551.55
2023-02-19,549.6,552.1
2023-02-20,549.47,552.66
2023-02-21,548.59,553.44
2023-02-22,548.0,552.56
2023-02-23,548.05,548.54
2023-02-24,548.98,552.02
2023-02-25,548.22,551.16
2023-02-26,547.45,550.29
2023-02-27,546.68,549.43
2023-02-28,536.89,550.31
2023-03-01,539.48,537.03
2023-03-02,539.09,542.52
2023-03-03,537.13,539.83
2023-03-04,539.29,538.93
2023-03-05,541.44,538.03
2023-03-06,543.6,537.13
2023-03-07,538.77,544.7
2023-03-08,533.95,552.27
2023-03-09,535.37,539.34
2023-03-10,532.97,532.77
2023-03-11,529.96,532.84
2023-03-12,526.96,532.9
2023-03-13,523.96,532.97
2023-03-14,527.43,527.48
2023-03-15,514.01,531.21
2023-03-16,511.57,506.33
2023-03-17,514.31,511.61
2023-03-18,514.34,521.92
