Date,Open,Close
2025-01-01,26.08,26.25
2025-01-02,26.48,26.69
2025-01-03,26.48,26.48
2025-01-04,25.99,26.63
2025-01-05,25.5,26.79
2025-01-06,25.01,26.94
2025-01-07,25.1,25.2
2025-01-08,25.15,25.13
2025-01-09,24.86,25.65
2025-01-10,23.7,25.39
2025-01-11,23.24,25.12
2025-01-12,22.77,24.84
2025-01-13,22.31,24.57
2025-01-14,23.17,22.45
2025-01-15,23.03,23.75
2025-01-16,23.18,23.49
2025-01-17,23.34,23.27
2025-01-18,23.45,23.43
2025-01-19,23.57,23.59
2025-01-20,23.68,23.75
2025-01-21,23.97,24.1
2025-01-22,22.93,24.29
2025-01-23,22.91,23.16
2025-01-24,22.87,23.25
2025-01-25,22.45,22.83
2025-01-26,22.02,22.42
2025-01-27,21.6,22.0
2025-01-28,22.27,21.85
2025-01-29,21.93,22.5
2025-01-30,21.95,22.25
2025-01-31,22.18,21.95
2025-02-01,22.43,22.39
2025-02-02,22.14,22.19
2025-02-03,21.85,22.0
2025-02-04,22.2,22.15
2025-02-05,22.37,22.3
2025-02-06,22.12,22.5
2025-02-07,22.05,22.44
2025-02-08,21.52,22.3
2025-02-09,20.99,22.15
2025-02-10,20.46,22.01
2025-02-11,21.53,20.45
2025-02-12,19.84,20.03
2025-02-13,19.95,19.9
2025-02-14,17.92,20.15
2025-02-15,17.85,19.63
2025-02-16,17.78,19.12
2025-02-17,17.71,18.6
2025-02-18,17.13,17.95
2025-02-19,17.71,17.24
2025-02-20,18.6,17.82
2025-02-21,18.69,18.79
2025-02-22,18.6,18.83
2025-02-23,18.52,18.86
2025-02-24,18.43,18.9
2025-02-25,17.59,18.43
2025-02-26,17.27,18.07
2025-02-27,16.94,17.7
2025-02-28,16.13,16.79
2025-03-01,15.9,16.64
2025-03-02,15.66,16.5
2025-03-03,15.43,16.35
2025-03-04,15.57,15.53
2025-03-05,16.19,15.74
2025-03-06,18.01,16.77
2025-03-07,18.86,18.15
2025-03-08,18.48,18.39
2025-03-09,18.11,18.62
2025-03-10,17.73,18.86
2025-03-11,16.93,17.83
2025-03-12,16.02,17.15
2025-03-13,16.05,16.03
2025-03-14,15.86,16.04
2025-03-15,15.68,16.04
2025-03-16,15.5,16.04
2025-03-17,15.31,16.05
2025-03-18,15.31,15.31
2025-03-19,16.58,15.81
2025-03-20,16.55,16.75
2025-03-21,16.65,16.7
2025-03-22,16.68,16.75
2025-03-23,16.7,16.8
2025-03-24,16.73,16.85
2025-03-25,15.66,17.15
2025-03-26,15.67,15.79
2025-03-27,14.65,15.56
2025-03-28,14.26,15.4
2025-03-29,14.52,15.12
2025-03-30,14.78,14.85
2025-03-31,15.03,14.58
2025-04-01,15.29,14.3
2025-04-02,15.88,15.45
2025-04-03,15.88,15.87
2025-04-04,15.61,16.05
2025-04-05,15.49,15.7
2025-04-06,15.36,15.35
2025-04-07,15.24,15.0
2025-04-08,15.99,15.3
2025-04-09,15.83,16.0
2025-04-10,15.95,16.07
2025-04-11,16.07,16.15
2025-04-12,16.15,16.19
2025-04-13,16.24,16.23
2025-04-14,16.32,16.27
2025-04-15,16.41,16.31
2025-04-16,16.53,16.65
2025-04-17,17.16,16.78
2025-04-18,17.21,16.97
2025-04-19,17.26,17.16
2025-04-20,17.3,17.36
2025-04-21,17.35,17.55
2025-04-22,17.3,17.6
2025-04-23,17.38,17.4
2025-04-24,17.26,17.44
2025-04-25,15.88,17.26
2025-04-26,15.87,16.87
2025-04-27,15.85,16.49
2025-04-28,15.84,16.1
2025-04-29,16.55,15.84
2025-04-30,16.45,16.56
2025-05-01,16.37,16.63
2025-05-02,16.29,16.7
2025-05-03,16.29,16.68
2025-05-04,16.28,16.66
2025-05-05,16.28,16.64
2025-05-06,15.52,16.49
2025-05-07,15.52,15.52
2025-05-08,15.5,15.75
2025-05-09,15.39,15.5
2025-05-10,15.53,15.5
2025-05-11,15.67,15.51
2025-05-12,15.81,15.51
2025-05-13,17.44,15.97
2025-05-14,19.17,17.45
2025-05-15,18.63,19.17
2025-05-16,18.76,18.79
2025-05-17,18.51,18.88
2025-05-18,18.27,18.96
2025-05-19,18.02,19.05
2025-05-20,18.43,18.29
2025-05-21,18.49,18.7
2025-05-22,18.58,18.49
2025-05-23,18.49,18.76
2025-05-24,18.29,18.54
2025-05-25,18.09,18.33
2025-05-26,17.89,18.11
2025-05-27,18.08,17.77
2025-05-28,17.05,18.15
2025-05-29,17.46,17.4
2025-05-30,17.55,17.7
2025-05-31,17.58,17.73
2025-06-01,17.62,17.75
2025-06-02,17.65,17.78
2025-06-03,17.41,17.85
2025-06-04,17.34,17.5
2025-06-05,17.4,17.31
2025-06-06,17.76,17.2
2025-06-07,17.7,17.43
2025-06-08,17.64,17.67
2025-06-09,17.58,17.9
2025-06-10,17.92,17.66
2025-06-11,18.23,18.08
2025-06-12,17.79,18.23
2025-06-13,17.72,17.71
2025-06-14,18.06,17.81
2025-06-15,18.4,17.9
2025-06-16,18.74,18.0
2025-06-17,18.42,18.75
2025-06-18,17.96,18.12
2025-06-19,17.03,18.15
2025-06-20,17.21,17.17
2025-06-21,17.25,17.21
2025-06-22,17.28,17.26
2025-06-23,17.32,17.3
2025-06-24,17.35,17.18
2025-06-25,17.57,17.03
2025-06-26,17.59,17.69
2025-06-27,17.52,17.69
2025-06-28,17.57,17.7
2025-06-29,17.61,17.71
2025-06-30,17.66,17.72
2025-07-01,17.28,17.66
2025-07-02,17.56,17.27
2025-07-03,17.5,17.56
2025-07-04,17.45,17.5
