Date,Open,Close
2025-01-01,113.05,115.49
2025-01-02,112.83,112.59
2025-01-03,113.5,114.79
2025-01-04,111.27,114.69
2025-01-05,109.03,114.6
2025-01-06,106.8,114.5
2025-01-07,108.27,107.0
2025-01-08,109.78,110.0
2025-01-09,106.43,110.0
2025-01-10,104.4,106.42
2025-01-11,100.99,105.58
2025-01-12,97.58,104.74
2025-01-13,94.17,103.9
2025-01-14,97.02,95.72
2025-01-15,100.03,99.02
2025-01-16,100.35,99.49
2025-01-17,100.73,98.99
2025-01-18,100.46,99.06
2025-01-19,100.2,99.13
2025-01-20,99.93,99.2
2025-01-21,106.42,101.3
2025-01-22,101.29,106.42
2025-01-23,105.48,101.0
2025-01-24,102.02,105.48
2025-01-25,100.15,103.72
2025-01-26,98.28,101.96
2025-01-27,96.41,100.2
2025-01-28,96.08,96.3
2025-01-29,103.27,96.0
2025-01-30,104.58,102.0
2025-01-31,100.8,103.55
2025-02-01,104.84,105.23
2025-02-02,104.25,105.82
2025-02-03,103.67,106.4
2025-02-04,103.62,105.0
2025-02-05,108.17,105.0
2025-02-06,106.01,109.4
2025-02-07,103.74,106.0
2025-02-08,102.89,104.92
2025-02-09,102.04,103.83
2025-02-10,101.19,102.75
2025-02-11,97.75,100.0
2025-02-12,101.48,100.27
2025-02-13,98.69,104.8
2025-02-14,90.99,103.0
2025-02-15,91.34,99.0
2025-02-16,91.69,94.99
2025-02-17,92.04,90.99
2025-02-18,85.87,91.01
2025-02-19,91.88,85.92
2025-02-20,87.91,91.88
2025-02-21,92.2,87.91
2025-02-22,92.03,90.21
2025-02-23,91.86,92.5
2025-02-24,91.69,94.8
2025-02-25,91.93,92.98
2025-02-26,88.25,92.29
2025-02-27,84.57,91.6
2025-02-28,80.99,86.0
2025-03-01,81.4,84.4
2025-03-02,81.81,82.8
2025-03-03,82.22,81.2
2025-03-04,84.0,81.15
2025-03-05,87.01,84.08
2025-03-06,93.78,90.4
2025-03-07,93.01,94.02
2025-03-08,92.85,93.68
2025-03-09,92.7,93.35
2025-03-10,92.54,93.01
2025-03-11,90.48,94.3
2025-03-12,86.38,93.01
2025-03-13,86.31,88.0
2025-03-14,86.13,87.75
2025-03-15,85.96,87.5
2025-03-16,85.78,87.25
2025-03-17,85.61,87.0
2025-03-18,85.61,85.61
2025-03-19,87.86,89.0
2025-03-20,87.01,87.0
2025-03-21,88.72,89.49
2025-03-22,88.4,88.99
2025-03-23,88.09,88.5
2025-03-24,87.77,88.0
2025-03-25,84.71,88.3
2025-03-26,86.86,85.0
2025-03-27,86.71,86.0
2025-03-28,84.07,86.7
2025-03-29,84.35,86.25
2025-03-30,84.62,85.8
2025-03-31,84.9,85.35
2025-04-01,85.18,84.9
2025-04-02,89.03,84.5
2025-04-03,92.85,90.0
2025-04-04,86.35,91.0
2025-04-05,86.06,89.02
2025-04-06,85.77,87.03
2025-04-07,85.48,85.05
2025-04-08,84.45,88.0
2025-04-09,83.08,85.97
2025-04-10,83.7,85.08
2025-04-11,84.32,84.2
2025-04-12,84.75,84.6
2025-04-13,85.18,85.0
2025-04-14,85.61,85.4
2025-04-15,86.04,85.8
2025-04-16,90.04,88.0
2025-04-17,94.08,91.45
2025-04-18,93.77,92.34
2025-04-19,93.47,93.23
2025-04-20,93.16,94.12
2025-04-21,92.85,95.01
2025-04-22,99.56,92.9
2025-04-23,96.91,101.56
2025-04-24,95.34,97.0
2025-04-25,93.42,94.74
2025-04-26,94.45,93.7
2025-04-27,95.49,92.65
2025-04-28,96.52,91.61
2025-04-29,92.64,95.89
2025-04-30,90.07,91.12
2025-05-01,90.03,90.63
2025-05-02,90.0,90.14
2025-05-03,90.41,91.25
2025-05-04,90.83,92.36
2025-05-05,91.24,93.47
2025-05-06,84.79,92.84
2025-05-07,86.71,84.79
2025-05-08,86.25,88.01
2025-05-09,82.94,85.75
2025-05-10,84.86,85.53
2025-05-11,86.79,85.32
2025-05-12,88.71,85.1
2025-05-13,91.8,88.5
2025-05-14,90.54,92.19
2025-05-15,95.26,91.17
2025-05-16,95.71,94.01
2025-05-17,96.87,94.07
2025-05-18,98.04,94.14
2025-05-19,99.2,94.2
2025-05-20,97.57,99.2
2025-05-21,98.07,98.99
2025-05-22,96.28,97.21
2025-05-23,98.27,98.0
2025-05-24,97.96,98.63
2025-05-25,97.65,99.27
2025-05-26,97.34,99.9
2025-05-27,97.57,99.25
2025-05-28,95.72,100.5
2025-05-29,96.19,96.5
2025-05-30,96.45,95.48
2025-05-31,96.34,95.77
2025-06-01,96.23,96.05
2025-06-02,96.12,96.34
2025-06-03,95.3,96.0
2025-06-04,96.07,96.5
2025-06-05,95.55,97.01
2025-06-06,101.2,96.45
2025-06-07,103.33,98.96
2025-06-08,105.46,101.47
2025-06-09,107.59,103.98
2025-06-10,107.23,108.0
2025-06-11,106.69,110.0
2025-06-12,106.13,106.0
2025-06-13,105.92,105.29
2025-06-14,105.34,105.21
2025-06-15,104.76,105.12
2025-06-16,104.18,105.04
2025-06-17,105.87,106.24
2025-06-18,105.24,108.74
2025-06-19,108.34,107.0
2025-06-20,107.22,107.8
2025-06-21,106.36,106.57
2025-06-22,105.51,105.33
2025-06-23,104.65,104.1
2025-06-24,104.47,107.35
2025-06-25,104.22,104.47
2025-06-26,107.88,104.91
2025-06-27,108.42,109.01
2025-06-28,108.89,108.49
2025-06-29,109.36,107.98
2025-06-30,109.83,107.46
2025-07-01,108.15,107.67
2025-07-02,107.42,107.93
2025-07-03,109.38,107.03
2025-07-04,104.32,108.62
2025-07-05,104.77,107.19
2025-07-06,105.22,105.75
2025-07-07,105.67,104.32
2025-07-08,105.98,104.3
2025-07-09,104.69,105.95
2025-07-10,103.47,105.41
2025-07-11,101.65,102.0
2025-07-12,102.64,102.0
2025-07-13,103.63,102.0
2025-07-14,104.62,102.0
2025-07-15,102.69,106.4
2025-07-16,103.84,102.2
2025-07-17,104.93,103.0
2025-07-18,104.38,105.75
2025-07-19,103.91,105.47
2025-07-20,103.44,105.18
2025-07-21,102.97,104.9
2025-07-22,101.92,103.07
2025-07-23,102.11,101.42
2025-07-24,101.38,104.18
2025-07-25,100.34,99.93
