Date,Open,Close
2023-05-10,218.0,236.8
2023-05-11,253.33,235.81
2023-05-12,236.8,262.45
2023-05-13,235.75,253.89
2023-05-14,234.69,245.32
2023-05-15,233.64,236.75
2023-05-16,232.21,235.52
2023-05-17,236.75,232.36
2023-05-18,237.24,246.47
2023-05-19,235.22,243.71
2023-05-20,232.29,241.73
2023-05-21,229.37,239.76
2023-05-22,226.44,237.79
2023-05-23,230.68,235.81
2023-05-24,228.17,235.76
2023-05-25,229.05,230.78
2023-05-26,226.64,234.33
2023-05-27,226.62,233.48
2023-05-28,226.6,232.62
2023-05-29,226.59,231.77
2023-05-30,225.4,225.9
2023-05-31,222.1,231.37
2023-06-01,217.56,229.84
2023-06-02,222.25,220.03
2023-06-03,224.1,222.33
2023-06-04,225.96,224.63
2023-06-05,227.82,226.93
2023-06-06,222.79,231.57
2023-06-07,221.31,226.88
2023-06-08,216.52,222.79
2023-06-09,215.44,218.94
2023-06-10,215.52,218.32
2023-06-11,215.6,217.69
2023-06-12,215.69,217.07
2023-06-13,213.91,217.07
2023-06-14,221.16,215.88
2023-06-15,232.21,225.7
2023-06-16,243.81,243.71
2023-06-17,241.42,246.34
2023-06-18,239.04,248.97
2023-06-19,236.65,251.6
2023-06-20,243.85,239.71
2023-06-21,236.41,244.69
2023-06-22,234.78,240.6
2023-06-23,228.17,237.29
2023-06-24,226.16,235.48
2023-06-25,224.15,233.68
2023-06-26,222.15,231.87
2023-06-27,219.09,222.0
2023-06-28,217.46,223.48
2023-06-29,217.73,222.69
2023-06-30,218.0,221.9
2023-07-01,218.94,223.22
2023-07-02,219.88,224.53
2023-07-03,220.82,225.85
2023-07-04,218.3,223.97
2023-07-05,218.0,223.38
2023-07-06,218.45,218.99
2023-07-07,217.81,224.37
2023-07-08,216.31,222.18
2023-07-09,214.81,219.99
2023-07-10,213.32,217.81
2023-07-11,213.56,215.98
2023-07-12,210.75,213.07
2023-07-13,208.68,212.03
2023-07-14,209.27,211.15
2023-07-15,210.64,213.97
2023-07-16,212.0,216.8
2023-07-17,213.37,219.63
2023-07-18,212.82,218.05
2023-07-19,214.99,215.09
2023-07-20,207.59,214.99
2023-07-21,204.73,209.77
2023-07-22,202.43,208.12
2023-07-23,200.13,206.48
2023-07-24,197.83,204.83
2023-07-25,197.78,200.93
2023-07-26,195.01,202.51
2023-07-27,196.45,195.01
2023-07-28,196.3,200.0
2023-07-29,199.55,199.75
2023-07-30,202.81,199.5
2023-07-31,206.07,199.26
2023-08-01,211.1,215.39
2023-08-02,204.29,212.08
2023-08-03,209.91,209.07
2023-08-04,211.99,211.15
2023-08-05,210.47,211.43
2023-08-06,208.96,211.71
2023-08-07,207.45,211.99
2023-08-08,205.47,207.45
2023-08-09,206.66,209.62
2023-08-10,205.57,211.15
2023-08-11,208.68,207.15
2023-08-12,205.57,207.61
2023-08-13,202.46,208.07
2023-08-14,199.36,208.53
2023-08-15,194.37,200.54
2023-08-16,189.39,192.55
2023-08-17,183.57,182.53
2023-08-18,189.64,186.48
2023-08-19,188.72,188.44
2023-08-20,187.8,190.39
2023-08-21,186.87,192.35
2023-08-22,196.2,191.81
2023-08-23,205.97,205.97
2023-08-24,201.43,208.14
2023-08-25,195.36,197.33
2023-08-26,194.54,197.99
2023-08-27,193.72,198.65
2023-08-28,192.89,199.31
2023-08-29,195.01,194.87
2023-08-30,185.3,190.23
2023-08-31,186.04,190.33
2023-09-01,185.59,189.39
2023-09-02,183.45,188.12
2023-09-03,181.32,186.86
2023-09-04,179.18,185.59
2023-09-05,181.69,185.44
2023-09-06,184.75,187.47
2023-09-07,181.6,190.43
2023-09-08,179.52,186.43
2023-09-09,178.44,185.11
2023-09-10,177.35,183.8
2023-09-11,176.27,182.48
2023-09-12,171.04,181.5
2023-09-13,171.53,172.67
2023-09-14,176.17,176.96
2023-09-15,175.03,182.93
2023-09-16,176.05,182.12
2023-09-17,177.07,181.32
2023-09-18,178.09,180.51
2023-09-19,177.7,181.0
2023-09-20,177.3,181.5
2023-09-21,174.99,181.25
2023-09-22,180.21,175.08
2023-09-23,179.7,178.35
2023-09-24,179.18,181.62
2023-09-25,178.67,184.89
2023-09-26,176.13,182.1
2023-09-27,177.47,179.07
2023-09-28,176.83,174.14
2023-09-29,177.77,181.95
2023-09-30,177.58,180.91
2023-10-01,177.4,179.86
2023-10-02,177.21,178.82
2023-10-03,177.03,177.77
2023-10-04,176.83,180.26
2023-10-05,177.52,181.1
2023-10-06,179.02,179.11
2023-10-07,178.4,179.3
2023-10-08,177.79,179.48
2023-10-09,177.17,179.66
2023-10-10,173.44,177.17
2023-10-11,178.02,178.62
2023-10-12,176.33,179.11
2023-10-13,178.02,179.02
2023-10-14,177.49,178.72
2023-10-15,176.96,178.42
2023-10-16,176.43,178.12
2023-10-17,177.62,180.71
2023-10-18,174.49,181.01
2023-10-19,171.9,171.9
2023-10-20,169.51,176.13
2023-10-21,168.93,177.11
2023-10-22,168.35,178.09
2023-10-23,167.77,179.07
2023-10-24,167.05,176.08
2023-10-25,166.33,173.09
2023-10-26,168.92,166.33
2023-10-27,164.89,169.26
2023-10-28,164.92,169.89
2023-10-29,164.95,170.52
2023-10-30,164.98,171.15
2023-10-31,161.8,165.18
2023-11-01,158.42,165.08
2023-11-02,160.51,164.19
2023-11-03,161.25,162.8
2023-11-04,159.35,165.58
2023-11-05,157.44,168.37
2023-11-06,155.53,171.15
2023-11-07,147.32,155.23
2023-11-08,147.22,151.25
2023-11-09,148.76,149.16
2023-11-10,149.86,150.21
2023-11-11,149.99,150.72
2023-11-12,150.12,151.24
2023-11-13,150.26,151.75
2023-11-14,146.72,151.5
2023-11-15,143.19,151.25
2023-11-16,143.14,145.28
2023-11-17,143.99,145.18
2023-11-18,144.77,146.34
2023-11-19,145.55,147.5
2023-11-20,146.33,148.67
2023-11-21,150.01,148.67
2023-11-22,157.32,152.15
2023-11-23,163.84,163.54
2023-11-24,180.21,166.18
2023-11-25,182.46,171.25
2023-11-26,184.71,176.33
2023-11-27,186.96,181.4
2023-11-28,189.21,186.48
2023-11-29,189.02,198.67
2023-11-30,183.94,184.34
2023-12-01,187.37,184.04
2023-12-02,188.8,187.37
2023-12-03,190.23,190.71
2023-12-04,191.65,194.04
2023-12-05,197.72,201.01
2023-12-06,207.57,203.0
2023-12-07,217.92,211.95
2023-12-08,228.82,228.82
2023-12-09,225.82,232.62
2023-12-10,222.82,236.41
2023-12-11,219.81,240.21
2023-12-12,212.1,223.94
2023-12-13,218.42,217.77
2023-12-14,213.35,220.91
2023-12-15,206.88,219.86
2023-12-16,210.31,217.44
2023-12-17,213.74,215.02
2023-12-18,217.18,212.6
2023-12-19,220.36,220.91
2023-12-20,209.56,220.91
2023-12-21,200.31,204.04
2023-12-22,202.45,203.0
2023-12-23,201.55,203.25
2023-12-24,200.66,203.49
2023-12-25,199.76,203.74
2023-12-26,198.87,203.99
2023-12-27,204.19,204.89
2023-12-28,209.81,205.98
2023-12-29,212.55,210.96
2023-12-30,211.06,212.95
2023-12-31,209.56,214.94
