Date,Open,Close
2019-12-02,14.99,16.2
2019-12-03,14.24,14.24
2019-12-04,14.92,13.53
2019-12-05,15.57,14.78
2019-12-06,15.58,15.65
2019-12-07,15.66,15.7
2019-12-08,15.74,15.76
2019-12-09,15.82,15.82
2019-12-10,14.88,15.82
2019-12-11,14.26,13.58
2019-12-12,14.79,14.79
2019-12-13,14.79,14.79
2019-12-14,14.99,14.39
2019-12-15,15.2,13.98
2019-12-16,15.4,13.58
2019-12-17,15.74,16.94
2019-12-18,15.97,14.39
2019-12-19,16.19,17.16
2019-12-20,16.61,16.36
2019-12-21,16.7,16.51
2019-12-22,16.79,16.66
2019-12-23,16.89,16.82
2019-12-24,16.27,15.99
2019-12-25,15.83,15.32
2019-12-26,15.39,14.65
2019-12-27,15.86,15.96
2019-12-28,16.1,15.92
2019-12-29,16.34,15.89
2019-12-30,16.58,15.86
2019-12-31,16.22,17.97
