Date,Open,Close
2022-01-01,45.55,44.7
2022-01-02,45.91,45.05
2022-01-03,46.28,45.4
2022-01-04,46.54,46.5
2022-01-05,47.56,46.54
2022-01-06,47.42,47.25
2022-01-07,47.86,47.6
2022-01-08,48.16,47.7
2022-01-09,48.45,47.8
2022-01-10,48.74,47.91
2022-01-11,48.08,48.7
2022-01-12,48.04,48.52
2022-01-13,47.64,48.26
2022-01-14,47.82,47.47
2022-01-15,47.8,47.67
2022-01-16,47.79,47.88
2022-01-17,47.77,48.08
2022-01-18,46.76,47.99
2022-01-19,47.56,46.85
2022-01-20,47.29,47.69
2022-01-21,45.97,46.94
2022-01-22,45.64,46.53
2022-01-23,45.3,46.12
2022-01-24,44.96,45.71
2022-01-25,46.02,44.92
2022-01-26,47.25,45.2
2022-01-27,48.48,45.49
2022-01-28,48.57,49.09
2022-01-29,48.29,49.14
2022-01-30,48.01,49.18
2022-01-31,47.73,49.23
2022-02-01,48.39,48.26
2022-02-02,50.76,48.74
2022-02-03,51.38,51.2
2022-02-04,49.66,51.77
2022-02-05,50.03,51.22
2022-02-06,50.4,50.66
2022-02-07,50.76,50.1
2022-02-08,50.41,51.07
2022-02-09,49.8,50.63
2022-02-10,49.44,50.02
2022-02-11,48.48,49.01
2022-02-12,47.6,48.49
2022-02-13,46.72,47.98
2022-02-14,45.84,47.47
2022-02-15,46.9,45.93
2022-02-16,46.59,47.34
2022-02-17,45.88,46.76
2022-02-18,46.19,45.71
2022-02-19,45.84,45.87
2022-02-20,45.49,46.03
2022-02-21,45.14,46.19
2022-02-22,44.13,43.95
2022-02-23,44.83,44.83
2022-02-24,38.9,43.42
2022-02-25,41.14,40.61
2022-02-26,41.15,40.55
2022-02-27,41.17,40.49
2022-02-28,41.18,40.43
2022-03-01,41.58,40.68
2022-03-02,41.97,40.92
2022-03-03,41.36,42.5
2022-03-04,41.05,41.14
2022-03-05,40.92,40.86
2022-03-06,40.79,40.58
2022-03-07,40.65,40.3
2022-03-08,41.62,40.87
2022-03-09,42.28,42.11
2022-03-10,42.72,43.73
2022-03-11,42.81,42.72
2022-03-12,42.85,42.75
2022-03-13,42.9,42.78
2022-03-14,42.94,42.81
2022-03-15,41.58,43.07
2022-03-16,42.59,42.41
2022-03-17,42.24,42.98
2022-03-18,42.11,42.82
2022-03-19,41.97,42.65
2022-03-20,41.84,42.49
2022-03-21,41.71,42.32
2022-03-22,42.02,42.02
2022-03-23,41.58,42.24
2022-03-24,41.49,41.67
2022-03-25,41.14,41.84
2022-03-26,40.9,41.64
2022-03-27,40.67,41.43
2022-03-28,40.43,41.23
2022-03-29,39.91,40.61
2022-03-30,41.23,40.43
2022-03-31,40.3,41.31
2022-04-01,42.46,40.26
2022-04-02,42.74,41.08
2022-04-03,43.01,41.9
2022-04-04,43.29,42.72
2022-04-05,44.61,43.6
2022-04-06,45.8,44.52
2022-04-07,44.7,45.93
2022-04-08,46.1,44.92
2022-04-09,46.02,45.27
2022-04-10,45.93,45.62
2022-04-11,45.84,45.97
2022-04-12,44.83,45.8
2022-04-13,45.01,45.27
2022-04-14,44.81,45.14
2022-04-15,44.62,45.01
2022-04-16,44.43,44.87
2022-04-17,44.23,44.74
2022-04-18,44.04,44.61
2022-04-19,43.47,44.39
2022-04-20,43.6,43.64
2022-04-21,43.99,43.95
2022-04-22,43.56,43.69
2022-04-23,43.32,43.48
2022-04-24,43.09,43.28
2022-04-25,42.85,43.07
2022-04-26,43.2,43.51
2022-04-27,42.9,43.03
2022-04-28,42.72,42.98
2022-04-29,42.32,42.94
2022-04-30,42.19,42.76
2022-05-01,42.06,42.59
2022-05-02,41.93,42.41
2022-05-03,41.42,42.3
2022-05-04,40.92,42.19
2022-05-05,40.22,41.27
2022-05-06,40.43,39.91
2022-05-07,40.29,40.05
2022-05-08,40.14,40.2
2022-05-09,40.0,40.35
2022-05-10,39.78,40.26
2022-05-11,38.55,39.82
2022-05-12,36.04,38.33
2022-05-13,37.01,36.74
2022-05-14,37.37,37.04
2022-05-15,37.74,37.33
2022-05-16,38.11,37.62
2022-05-17,39.38,38.41
2022-05-18,39.2,39.38
2022-05-19,38.33,38.41
2022-05-20,39.6,39.2
2022-05-21,39.97,39.53
2022-05-22,40.33,39.85
2022-05-23,40.7,40.17
2022-05-24,41.45,40.96
2022-05-25,40.08,42.11
2022-05-26,40.17,40.39
2022-05-27,41.27,40.61
2022-05-28,41.75,40.98
2022-05-29,42.24,41.34
2022-05-30,42.72,41.71
2022-05-31,42.15,42.37
2022-06-01,42.15,42.11
2022-06-02,42.46,42.11
2022-06-03,41.67,42.81
2022-06-04,41.48,42.47
2022-06-05,41.28,42.13
2022-06-06,41.09,41.8
2022-06-07,41.27,40.79
2022-06-08,41.14,41.49
2022-06-09,40.87,41.01
2022-06-10,40.57,40.57
2022-06-11,40.19,40.26
2022-06-12,39.8,39.95
2022-06-13,39.42,39.64
2022-06-14,38.94,38.68
2022-06-15,39.07,39.07
2022-06-16,37.31,39.56
2022-06-17,36.61,37.14
2022-06-18,36.44,37.04
2022-06-19,36.26,36.93
2022-06-20,36.08,36.83
2022-06-21,37.31,36.48
2022-06-22,38.68,37.27
2022-06-23,38.59,39.2
2022-06-24,40.0,38.72
2022-06-25,40.01,39.44
2022-06-26,40.02,40.16
2022-06-27,40.04,40.87
2022-06-28,39.47,39.91
2022-06-29,38.76,39.29
2022-06-30,38.98,38.76
2022-07-01,39.34,38.85
2022-07-02,39.6,39.06
2022-07-03,39.86,39.26
2022-07-04,40.13,39.47
2022-07-05,40.3,40.43
2022-07-06,41.01,40.3
2022-07-07,42.25,41.88
2022-07-08,42.02,42.48
2022-07-09,42.25,42.25
2022-07-10,42.48,42.02
2022-07-11,42.71,41.79
2022-07-12,42.71,42.71
2022-07-13,42.38,43.07
2022-07-14,42.02,42.43
2022-07-15,41.88,42.25
2022-07-16,42.28,42.25
2022-07-17,42.67,42.25
2022-07-18,43.07,42.25
2022-07-19,43.53,43.07
2022-07-20,44.08,44.08
2022-07-21,45.14,44.04
2022-07-22,45.05,45.23
2022-07-23,44.8,45.17
2022-07-24,44.56,45.11
2022-07-25,44.31,45.05
2022-07-26,42.66,44.31
2022-07-27,44.13,42.71
2022-07-28,44.08,44.27
2022-07-29,43.81,44.27
2022-07-30,44.25,44.19
2022-07-31,44.7,44.11
2022-08-01,45.14,44.04
2022-08-02,46.29,44.96
2022-08-03,45.28,45.97
2022-08-04,44.77,45.46
2022-08-05,44.77,45.19
2022-08-06,44.74,45.05
2022-08-07,44.71,44.91
2022-08-08,44.68,44.77
2022-08-09,44.52,44.75
2022-08-10,44.36,44.73
2022-08-11,45.09,44.82
2022-08-12,45.23,45.19
2022-08-13,45.2,45.3
2022-08-14,45.16,45.41
2022-08-15,45.13,45.53
2022-08-16,45.09,45.64
2022-08-17,46.47,45.23
2022-08-18,46.75,46.38
2022-08-19,45.78,47.21
