Date,Open,Close
2019-12-02,24.8,25.72
2019-12-03,24.07,24.97
2019-12-04,24.18,23.78
2019-12-05,23.91,24.21
2019-12-06,23.91,24.1
2019-12-07,23.91,24.01
2019-12-08,23.91,23.92
2019-12-09,23.91,23.83
2019-12-10,22.32,23.56
2019-12-11,21.08,22.26
2019-12-12,23.02,21.21
2019-12-13,23.1,23.1
2019-12-14,23.09,23.06
2019-12-15,23.08,23.01
2019-12-16,23.07,22.97
2019-12-17,22.83,23.07
2019-12-18,22.18,22.83
2019-12-19,22.43,22.16
2019-12-20,22.94,22.24
2019-12-21,22.73,22.51
2019-12-22,22.53,22.78
2019-12-23,22.32,23.05
2019-12-24,22.07,22.24
2019-12-25,21.97,22.16
2019-12-26,21.86,22.07
2019-12-27,21.75,21.89
2019-12-28,23.2,21.84
2019-12-29,24.65,21.8
2019-12-30,26.1,21.75
2019-12-31,28.1,27.56
