Date,Open,Close
2022-01-01,32.07,32.18
2022-01-02,32.04,31.9
2022-01-03,32.01,31.61
2022-01-04,31.75,31.89
2022-01-05,32.24,32.0
2022-01-06,31.83,32.28
2022-01-07,31.61,33.3
2022-01-08,31.55,32.77
2022-01-09,31.49,32.24
2022-01-10,31.42,31.72
2022-01-11,31.83,32.05
2022-01-12,31.59,31.31
2022-01-13,31.6,31.4
2022-01-14,31.6,31.1
2022-01-15,31.62,31.57
2022-01-16,31.63,32.03
2022-01-17,31.64,32.5
2022-01-18,30.71,31.62
2022-01-19,30.55,30.71
2022-01-20,30.44,31.0
2022-01-21,30.03,30.32
2022-01-22,29.96,30.06
2022-01-23,29.89,29.81
2022-01-24,29.83,29.56
2022-01-25,31.0,30.21
2022-01-26,30.99,30.6
2022-01-27,30.99,31.0
2022-01-28,30.12,30.32
2022-01-29,30.42,30.38
2022-01-30,30.71,30.44
2022-01-31,31.0,30.5
2022-02-01,31.35,31.0
2022-02-02,30.59,31.6
2022-02-03,33.65,30.59
2022-02-04,37.01,35.9
2022-02-05,39.47,37.12
2022-02-06,41.94,38.35
2022-02-07,44.4,39.58
2022-02-08,39.4,45.0
2022-02-09,40.03,41.0
2022-02-10,38.74,39.75
2022-02-11,35.94,38.4
2022-02-12,36.02,37.93
2022-02-13,36.1,37.47
2022-02-14,36.19,37.0
2022-02-15,36.35,37.2
2022-02-16,35.47,35.01
2022-02-17,34.99,37.49
2022-02-18,34.69,35.01
2022-02-19,34.23,34.58
2022-02-20,33.78,34.14
2022-02-21,33.32,33.71
2022-02-22,32.75,34.32
2022-02-23,34.13,34.1
2022-02-24,32.0,32.7
2022-02-25,32.05,33.5
2022-02-26,32.33,32.9
2022-02-27,32.61,32.3
2022-02-28,32.88,31.7
2022-03-01,33.44,31.41
2022-03-02,33.99,31.11
2022-03-03,33.76,34.99
2022-03-04,34.28,33.2
2022-03-05,34.06,33.93
2022-03-06,33.84,34.67
2022-03-07,33.62,35.4
2022-03-08,33.69,34.95
2022-03-09,34.09,33.31
2022-03-10,34.81,35.92
2022-03-11,35.03,33.81
2022-03-12,35.04,33.98
2022-03-13,35.05,34.14
2022-03-14,35.06,34.3
2022-03-15,35.99,35.26
2022-03-16,38.03,36.5
2022-03-17,45.64,39.9
2022-03-18,44.85,42.05
2022-03-19,44.07,44.2
2022-03-20,43.28,46.35
2022-03-21,42.5,48.5
2022-03-22,43.19,43.5
2022-03-23,40.78,41.7
2022-03-24,38.45,40.01
2022-03-25,40.19,39.0
2022-03-26,40.27,39.03
2022-03-27,40.36,39.07
2022-03-28,40.45,39.1
2022-03-29,39.79,41.0
2022-03-30,40.2,41.0
2022-03-31,39.27,38.6
2022-04-01,39.42,39.27
2022-04-02,39.68,39.56
2022-04-03,39.94,39.85
2022-04-04,40.21,40.15
2022-04-05,39.72,40.5
2022-04-06,39.99,41.0
2022-04-07,39.62,39.99
2022-04-08,40.28,37.65
2022-04-09,40.42,38.63
2022-04-10,40.56,39.61
2022-04-11,40.7,40.6
2022-04-12,41.78,40.69
2022-04-13,42.8,42.6
2022-04-14,42.88,42.62
2022-04-15,42.95,42.64
2022-04-16,43.03,42.66
2022-04-17,43.11,42.68
2022-04-18,43.19,42.7
2022-04-19,43.68,43.6
2022-04-20,44.0,43.67
2022-04-21,44.65,44.0
2022-04-22,44.66,45.1
2022-04-23,44.9,45.07
2022-04-24,45.15,45.03
2022-04-25,45.39,45.0
2022-04-26,45.15,45.0
2022-04-27,44.81,45.15
2022-04-28,44.51,44.35
2022-04-29,43.44,43.01
2022-04-30,43.41,43.0
2022-05-01,43.38,43.0
2022-05-02,43.35,43.0
2022-05-03,43.8,42.75
2022-05-04,44.25,42.5
2022-05-05,42.5,43.5
2022-05-06,40.93,41.5
2022-05-07,41.16,40.77
2022-05-08,41.38,40.03
2022-05-09,41.61,39.3
2022-05-10,41.38,41.61
2022-05-11,41.4,41.0
2022-05-12,40.19,41.4
2022-05-13,40.17,40.0
2022-05-14,40.28,40.06
2022-05-15,40.39,40.11
2022-05-16,40.5,40.17
2022-05-17,40.2,40.5
2022-05-18,40.93,41.5
2022-05-19,40.73,40.0
2022-05-20,40.15,41.6
2022-05-21,40.3,40.45
2022-05-22,40.45,39.3
2022-05-23,40.6,38.15
2022-05-24,40.4,41.41
2022-05-25,40.0,38.51
2022-05-26,41.0,38.9
2022-05-27,41.0,39.6
2022-05-28,41.0,39.67
2022-05-29,41.0,39.73
2022-05-30,41.0,39.8
2022-05-31,40.75,39.81
2022-06-01,41.58,40.7
2022-06-02,42.88,41.5
2022-06-03,43.49,43.2
2022-06-04,42.87,43.35
2022-06-05,42.25,43.5
2022-06-06,41.63,43.65
2022-06-07,40.01,41.0
2022-06-08,39.2,38.6
2022-06-09,40.0,39.5
2022-06-10,39.21,39.99
2022-06-11,38.96,39.83
2022-06-12,38.7,39.66
2022-06-13,38.45,39.5
2022-06-14,38.3,38.45
2022-06-15,38.82,38.4
2022-06-16,38.19,38.1
2022-06-17,38.65,38.19
2022-06-18,38.77,38.59
2022-06-19,38.9,39.0
2022-06-20,39.03,39.4
2022-06-21,39.5,38.01
2022-06-22,39.99,40.5
2022-06-23,40.0,39.19
2022-06-24,40.1,40.0
2022-06-25,39.94,40.33
2022-06-26,39.77,40.67
2022-06-27,39.6,41.0
2022-06-28,40.31,41.0
2022-06-29,39.53,40.0
2022-06-30,39.53,39.44
2022-07-01,39.22,39.53
2022-07-02,39.58,39.42
2022-07-03,39.94,39.32
2022-07-04,40.29,39.22
