Date,Open,Close
2022-01-01,99.91,100.16
2022-01-02,100.42,101.01
2022-01-03,100.93,101.87
2022-01-04,99.69,102.52
2022-01-05,97.42,100.54
2022-01-06,100.59,97.46
2022-01-07,100.34,99.15
2022-01-08,102.27,99.79
2022-01-09,104.2,100.44
2022-01-10,106.13,101.08
2022-01-11,106.28,104.99
2022-01-12,105.64,112.72
2022-01-13,104.75,106.38
2022-01-14,103.66,104.75
2022-01-15,106.18,105.75
2022-01-16,108.71,106.76
2022-01-17,111.23,107.77
2022-01-18,107.12,113.81
2022-01-19,106.28,107.12
2022-01-20,106.13,105.34
2022-01-21,103.31,104.0
2022-01-22,100.59,103.72
2022-01-23,97.86,103.44
2022-01-24,95.14,103.16
2022-01-25,96.33,97.56
2022-01-26,95.14,97.29
2022-01-27,93.95,97.02
2022-01-28,94.39,94.34
2022-01-29,95.04,94.87
2022-01-30,95.68,95.4
2022-01-31,96.33,95.93
2022-02-01,95.38,96.47
2022-02-02,97.86,96.08
2022-02-03,97.76,97.17
2022-02-04,100.04,97.76
2022-02-05,99.0,98.55
2022-02-06,97.96,99.35
2022-02-07,96.92,100.14
2022-02-08,95.78,97.37
2022-02-09,94.25,97.42
2022-02-10,93.5,96.08
2022-02-11,94.39,91.18
2022-02-12,93.09,92.45
2022-02-13,91.79,93.72
2022-02-14,90.48,94.99
2022-02-15,93.7,89.14
2022-02-16,91.72,93.9
2022-02-17,90.33,92.02
2022-02-18,88.6,91.62
2022-02-19,86.72,90.22
2022-02-20,84.84,88.81
2022-02-21,82.95,87.41
2022-02-22,82.16,80.73
2022-02-23,85.13,82.11
2022-02-24,81.42,82.21
2022-02-25,85.08,86.27
2022-02-26,86.39,84.8
2022-02-27,87.69,83.33
2022-02-28,89.0,81.86
2022-03-01,88.8,84.27
2022-03-02,88.6,86.67
2022-03-03,88.4,89.94
2022-03-04,85.68,90.63
2022-03-05,84.57,88.48
2022-03-06,83.47,86.34
2022-03-07,82.36,84.19
2022-03-08,85.98,83.4
2022-03-09,87.02,88.55
2022-03-10,87.91,88.15
2022-03-11,89.79,87.91
2022-03-12,89.84,89.24
2022-03-13,89.89,90.58
2022-03-14,89.94,91.92
2022-03-15,87.21,89.14
2022-03-16,89.0,87.31
2022-03-17,89.19,90.18
2022-03-18,88.9,90.52
2022-03-19,88.6,90.85
2022-03-20,88.3,91.19
2022-03-21,88.01,91.52
2022-03-22,88.2,89.89
2022-03-23,85.53,87.46
2022-03-24,77.21,86.17
2022-03-25,77.56,77.26
2022-03-26,77.11,77.26
2022-03-27,76.66,77.26
2022-03-28,76.22,77.26
2022-03-29,75.08,76.57
2022-03-30,76.02,76.07
2022-03-31,72.21,76.57
2022-04-01,86.62,72.75
2022-04-02,89.41,78.58
2022-04-03,92.2,84.41
2022-04-04,94.99,90.23
2022-04-05,93.95,95.43
2022-04-06,93.11,93.75
2022-04-07,92.86,92.17
2022-04-08,93.95,92.61
2022-04-09,94.33,92.56
2022-04-10,94.71,92.51
2022-04-11,95.09,92.46
2022-04-12,93.26,96.38
2022-04-13,91.22,92.41
2022-04-14,91.24,91.88
2022-04-15,91.26,91.34
2022-04-16,91.28,90.81
2022-04-17,91.3,90.27
2022-04-18,91.32,89.74
2022-04-19,89.84,90.38
2022-04-20,86.62,90.23
2022-04-21,103.9,90.14
2022-04-22,98.9,102.96
2022-04-23,97.3,101.28
2022-04-24,95.7,99.59
2022-04-25,94.1,97.91
2022-04-26,90.88,94.1
2022-04-27,89.1,90.38
2022-04-28,89.34,89.14
2022-04-29,91.37,91.42
2022-04-30,90.23,91.16
2022-05-01,89.1,90.89
2022-05-02,87.96,90.63
2022-05-03,87.02,90.18
2022-05-04,86.07,89.74
2022-05-05,85.28,88.7
2022-05-06,82.26,84.19
2022-05-07,82.44,83.22
2022-05-08,82.62,82.24
2022-05-09,82.81,81.27
2022-05-10,80.43,83.2
2022-05-11,72.9,80.53
2022-05-12,74.68,72.65
2022-05-13,77.75,77.85
2022-05-14,78.86,78.79
2022-05-15,79.97,79.74
2022-05-16,81.07,80.68
2022-05-17,82.86,82.9
2022-05-18,80.28,83.94
