Date,Open,Close
2020-01-01,379.25,378.91
2020-01-02,383.99,379.87
2020-01-03,379.15,384.19
2020-01-04,375.36,381.93
2020-01-05,371.57,379.68
2020-01-06,367.78,377.42
2020-01-07,372.34,369.65
2020-01-08,368.65,369.32
2020-01-09,370.85,378.91
2020-01-10,370.08,371.72
2020-01-11,370.07,370.98
2020-01-12,370.05,370.24
2020-01-13,370.04,369.51
2020-01-14,370.71,371.96
2020-01-15,360.2,368.36
2020-01-16,369.32,360.2
2020-01-17,372.91,371.14
2020-01-18,373.09,373.09
2020-01-19,373.27,375.04
2020-01-20,373.44,376.99
2020-01-21,444.72,381.79
2020-01-22,436.56,451.09
2020-01-23,457.76,437.81
2020-01-24,453.4,462.17
2020-01-25,452.58,458.72
2020-01-26,451.77,455.27
2020-01-27,450.95,451.81
2020-01-28,454.36,452.73
2020-01-29,468.07,455.32
2020-01-30,461.5,467.07
2020-01-31,464.33,463.33
2020-02-01,465.52,460.13
2020-02-02,466.7,456.93
2020-02-03,467.88,453.73
2020-02-04,464.04,469.08
2020-02-05,459.63,465.15
2020-02-06,470.33,459.49
2020-02-07,467.79,472.34
2020-02-08,465.66,470.62
2020-02-09,463.53,468.89
2020-02-10,461.41,467.16
2020-02-11,472.44,460.69
2020-02-12,489.9,474.93
2020-02-13,485.72,492.1
2020-02-14,489.37,487.59
2020-02-15,489.21,489.19
2020-02-16,489.05,490.79
2020-02-17,488.89,492.39
2020-02-18,489.08,486.35
2020-02-19,488.7,491.19
2020-02-20,488.75,489.23
2020-02-21,488.96,489.15
2020-02-22,489.18,489.08
2020-02-23,489.39,489.01
2020-02-24,489.61,488.94
2020-02-25,489.27,494.26
2020-02-26,487.21,484.43
2020-02-27,484.48,487.4
2020-02-28,479.68,480.74
2020-03-01,479.68,471.05
2020-03-02,479.68,466.2
2020-03-03,465.53,477.76
2020-03-04,458.86,465.24
2020-03-05,460.45,458.53
2020-03-06,445.53,450.85
2020-03-07,433.88,446.06
2020-03-08,422.22,441.26
2020-03-09,410.57,436.47
2020-03-10,406.25,418.0
2020-03-11,401.93,399.53
2020-03-12,382.36,388.5
2020-03-13,380.92,327.11
2020-03-14,370.08,335.28
2020-03-15,359.24,343.45
2020-03-16,348.41,351.62
2020-03-17,348.21,348.41
2020-03-18,318.09,348.21
2020-03-19,306.73,283.94
2020-03-20,322.03,307.35
2020-03-21,305.21,300.83
2020-03-22,288.39,294.3
2020-03-23,271.57,287.78
2020-03-24,277.18,278.86
2020-03-25,289.31,271.47
2020-03-26,295.98,288.74
2020-03-27,292.86,306.96
2020-03-28,286.77,295.49
2020-03-29,280.68,284.01
2020-03-30,274.59,272.53
2020-03-31,267.68,288.74
2020-04-01,263.8,263.99
2020-04-02,258.14,264.28
2020-04-03,252.48,264.57
2020-04-04,255.22,262.99
2020-04-05,257.97,261.42
2020-04-06,260.72,259.85
2020-04-07,263.46,258.28
2020-04-08,271.86,263.8
2020-04-09,272.72,273.34
2020-04-10,268.68,274.3
2020-04-11,264.64,275.26
2020-04-12,260.6,276.22
2020-04-13,256.56,277.18
2020-04-14,257.85,267.61
2020-04-15,259.15,258.04
2020-04-16,272.91,257.08
2020-04-17,295.31,281.78
2020-04-18,296.43,287.78
2020-04-19,297.55,293.78
2020-04-20,298.67,299.77
2020-04-21,279.43,287.97
2020-04-22,279.05,279.43
2020-04-23,299.53,281.06
2020-04-24,280.3,287.73
2020-04-25,279.55,287.43
2020-04-26,278.79,287.12
2020-04-27,278.04,286.82
2020-04-28,296.84,282.98
2020-04-29,300.78,299.77
2020-04-30,307.06,308.88
2020-05-01,302.29,304.57
2020-05-02,297.52,300.25
2020-05-03,292.74,295.93
2020-05-04,287.97,291.62
2020-05-05,278.91,284.95
2020-05-06,284.37,280.87
2020-05-07,290.47,284.9
2020-05-08,287.49,300.15
2020-05-09,289.83,298.59
2020-05-10,292.16,297.02
2020-05-11,294.49,295.45
2020-05-12,283.94,289.12
2020-05-13,295.45,296.84
2020-05-14,291.47,296.41
2020-05-15,283.65,291.47
2020-05-16,277.69,288.87
2020-05-17,271.73,286.26
2020-05-18,265.76,283.65
2020-05-19,267.06,266.77
2020-05-20,272.67,267.11
2020-05-21,273.39,273.82
2020-05-22,262.89,272.91
2020-05-23,262.24,270.68
2020-05-24,261.59,268.45
2020-05-25,260.94,266.22
2020-05-26,260.3,263.99
2020-05-27,264.52,260.63
2020-05-28,270.7,266.58
2020-05-29,265.96,271.86
2020-05-30,270.58,270.77
2020-05-31,275.2,269.68
2020-06-01,279.82,268.59
2020-06-02,292.82,280.11
2020-06-03,302.31,295.93
2020-06-04,290.23,301.5
2020-06-05,300.73,292.58
2020-06-06,301.42,296.22
2020-06-07,302.1,299.87
2020-06-08,302.79,303.51
2020-06-09,297.85,305.72
2020-06-10,297.66,300.11
2020-06-11,298.67,297.37
2020-06-12,298.52,287.01
2020-06-13,296.06,291.11
2020-06-14,293.6,295.2
2020-06-15,291.14,299.29
2020-06-16,305.91,311.76
2020-06-17,318.86,306.96
2020-06-18,335.55,322.12
2020-06-19,345.38,342.36
2020-06-20,348.09,344.95
2020-06-21,350.79,347.54
2020-06-22,353.49,350.13
2020-06-23,348.26,352.91
2020-06-24,352.72,354.74
2020-06-25,346.77,345.43
2020-06-26,339.96,349.08
2020-06-27,336.41,344.63
2020-06-28,332.87,340.19
2020-06-29,329.32,335.74
2020-06-30,324.09,329.46
2020-07-01,331.62,324.14
2020-07-02,343.99,335.22
2020-07-03,338.96,345.29
2020-07-04,344.62,343.4
2020-07-05,350.28,341.51
2020-07-06,355.94,339.63
2020-07-07,356.65,354.78
2020-07-08,348.02,361.64
2020-07-09,352.05,351.47
2020-07-10,345.96,350.13
2020-07-11,345.85,349.25
2020-07-12,345.74,348.37
2020-07-13,345.62,347.49
2020-07-14,335.12,343.51
2020-07-15,350.52,336.7
2020-07-16,344.66,352.58
2020-07-17,343.37,345.34
2020-07-18,347.62,346.23
2020-07-19,351.87,347.13
2020-07-20,356.13,348.02
2020-07-21,354.93,356.37
2020-07-22,362.75,357.52
2020-07-23,383.23,368.31
2020-07-24,379.68,385.62
2020-07-25,376.66,381.8
2020-07-26,373.63,377.98
2020-07-27,370.61,374.16
2020-07-28,360.64,369.37
2020-07-29,354.02,362.03
2020-07-30,347.06,355.55
2020-07-31,350.52,348.21
2020-08-01,352.03,348.85
2020-08-02,353.55,349.49
2020-08-03,355.07,350.13
2020-08-04,364.28,355.89
2020-08-05,354.59,366.3
2020-08-06,355.89,359.72
2020-08-07,357.52,355.89
2020-08-08,362.89,356.46
2020-08-09,368.26,357.04
2020-08-10,373.63,357.61
2020-08-11,358.33,369.27
2020-08-12,354.11,357.76
2020-08-13,351.67,355.89
2020-08-14,357.81,351.09
2020-08-15,356.4,354.45
2020-08-16,354.99,357.81
2020-08-17,353.59,361.16
2020-08-18,359.52,356.86
2020-08-19,357.01,359.57
2020-08-20,353.83,356.86
2020-08-21,357.97,356.86
2020-08-22,360.47,357.67
2020-08-23,362.96,358.47
2020-08-24,365.45,359.28
2020-08-25,372.49,369.07
2020-08-26,378.95,392.6
2020-08-27,368.97,379.53
2020-08-28,373.45,370.61
2020-08-29,368.31,374.06
2020-08-30,363.17,377.52
2020-08-31,358.02,380.98
2020-09-01,368.29,357.83
2020-09-02,371.04,366.61
2020-09-03,371.24,372.97
2020-09-04,361.93,362.56
2020-09-05,360.61,362.27
2020-09-06,359.29,361.98
2020-09-07,357.97,361.69
2020-09-08,357.68,360.05
2020-09-09,358.65,352.04
2020-09-10,367.04,359.57
2020-09-11,377.55,368.44
2020-09-12,388.58,374.87
2020-09-13,399.61,381.3
2020-09-14,410.64,387.73
2020-09-15,418.88,413.72
2020-09-16,434.55,414.73
2020-09-17,419.41,432.1
2020-09-18,405.57,423.03
2020-09-19,404.94,417.21
2020-09-20,404.32,411.39
2020-09-21,403.69,405.57
2020-09-22,398.39,406.01
2020-09-23,400.85,400.27
2020-09-24,389.37,395.54
2020-09-25,394.67,390.62
2020-09-26,397.71,393.52
2020-09-27,400.75,396.41
2020-09-28,403.79,399.3
2020-09-29,407.11,405.09
2020-09-30,400.99,409.77
2020-10-01,401.67,403.02
2020-10-02,402.29,401.85
2020-10-03,402.92,400.68
2020-10-04,403.55,399.51
2020-10-05,404.17,398.34
2020-10-06,407.65,406.2
2020-10-07,414.49,408.95
2020-10-08,424.43,414.83
2020-10-09,447.24,425.59
2020-10-10,450.55,433.12
2020-10-11,453.86,440.66
2020-10-12,457.17,448.2
2020-10-13,449.55,456.45
2020-10-14,453.8,449.75
2020-10-15,431.23,453.22
2020-10-16,451.72,430.41
2020-10-17,451.0,437.42
2020-10-18,450.28,444.42
2020-10-19,449.55,451.43
2020-10-20,453.51,446.47
2020-10-21,451.87,451.39
2020-10-22,438.03,448.54
2020-10-23,442.03,438.85
2020-10-24,438.22,440.65
2020-10-25,434.41,442.45
2020-10-26,430.6,444.25
2020-10-27,436.58,429.3
2020-10-28,433.54,439.09
2020-10-29,446.8,435.95
2020-10-30,441.02,450.47
2020-10-31,442.64,447.3
2020-11-01,444.26,444.14
2020-11-02,445.89,440.97
2020-11-03,446.51,453.27
2020-11-04,438.65,446.56
2020-11-05,447.67,440.87
2020-11-06,455.2,445.55
2020-11-07,456.61,448.77
2020-11-08,458.02,451.98
2020-11-09,459.44,455.2
2020-11-10,464.02,462.96
2020-11-11,460.21,463.73
2020-11-12,462.57,461.42
2020-11-13,456.69,461.8
2020-11-14,463.15,460.89
2020-11-15,464.63,461.64
2020-11-16,466.11,462.4
2020-11-17,467.59,463.15
2020-11-18,462.67,468.36
2020-11-19,444.01,459.1
2020-11-20,447.53,447.43
2020-11-21,449.39,449.39
2020-11-22,451.26,451.35
2020-11-23,453.12,453.31
2020-11-24,462.96,457.37
2020-11-25,453.56,465.85
2020-11-26,452.88,457.17
2020-11-27,464.84,454.28
2020-11-28,466.58,457.65
2020-11-29,468.31,461.03
2020-11-30,470.05,464.41
2020-12-01,471.78,467.78
2020-12-02,462.14,474.53
2020-12-03,472.99,467.54
2020-12-04,467.3,474.53
2020-12-05,469.28,471.64
2020-12-06,471.25,468.75
2020-12-07,473.23,465.85
2020-12-08,465.13,472.6
2020-12-09,463.63,470.39
2020-12-10,451.43,466.14
2020-12-11,471.83,455.24
2020-12-12,471.32,461.82
2020-12-13,470.8,468.39
2020-12-14,470.29,474.97
2020-12-15,468.22,472.8
2020-12-16,460.45,473.76
2020-12-17,471.54,462.86
2020-12-18,472.8,467.54
2020-12-19,466.62,469.71
2020-12-20,460.45,471.88
2020-12-21,454.28,474.05
2020-12-22,446.51,457.41
2020-12-23,462.67,449.46
2020-12-24,470.0,466.43
2020-12-25,469.78,467.25
2020-12-26,469.57,468.07
2020-12-27,469.35,468.89
2020-12-28,469.13,469.71
2020-12-29,483.21,472.6
2020-12-30,479.02,482.25
2020-12-31,481.67,474.58
