Date,Open,Close
2024-01-01,19.25,18.95
2024-01-02,19.55,19.5
2024-01-03,20.7,19.7
2024-01-04,20.8,21.45
2024-01-05,20.9,20.85
2024-01-06,20.85,20.97
2024-01-07,20.8,21.08
2024-01-08,20.75,21.2
2024-01-09,20.6,20.9
2024-01-10,20.25,20.2
2024-01-11,22.25,20.25
2024-01-12,24.45,22.7
2024-01-13,24.65,23.73
2024-01-14,24.85,24.77
2024-01-15,25.05,25.8
2024-01-16,24.45,26.45
2024-01-17,26.85,24.1
2024-01-18,28.15,28.15
2024-01-19,29.55,29.55
2024-01-20,29.52,29.85
2024-01-21,29.5,30.15
2024-01-22,29.48,30.45
2024-01-23,29.45,30.75
2024-01-24,28.95,28.0
2024-01-25,29.45,29.9
2024-01-26,29.79,30.15
2024-01-27,30.12,30.4
2024-01-28,30.46,30.65
2024-01-29,30.8,30.9
2024-01-30,30.8,31.3
2024-01-31,30.4,31.2
2024-02-01,29.1,30.7
2024-02-02,27.65,28.55
2024-02-03,27.2,27.87
2024-02-04,26.75,27.18
2024-02-05,26.3,26.5
2024-02-06,25.0,25.3
2024-02-07,26.25,24.05
2024-02-08,24.95,26.75
2024-02-09,24.05,24.95
2024-02-10,23.65,24.35
2024-02-11,23.25,23.75
2024-02-12,22.85,23.15
2024-02-13,23.95,22.15
2024-02-14,25.1,23.65
2024-02-15,26.3,26.25
2024-02-16,25.2,26.95
2024-02-17,25.2,26.37
2024-02-18,25.2,25.78
2024-02-19,25.2,25.2
2024-02-20,24.2,25.6
2024-02-21,23.95,24.0
2024-02-22,23.6,23.85
2024-02-23,24.0,23.6
2024-02-24,23.85,23.97
2024-02-25,23.7,24.33
2024-02-26,23.55,24.7
2024-02-27,22.8,23.55
2024-02-28,21.8,22.7
2024-03-01,23.1,22.75
2024-03-02,22.83,22.98
2024-03-03,22.57,23.22
2024-03-04,22.3,23.45
2024-03-05,21.75,22.3
2024-03-06,21.0,21.75
2024-03-07,21.45,21.0
2024-03-08,21.39,21.22
2024-03-09,21.33,21.45
2024-03-10,21.26,21.67
2024-03-11,21.2,21.9
2024-03-12,20.2,21.65
2024-03-13,19.2,20.6
2024-03-14,19.7,18.25
2024-03-15,19.65,19.8
2024-03-16,19.5,19.75
2024-03-17,19.35,19.7
2024-03-18,19.2,19.65
2024-03-19,18.4,19.2
2024-03-20,18.85,18.75
2024-03-21,19.75,19.0
2024-03-22,20.45,19.75
2024-03-23,20.31,20.04
2024-03-24,20.18,20.32
2024-03-25,20.04,20.61
2024-03-26,19.9,20.9
2024-03-27,18.95,19.8
2024-03-28,18.95,19.0
2024-03-29,19.18,19.19
2024-03-30,19.4,19.38
2024-03-31,19.63,19.56
2024-04-01,19.85,19.75
2024-04-02,20.8,20.6
2024-04-03,21.8,21.7
2024-04-04,22.85,22.5
2024-04-05,22.7,22.95
2024-04-06,22.55,22.72
2024-04-07,22.4,22.48
2024-04-08,22.25,22.25
2024-04-09,21.8,21.8
2024-04-10,21.4,21.4
2024-04-11,21.2,21.2
2024-04-12,21.0,21.0
2024-04-13,20.87,20.87
2024-04-14,20.73,20.73
2024-04-15,20.6,20.6
2024-04-16,20.2,20.2
2024-04-17,20.0,20.0
2024-04-18,19.8,19.8
2024-04-19,19.4,19.4
2024-04-20,19.4,19.4
2024-04-21,19.4,19.4
2024-04-22,19.4,19.4
2024-04-23,19.5,19.5
2024-04-24,19.2,19.2
2024-04-25,19.0,19.0
2024-04-26,18.85,18.85
2024-04-27,18.87,18.87
2024-04-28,18.88,18.88
2024-04-29,18.9,18.9
2024-04-30,19.25,19.25
2024-05-01,19.15,19.15
2024-05-02,19.05,19.05
2024-05-03,18.8,18.8
2024-05-04,18.78,18.78
2024-05-05,18.77,18.77
2024-05-06,18.75,18.75
2024-05-07,18.4,18.4
2024-05-08,18.3,18.3
2024-05-09,18.0,18.0
2024-05-10,17.85,17.85
2024-05-11,18.07,18.07
2024-05-12,18.28,18.28
2024-05-13,18.5,18.5
2024-05-14,19.3,18.5
2024-05-15,19.0,19.3
2024-05-16,18.65,19.0
2024-05-17,18.5,18.65
2024-05-18,18.62,18.84
2024-05-19,18.75,19.02
2024-05-20,18.88,19.21
2024-05-21,19.0,19.4
2024-05-22,18.9,18.95
2024-05-23,18.7,18.55
2024-05-24,19.45,18.7
2024-05-25,19.47,18.83
2024-05-26,19.48,18.97
2024-05-27,19.5,19.1
2024-05-28,19.15,19.75
2024-05-29,19.3,19.45
2024-05-30,18.8,19.5
2024-05-31,18.5,19.0
2024-06-01,18.53,19.12
2024-06-02,18.57,19.23
2024-06-03,18.6,19.35
2024-06-04,17.8,19.0
2024-06-05,17.2,17.9
2024-06-06,18.05,17.2
2024-06-07,19.7,18.75
2024-06-08,19.82,19.1
2024-06-09,19.93,19.45
2024-06-10,20.05,19.8
2024-06-11,19.71,20.2
2024-06-12,21.68,20.0
2024-06-13,22.4,23.2
2024-06-14,21.73,22.5
2024-06-15,21.61,22.37
2024-06-16,21.49,22.24
2024-06-17,21.38,22.11
2024-06-18,21.26,21.98
2024-06-19,21.08,21.26
2024-06-20,22.25,21.08
2024-06-21,21.91,22.5
2024-06-22,21.96,22.4
2024-06-23,22.01,22.3
2024-06-24,22.06,22.2
2024-06-25,21.59,22.69
2024-06-26,21.18,21.59
2024-06-27,20.25,21.5
2024-06-28,20.32,20.39
2024-06-29,20.48,20.39
2024-06-30,20.63,20.38
2024-07-01,20.79,20.38
2024-07-02,20.79,20.79
2024-07-03,22.16,20.8
2024-07-04,23.47,22.94
2024-07-05,25.81,24.8
2024-07-06,25.38,25.37
2024-07-07,24.94,25.93
2024-07-08,24.51,26.5
2024-07-09,23.67,24.52
2024-07-10,24.85,23.82
2024-07-11,26.09,25.6
2024-07-12,27.39,27.39
2024-07-13,27.84,27.84
2024-07-14,28.3,28.29
2024-07-15,28.75,28.74
2024-07-16,30.18,30.18
2024-07-17,29.43,30.18
2024-07-18,28.67,30.18
2024-07-19,27.23,27.23
2024-07-20,26.77,26.77
2024-07-21,26.32,26.32
2024-07-22,25.86,25.86
2024-07-23,24.58,25.0
2024-07-24,25.8,24.01
2024-07-25,27.09,27.0
2024-07-26,28.44,28.44
2024-07-27,27.96,28.82
2024-07-28,27.49,29.21
2024-07-29,27.01,29.59
2024-07-30,26.78,26.0
2024-07-31,28.11,27.3
2024-08-01,27.12,27.89
2024-08-02,27.06,26.2
2024-08-03,26.61,26.3
2024-08-04,26.15,26.41
2024-08-05,25.7,26.51
2024-08-06,24.54,25.15
2024-08-07,26.05,25.45
2024-08-08,26.01,26.9
2024-08-09,25.83,26.04
2024-08-10,26.22,26.34
2024-08-11,26.61,26.65
2024-08-12,27.0,26.95
2024-08-13,25.99,28.0
2024-08-14,25.43,26.35
2024-08-15,25.24,26.12
2024-08-16,25.04,25.89
2024-08-17,25.87,25.67
2024-08-18,26.71,25.46
2024-08-19,27.54,25.24
2024-08-20,27.38,27.98
2024-08-21,27.33,27.37
2024-08-22,29.95,27.91
2024-08-23,29.47,30.09
2024-08-24,28.94,29.88
2024-08-25,28.41,29.68
2024-08-26,27.88,29.47
2024-08-27,28.23,28.43
2024-08-28,27.73,28.18
2024-08-29,26.76,28.2
2024-08-30,26.74,26.69
2024-08-31,26.51,26.63
2024-09-01,26.28,26.56
2024-09-02,26.05,26.5
2024-09-03,25.93,26.05
2024-09-04,25.63,25.39
2024-09-05,25.97,26.39
2024-09-06,25.91,25.06
2024-09-07,26.08,25.37
2024-09-08,26.24,25.69
2024-09-09,26.41,26.0
2024-09-10,26.64,26.91
2024-09-11,26.35,26.99
2024-09-12,26.27,26.35
2024-09-13,26.04,26.27
2024-09-14,26.06,26.34
2024-09-15,26.09,26.42
2024-09-16,26.11,26.49
2024-09-17,25.84,26.11
2024-09-18,25.38,26.18
2024-09-19,24.62,25.5
2024-09-20,24.51,25.0
2024-09-21,24.35,24.78
2024-09-22,24.2,24.57
2024-09-23,24.04,24.35
2024-09-24,24.24,24.4
2024-09-25,24.89,24.2
2024-09-26,24.35,24.84
2024-09-27,24.16,24.59
2024-09-28,24.15,24.71
2024-09-29,24.13,24.82
2024-09-30,24.12,24.94
2024-10-01,24.21,24.69
2024-10-02,23.83,24.05
2024-10-03,23.46,23.41
2024-10-04,23.15,23.46
2024-10-05,23.33,23.64
2024-10-06,23.52,23.81
2024-10-07,23.7,23.99
2024-10-08,23.81,24.09
2024-10-09,24.51,24.4
2024-10-10,23.69,24.49
2024-10-11,23.89,23.56
2024-10-12,23.96,23.84
2024-10-13,24.04,24.11
2024-10-14,24.11,24.39
2024-10-15,23.95,24.19
2024-10-16,24.11,24.2
2024-10-17,23.44,24.25
2024-10-18,23.59,23.0
2024-10-19,23.98,23.59
2024-10-20,24.37,24.17
2024-10-21,24.76,24.76
2024-10-22,23.52,25.19
2024-10-23,22.92,23.01
2024-10-24,22.72,23.5
2024-10-25,21.96,23.09
2024-10-26,22.24,22.71
2024-10-27,22.53,22.34
2024-10-28,22.81,21.96
2024-10-29,23.09,22.93
2024-10-30,23.97,23.89
2024-10-31,23.59,24.44
2024-11-01,24.2,24.18
2024-11-02,23.95,24.07
2024-11-03,23.69,23.96
2024-11-04,23.44,23.85
2024-11-05,23.48,23.25
2024-11-06,24.13,23.95
2024-11-07,24.06,24.55
2024-11-08,23.56,23.6
2024-11-09,23.38,23.63
2024-11-10,23.21,23.66
2024-11-11,23.03,23.69
2024-11-12,22.52,22.7
2024-11-13,21.71,21.57
2024-11-14,20.76,21.88
2024-11-15,20.66,21.6
2024-11-16,20.55,21.31
2024-11-17,20.45,21.03
2024-11-18,20.34,20.75
2024-11-19,21.13,20.47
2024-11-20,21.09,20.73
2024-11-21,21.06,21.0
2024-11-22,21.45,21.11
2024-11-23,21.8,21.57
2024-11-24,22.15,22.04
2024-11-25,22.5,22.5
2024-11-26,22.3,22.05
2024-11-27,23.05,22.54
2024-11-28,23.14,23.05
2024-11-29,23.64,23.09
2024-11-30,24.43,23.48
2024-12-01,25.21,23.87
2024-12-02,26.0,24.26
2024-12-03,25.35,26.05
2024-12-04,25.11,25.35
2024-12-05,25.33,25.58
2024-12-06,24.67,25.88
2024-12-07,24.63,25.33
2024-12-08,24.59,24.77
2024-12-09,24.55,24.22
2024-12-10,24.36,24.88
2024-12-11,24.75,24.73
2024-12-12,24.32,25.1
2024-12-13,25.67,24.1
2024-12-14,25.86,24.8
2024-12-15,26.06,25.5
2024-12-16,26.25,26.2
2024-12-17,26.46,27.12
2024-12-18,26.06,26.46
2024-12-19,26.14,25.42
2024-12-20,25.84,26.13
2024-12-21,25.8,25.92
2024-12-22,25.75,25.71
2024-12-23,25.71,25.5
2024-12-24,26.12,25.98
2024-12-25,25.68,26.41
2024-12-26,25.24,26.85
2024-12-27,24.82,25.48
2024-12-28,24.64,25.25
2024-12-29,24.45,25.03
2024-12-30,24.27,24.8
2024-12-31,24.32,24.2
