Date,Open,Close
2024-01-01,137.8,137.8
2024-01-02,140.55,140.55
2024-01-03,143.35,143.35
2024-01-04,141.5,141.5
2024-01-05,139.5,139.5
2024-01-06,139.53,139.53
2024-01-07,139.57,139.57
2024-01-08,139.6,139.6
2024-01-09,139.5,139.5
2024-01-10,142.0,142.0
2024-01-11,140.7,140.7
2024-01-12,143.4,143.4
2024-01-13,143.78,143.78
2024-01-14,144.17,144.17
2024-01-15,144.55,144.55
2024-01-16,146.8,146.8
2024-01-17,144.1,144.1
2024-01-18,145.95,145.95
2024-01-19,146.0,146.0
2024-01-20,147.38,149.06
2024-01-21,148.75,152.12
2024-01-22,150.12,155.19
2024-01-23,151.5,158.25
2024-01-24,149.6,149.95
2024-01-25,149.65,146.0
2024-01-26,150.32,146.31
2024-01-27,151.0,146.62
2024-01-28,151.68,146.94
2024-01-29,152.35,147.25
2024-01-30,150.05,153.55
2024-01-31,149.0,152.3
2024-02-01,155.25,145.0
2024-02-02,162.95,162.0
2024-02-03,161.95,164.97
2024-02-04,160.95,167.93
2024-02-05,159.95,170.9
2024-02-06,147.75,163.0
2024-02-07,154.45,148.0
2024-02-08,146.95,151.05
2024-02-09,137.35,149.5
2024-02-10,133.02,146.63
2024-02-11,128.68,143.77
2024-02-12,124.35,140.9
2024-02-13,124.55,124.9
2024-02-14,126.4,123.6
2024-02-15,129.05,129.1
2024-02-16,131.3,132.5
2024-02-17,133.12,133.32
2024-02-18,134.93,134.13
2024-02-19,136.75,134.95
2024-02-20,132.7,135.95
2024-02-21,131.7,131.35
2024-02-22,130.05,131.75
2024-02-23,129.8,128.65
2024-02-24,129.78,129.07
2024-02-25,129.77,129.48
2024-02-26,129.75,129.9
2024-02-27,121.65,130.25
2024-02-28,118.0,122.65
2024-03-01,125.7,120.5
2024-03-02,124.57,122.03
2024-03-03,123.43,123.57
2024-03-04,122.3,125.1
2024-03-05,120.2,123.8
2024-03-06,118.85,119.0
2024-03-07,125.5,120.6
2024-03-08,125.09,122.12
2024-03-09,124.67,123.65
2024-03-10,124.26,125.17
2024-03-11,123.85,126.7
2024-03-12,121.2,123.0
2024-03-13,111.25,124.7
2024-03-14,112.9,105.75
2024-03-15,114.4,112.95
2024-03-16,114.92,114.88
2024-03-17,115.43,116.82
2024-03-18,115.95,118.75
2024-03-19,118.45,115.0
2024-03-20,116.5,120.2
2024-03-21,115.9,118.85
2024-03-22,120.8,116.5
2024-03-23,123.8,117.98
2024-03-24,126.8,119.45
2024-03-25,129.8,120.93
2024-03-26,132.8,122.4
2024-03-27,125.8,133.0
2024-03-28,121.85,127.0
2024-03-29,122.86,127.49
2024-03-30,123.88,127.97
2024-03-31,124.89,128.46
2024-04-01,125.9,128.95
2024-04-02,126.4,127.8
2024-04-03,129.7,128.0
2024-04-04,130.5,131.0
2024-04-05,128.2,130.5
2024-04-06,127.57,130.57
2024-04-07,126.93,130.63
2024-04-08,126.3,130.7
2024-04-09,126.6,127.7
2024-04-10,126.25,127.25
2024-04-11,125.08,127.08
2024-04-12,123.9,126.9
2024-04-13,122.87,124.78
2024-04-14,121.83,122.67
2024-04-15,120.8,120.55
2024-04-16,120.25,121.25
2024-04-17,119.4,120.62
2024-04-18,118.55,120.0
2024-04-19,122.7,119.45
2024-04-20,122.78,120.63
2024-04-21,122.87,121.82
2024-04-22,122.95,123.0
2024-04-23,122.5,122.85
2024-04-24,121.8,122.5
2024-04-25,125.8,123.45
2024-04-26,128.7,127.3
2024-04-27,127.48,127.53
2024-04-28,126.27,127.77
2024-04-29,125.05,128.0
2024-04-30,125.25,124.3
2024-05-01,124.62,124.4
