Date,Open,Close
2021-03-10,4.51,4.29
2021-03-11,4.62,4.51
2021-03-12,4.73,4.73
2021-03-13,4.81,4.81
2021-03-14,4.89,4.89
2021-03-15,4.97,4.97
2021-03-16,5.22,5.22
2021-03-17,5.47,5.47
2021-03-18,5.75,5.75
2021-03-19,6.03,6.03
2021-03-20,6.13,6.13
2021-03-21,6.23,6.23
2021-03-22,6.34,6.34
2021-03-23,6.65,6.65
2021-03-24,6.98,6.98
2021-03-25,7.68,7.68
2021-03-26,8.45,8.45
2021-03-27,8.66,8.66
2021-03-28,8.87,8.87
2021-03-29,9.08,9.08
2021-03-30,9.29,9.29
2021-03-31,9.76,9.76
2021-04-01,10.24,10.24
2021-04-02,10.37,10.36
2021-04-03,10.5,10.49
2021-04-04,10.63,10.61
2021-04-05,10.75,10.73
2021-04-06,11.29,11.29
2021-04-07,11.85,11.85
2021-04-08,11.26,12.44
2021-04-09,10.7,10.7
2021-04-10,10.52,10.52
2021-04-11,10.34,10.34
2021-04-12,10.16,10.16
2021-04-13,10.65,9.66
2021-04-14,10.39,9.95
2021-04-15,10.12,10.23
2021-04-16,9.63,9.62
2021-04-17,9.47,9.46
2021-04-18,9.31,9.31
2021-04-19,9.15,9.15
2021-04-20,8.69,8.69
2021-04-21,8.6,8.53
2021-04-22,8.51,8.36
2021-04-23,8.92,8.08
2021-04-24,9.07,8.51
2021-04-25,9.22,8.94
2021-04-26,9.37,9.36
2021-04-27,9.81,9.83
2021-04-28,9.7,9.81
2021-04-29,9.21,9.36
2021-04-30,8.75,8.75
2021-05-01,8.61,8.64
2021-05-02,8.46,8.52
2021-05-03,8.32,8.4
2021-05-04,7.9,7.9
2021-05-05,7.51,7.51
2021-05-06,7.2,7.29
2021-05-07,7.37,7.07
2021-05-08,7.4,7.1
2021-05-09,7.43,7.13
2021-05-10,7.47,7.17
2021-05-11,7.84,7.27
2021-05-12,8.23,8.23
2021-05-13,8.44,8.44
2021-05-14,8.65,8.65
2021-05-15,8.79,8.79
2021-05-16,8.93,8.92
2021-05-17,9.08,9.06
2021-05-18,9.53,9.53
2021-05-19,10.01,10.01
2021-05-20,10.5,10.2
2021-05-21,10.22,11.0
2021-05-22,10.22,10.76
2021-05-23,10.22,10.53
2021-05-24,10.22,10.3
2021-05-25,10.0,9.77
2021-05-26,9.89,9.97
2021-05-27,9.4,9.7
2021-05-28,9.56,8.94
2021-05-29,9.5,8.98
2021-05-30,9.43,9.03
2021-05-31,9.37,9.08
2021-06-01,9.62,9.27
2021-06-02,9.72,9.54
2021-06-03,9.7,9.47
2021-06-04,9.35,9.27
2021-06-05,9.33,9.29
2021-06-06,9.32,9.32
2021-06-07,9.3,9.35
2021-06-08,9.1,9.76
2021-06-09,9.02,9.1
2021-06-10,9.1,8.74
2021-06-11,9.49,8.83
2021-06-12,9.46,9.1
2021-06-13,9.43,9.37
2021-06-14,9.39,9.63
2021-06-15,9.32,9.48
2021-06-16,9.33,9.01
2021-06-17,9.35,8.92
2021-06-18,9.35,9.35
2021-06-19,9.44,9.51
2021-06-20,9.52,9.66
2021-06-21,9.61,9.82
2021-06-22,9.24,9.14
2021-06-23,9.4,9.37
2021-06-24,9.3,9.83
2021-06-25,9.24,9.2
2021-06-26,9.28,9.21
2021-06-27,9.32,9.22
2021-06-28,9.35,9.23
2021-06-29,9.1,9.1
2021-06-30,8.97,8.97
2021-07-01,9.29,8.74
2021-07-02,9.36,9.5
2021-07-03,9.44,9.46
2021-07-04,9.52,9.42
2021-07-05,9.6,9.38
2021-07-06,9.85,9.43
2021-07-07,10.08,10.07
2021-07-08,9.62,9.6
2021-07-09,9.82,9.2
2021-07-10,9.72,9.42
2021-07-11,9.62,9.64
2021-07-12,9.52,9.87
2021-07-13,9.48,9.37
2021-07-14,9.5,9.5
2021-07-15,9.34,9.9
2021-07-16,9.4,9.4
2021-07-17,9.3,9.4
2021-07-18,9.21,9.4
2021-07-19,9.11,9.4
2021-07-20,9.05,8.89
2021-07-21,9.15,8.97
2021-07-22,9.26,9.05
2021-07-23,9.35,9.45
2021-07-24,9.33,9.32
2021-07-25,9.31,9.19
