Date,Open,Close
2020-01-01,439.84,439.74
2020-01-02,439.98,439.84
2020-01-03,435.82,439.07
2020-01-04,433.39,437.48
2020-01-05,430.97,435.88
2020-01-06,428.55,434.29
2020-01-07,433.81,430.75
2020-01-08,436.82,430.27
2020-01-09,440.7,439.21
2020-01-10,446.58,442.9
2020-01-11,450.36,445.05
2020-01-12,454.14,447.2
2020-01-13,457.91,449.35
2020-01-14,461.69,460.07
2020-01-15,469.25,461.02
2020-01-16,466.43,470.4
2020-01-17,468.39,466.81
2020-01-18,467.24,467.34
2020-01-19,466.09,467.86
2020-01-20,464.95,468.39
2020-01-21,465.85,464.32
2020-01-22,465.66,467.96
2020-01-23,468.53,465.57
2020-01-24,478.77,468.77
2020-01-25,476.44,472.07
2020-01-26,474.11,475.37
2020-01-27,471.78,478.67
2020-01-28,467.19,471.83
2020-01-29,470.25,469.58
2020-01-30,457.96,470.64
2020-01-31,474.22,462.94
2020-02-01,474.62,463.24
2020-02-02,475.02,463.54
2020-02-03,475.42,463.85
2020-02-04,481.49,476.57
2020-02-05,488.96,483.07
2020-02-06,487.52,492.06
2020-02-07,491.35,490.53
2020-02-08,491.09,490.79
2020-02-09,490.84,491.04
2020-02-10,490.58,491.3
2020-02-11,486.8,492.49
2020-02-12,497.33,489.1
2020-02-13,490.44,496.27
2020-02-14,484.12,492.64
2020-02-15,482.48,489.91
2020-02-16,480.84,487.19
2020-02-17,479.2,484.46
2020-02-18,482.64,477.33
2020-02-19,485.99,477.33
2020-02-20,484.17,486.9
2020-02-21,482.94,485.6
2020-02-22,481.71,484.29
2020-02-23,480.48,482.99
2020-02-24,479.25,481.69
2020-02-25,478.53,481.64
2020-02-26,480.15,479.25
2020-02-27,484.36,480.97
2020-02-28,474.56,479.25
2020-03-01,476.57,481.03
2020-03-02,477.57,481.92
2020-03-03,484.6,481.16
2020-03-04,492.06,488.81
2020-03-05,495.46,497.42
2020-03-06,478.82,488.81
2020-03-07,473.27,482.75
2020-03-08,467.72,476.7
2020-03-09,462.17,470.64
2020-03-10,464.49,464.8
2020-03-11,466.81,458.97
2020-03-12,435.48,456.77
2020-03-13,431.03,406.55
2020-03-14,424.94,411.14
2020-03-15,418.85,415.73
2020-03-16,412.76,420.32
2020-03-17,411.71,412.76
2020-03-18,396.55,416.11
2020-03-19,400.66,383.06
2020-03-20,425.06,400.81
2020-03-21,409.66,397.3
2020-03-22,394.25,393.79
2020-03-23,378.85,390.28
2020-03-24,383.78,375.12
2020-03-25,387.61,386.12
2020-03-26,407.45,396.98
2020-03-27,404.63,422.33
2020-03-28,406.08,413.88
2020-03-29,407.53,405.43
2020-03-30,408.99,396.98
2020-03-31,430.51,416.97
2020-04-01,415.97,431.32
2020-04-02,412.6,428.26
2020-04-03,409.22,425.2
2020-04-04,421.12,425.76
2020-04-05,433.02,426.32
2020-04-06,444.92,426.89
2020-04-07,456.81,427.45
2020-04-08,467.1,453.71
2020-04-09,464.28,479.25
2020-04-10,462.95,475.64
2020-04-11,461.62,472.02
2020-04-12,460.29,468.41
2020-04-13,458.97,464.8
