Date,Open,Close
2023-01-01,50.7,51.78
2023-01-02,50.85,51.8
2023-01-03,51.95,51.8
2023-01-04,58.45,52.6
2023-01-05,55.8,58.45
2023-01-06,58.0,54.6
2023-01-07,57.67,55.92
2023-01-08,57.33,57.23
2023-01-09,57.0,58.55
2023-01-10,56.2,56.5
2023-01-11,54.9,56.8
2023-01-12,53.95,56.5
2023-01-13,53.7,54.8
2023-01-14,53.73,55.07
2023-01-15,53.77,55.33
2023-01-16,53.8,55.6
2023-01-17,54.9,55.6
2023-01-18,54.4,56.5
2023-01-19,54.05,56.2
2023-01-20,53.6,55.35
2023-01-21,53.52,55.32
2023-01-22,53.43,55.28
2023-01-23,53.35,55.25
2023-01-24,55.15,54.9
2023-01-25,53.85,56.0
2023-01-26,53.07,55.0
2023-01-27,52.3,54.0
2023-01-28,51.97,53.97
2023-01-29,51.63,53.93
2023-01-30,51.3,53.9
2023-01-31,51.9,53.7
2023-02-01,50.9,52.3
2023-02-02,50.15,52.0
2023-02-03,50.9,52.85
2023-02-04,50.7,52.78
2023-02-05,50.5,52.72
2023-02-06,50.3,52.65
2023-02-07,49.75,52.45
2023-02-08,50.0,51.7
2023-02-09,49.95,50.85
2023-02-10,49.05,49.2
2023-02-11,48.68,49.47
2023-02-12,48.32,49.73
2023-02-13,47.95,50.0
2023-02-14,47.7,49.5
2023-02-15,47.4,48.4
2023-02-16,48.05,49.4
2023-02-17,47.7,49.0
2023-02-18,47.87,48.27
2023-02-19,48.03,47.53
2023-02-20,48.2,46.8
2023-02-21,48.25,48.2
2023-02-22,47.55,48.2
2023-02-23,47.05,47.45
2023-02-24,46.65,47.0
2023-02-25,46.08,46.58
2023-02-26,45.52,46.17
2023-02-27,44.95,45.75
2023-02-28,44.05,45.75
2023-03-01,44.75,44.3
2023-03-02,44.7,45.3
2023-03-03,45.2,45.95
2023-03-04,45.25,45.93
2023-03-05,45.3,45.92
2023-03-06,45.35,45.9
2023-03-07,45.02,44.98
2023-03-08,44.7,44.05
2023-03-09,44.45,45.45
2023-03-10,45.3,44.45
2023-03-11,44.5,45.2
2023-03-12,43.7,45.95
2023-03-13,42.9,46.7
2023-03-14,42.9,43.85
2023-03-15,43.65,44.3
2023-03-16,42.85,43.45
2023-03-17,43.7,43.8
2023-03-18,43.12,43.55
2023-03-19,42.53,43.3
2023-03-20,41.95,43.05
2023-03-21,41.8,43.5
2023-03-22,41.75,42.65
2023-03-23,42.05,41.75
2023-03-24,41.3,42.05
2023-03-25,40.27,41.4
2023-03-26,39.23,40.75
2023-03-27,38.2,40.1
2023-03-28,38.25,38.7
2023-03-29,38.3,39.45
2023-03-30,38.52,39.68
2023-03-31,38.75,39.9
2023-04-01,39.6,39.9
2023-04-02,40.45,39.9
2023-04-03,41.3,39.9
2023-04-04,41.73,40.95
2023-04-05,42.15,42.0
2023-04-06,43.75,42.45
2023-04-07,43.57,42.78
2023-04-08,43.4,43.1
2023-04-09,43.22,43.43
2023-04-10,43.05,43.75
2023-04-11,42.35,42.3
2023-04-12,42.0,43.4
2023-04-13,41.9,42.1
2023-04-14,41.79,42.14
2023-04-15,41.68,42.17
2023-04-16,41.56,42.21
2023-04-17,41.45,42.25
2023-04-18,41.75,42.9
2023-04-19,42.3,41.95
2023-04-20,43.4,42.55
2023-04-21,42.2,44.25
2023-04-22,41.9,43.68
2023-04-23,41.6,43.12
2023-04-24,41.3,42.55
2023-04-25,41.55,41.25
2023-04-26,44.05,41.7
2023-04-27,44.3,44.4
2023-04-28,43.95,44.2
2023-04-29,44.43,44.26
2023-04-30,44.9,44.33
2023-05-01,45.37,44.39
2023-05-02,45.85,44.45
2023-05-03,44.15,46.0
2023-05-04,44.95,44.95
2023-05-05,44.25,44.8
2023-05-06,44.15,44.62
2023-05-07,44.05,44.43
2023-05-08,43.95,44.25
2023-05-09,42.3,43.95
2023-05-10,43.45,42.55
2023-05-11,42.85,44.45
2023-05-12,42.6,42.55
2023-05-13,42.23,42.38
2023-05-14,41.87,42.22
2023-05-15,41.5,42.05
2023-05-16,43.5,42.1
2023-05-17,42.2,43.45
2023-05-18,41.35,42.15
2023-05-19,40.85,42.35
2023-05-20,40.93,41.9
2023-05-21,41.02,41.45
2023-05-22,41.1,41.0
2023-05-23,41.9,41.5
2023-05-24,41.9,41.85
2023-05-25,42.9,42.45
2023-05-26,42.55,42.7
2023-05-27,41.9,42.33
2023-05-28,41.25,41.97
2023-05-29,40.6,41.6
2023-05-30,40.85,41.5
2023-05-31,40.45,40.95
2023-06-01,39.8,41.25
2023-06-02,40.8,40.3
2023-06-03,42.37,40.62
2023-06-04,43.93,40.93
2023-06-05,45.5,41.25
2023-06-06,45.6,46.85
2023-06-07,46.2,45.9
2023-06-08,44.75,46.7
2023-06-09,44.1,44.75
2023-06-10,43.87,44.2
2023-06-11,43.63,43.65
2023-06-12,43.4,43.1
2023-06-13,43.55,44.4
2023-06-14,44.7,44.0
2023-06-15,43.5,45.7
2023-06-16,43.65,43.2
2023-06-17,43.93,43.5
2023-06-18,44.22,43.8
2023-06-19,44.5,44.1
2023-06-20,44.3,43.75
2023-06-21,44.35,44.0
2023-06-22,44.4,44.35
2023-06-23,44.5,44.45
2023-06-24,44.52,44.82
2023-06-25,44.53,45.18
2023-06-26,44.55,45.55
2023-06-27,44.85,44.6
2023-06-28,44.2,45.0
2023-06-29,44.38,45.0
2023-06-30,44.55,45.0
2023-07-01,44.23,44.93
2023-07-02,43.92,44.87
2023-07-03,43.6,44.8
2023-07-04,43.65,43.45
2023-07-05,44.0,43.6
2023-07-06,44.35,44.0
2023-07-07,44.6,44.35
2023-07-08,44.48,45.03
2023-07-09,44.37,45.72
2023-07-10,44.25,46.4
2023-07-11,43.5,44.0
2023-07-12,43.9,44.2
2023-07-13,44.2,44.25
2023-07-14,47.1,44.85
2023-07-15,47.4,45.68
2023-07-16,47.7,46.52
2023-07-17,48.0,47.35
2023-07-18,45.75,48.7
2023-07-19,46.05,45.85
2023-07-20,47.35,46.0
2023-07-21,47.65,47.4
2023-07-22,47.35,47.75
2023-07-23,47.05,48.1
2023-07-24,46.75,48.45
2023-07-25,45.5,46.75
2023-07-26,46.45,46.25
2023-07-27,47.35,47.35
2023-07-28,47.8,47.75
2023-07-29,47.8,48.1
2023-07-30,47.8,48.45
2023-07-31,47.8,48.8
2023-08-01,46.5,47.65
2023-08-02,45.75,46.75
2023-08-03,46.3,46.05
2023-08-04,46.6,46.0
2023-08-05,46.38,46.17
2023-08-06,46.17,46.33
2023-08-07,45.95,46.5
2023-08-08,46.35,47.2
2023-08-09,45.95,46.15
2023-08-10,44.55,46.65
2023-08-11,45.35,45.75
2023-08-12,45.22,46.1
2023-08-13,45.08,46.45
2023-08-14,44.95,46.8
2023-08-15,44.83,46.3
2023-08-16,44.7,45.8
2023-08-17,45.05,45.05
2023-08-18,45.45,45.35
2023-08-19,46.05,45.85
2023-08-20,46.65,46.35
2023-08-21,47.25,46.85
2023-08-22,50.05,48.4
2023-08-23,50.55,50.3
2023-08-24,48.55,51.55
2023-08-25,48.15,48.5
2023-08-26,48.07,48.52
2023-08-27,47.98,48.53
2023-08-28,47.9,48.55
2023-08-29,47.8,48.0
2023-08-30,48.55,48.05
2023-08-31,47.6,47.65
2023-09-01,49.25,48.95
2023-09-02,50.25,49.38
2023-09-03,51.25,49.82
2023-09-04,52.25,50.25
2023-09-05,52.15,52.7
2023-09-06,52.45,52.0
2023-09-07,52.45,52.45
2023-09-08,52.75,53.0
2023-09-09,52.47,53.3
2023-09-10,52.18,53.6
2023-09-11,51.9,53.9
2023-09-12,48.25,51.55
2023-09-13,50.0,49.25
2023-09-14,49.85,49.05
2023-09-15,53.2,51.0
2023-09-16,52.7,52.2
2023-09-17,52.2,53.4
2023-09-18,51.7,54.6
2023-09-19,51.08,53.12
2023-09-20,50.45,51.65
2023-09-21,51.05,50.4
