Date,Open,Close
2019-12-02,69.81,70.55
2019-12-03,68.34,69.28
2019-12-04,69.13,67.86
2019-12-05,70.65,69.32
2019-12-06,68.59,70.55
2019-12-07,68.41,70.17
2019-12-08,68.23,69.8
2019-12-09,68.05,69.42
2019-12-10,67.27,68.25
2019-12-11,65.95,67.12
2019-12-12,66.39,67.46
2019-12-13,68.15,67.07
2019-12-14,68.33,67.43
2019-12-15,68.51,67.79
2019-12-16,68.69,68.15
2019-12-17,67.95,68.59
2019-12-18,70.65,67.81
2019-12-19,68.79,70.5
2019-12-20,69.96,69.47
2019-12-21,70.17,69.8
2019-12-22,70.38,70.12
2019-12-23,70.6,70.45
2019-12-24,70.11,71.38
2019-12-25,69.62,70.67
2019-12-26,69.13,69.96
2019-12-27,68.79,69.03
2019-12-28,69.78,69.28
2019-12-29,70.78,69.52
2019-12-30,71.77,69.76
2019-12-31,71.33,72.36
