Date,Open,Close
2024-01-01,639.6,622.8
2024-01-02,665.99,644.84
2024-01-03,658.44,676.78
2024-01-04,646.49,658.44
2024-01-05,647.44,654.79
2024-01-06,647.43,652.34
2024-01-07,647.41,649.89
2024-01-08,647.39,647.44
2024-01-09,641.44,648.79
2024-01-10,685.38,641.29
2024-01-11,685.08,699.78
2024-01-12,694.23,689.78
2024-01-13,692.41,695.78
2024-01-14,690.6,701.78
2024-01-15,688.78,707.77
2024-01-16,656.74,696.78
2024-01-17,690.78,659.19
2024-01-18,675.83,692.78
2024-01-19,671.53,688.68
2024-01-20,662.09,687.67
2024-01-21,652.64,686.65
2024-01-22,643.19,685.64
2024-01-23,633.75,684.63
2024-01-24,653.69,643.69
2024-01-25,660.94,653.69
2024-01-26,658.71,658.43
2024-01-27,656.49,663.16
2024-01-28,654.27,667.9
2024-01-29,652.04,672.63
2024-01-30,645.49,652.04
2024-01-31,652.49,655.99
2024-02-01,661.99,674.78
2024-02-02,651.14,661.99
2024-02-03,658.79,664.59
2024-02-04,666.44,667.19
2024-02-05,674.08,669.79
2024-02-06,668.59,684.53
2024-02-07,699.13,719.72
2024-02-08,706.92,709.07
2024-02-09,719.37,728.37
2024-02-10,731.35,727.48
2024-02-11,743.33,726.6
2024-02-12,755.31,725.72
2024-02-13,766.05,794.75
2024-02-14,782.35,749.81
2024-02-15,757.96,789.45
2024-02-16,752.11,759.71
2024-02-17,744.14,758.39
2024-02-18,736.18,757.07
2024-02-19,728.22,755.76
2024-02-20,726.07,735.51
2024-02-21,846.33,729.77
2024-02-22,921.05,879.42
2024-02-23,895.66,904.46
2024-02-24,891.35,899.46
2024-02-25,887.03,894.46
2024-02-26,882.72,889.47
2024-02-27,899.51,882.52
2024-02-28,871.37,899.56
2024-03-01,892.86,874.62
2024-03-02,886.62,887.95
2024-03-03,880.37,901.28
2024-03-04,874.12,914.61
2024-03-05,855.18,883.67
2024-03-06,823.59,857.68
2024-03-07,857.23,824.64
2024-03-08,847.87,837.16
2024-03-09,838.51,849.68
2024-03-10,829.15,862.2
2024-03-11,819.79,874.72
2024-03-12,782.35,816.74
2024-03-13,708.77,780.6
2024-03-14,769.1,704.77
2024-03-15,787.85,784.65
2024-03-16,795.28,796.31
2024-03-17,802.71,807.97
2024-03-18,810.14,819.64
2024-03-19,802.34,812.74
2024-03-20,801.54,819.74
2024-03-21,809.04,804.54
2024-03-22,800.19,809.54
2024-03-23,796.18,807.2
2024-03-24,792.17,804.87
2024-03-25,788.16,802.53
2024-03-26,784.15,800.19
2024-03-27,936.8,800.74
2024-03-28,1027.47,928.7
2024-03-29,1033.46,954.44
2024-03-30,1039.44,980.19
2024-03-31,1045.43,1005.93
2024-04-01,1051.41,1031.67
2024-04-02,1030.42,1069.06
2024-04-03,1054.46,1059.51
2024-04-04,1038.67,1062.81
2024-04-05,1026.57,1047.51
2024-04-06,1012.49,1041.55
2024-04-07,998.41,1035.58
2024-04-08,984.33,1029.62
2024-04-09,988.43,984.63
2024-04-10,997.43,1003.43
2024-04-11,988.98,1006.53
2024-04-12,980.54,1009.63
2024-04-13,968.02,984.65
2024-04-14,955.51,959.68
2024-04-15,943.0,934.7
2024-04-16,1131.59,929.75
2024-04-17,1189.92,1096.67
2024-04-18,1248.25,1263.6
2024-04-19,1440.49,1241.65
2024-04-20,1415.81,1307.93
2024-04-21,1391.14,1374.21
2024-04-22,1366.46,1440.49
2024-04-23,1354.02,1374.51
2024-04-24,1328.97,1353.92
2024-04-25,1340.27,1335.92
2024-04-26,1342.67,1389.55
2024-04-27,1323.26,1379.22
2024-04-28,1303.85,1368.89
2024-04-29,1284.44,1358.56
2024-04-30,1269.99,1325.53
2024-05-01,1273.29,1312.05
2024-05-02,1276.59,1298.58
2024-05-03,1252.6,1287.84
2024-05-04,1242.12,1276.09
2024-05-05,1231.64,1264.34
2024-05-06,1221.16,1252.6
2024-05-07,1152.83,1221.66
2024-05-08,1268.09,1157.23
2024-05-09,1224.01,1293.44
2024-05-10,1200.47,1224.76
2024-05-11,1189.14,1211.61
2024-05-12,1177.81,1198.47
2024-05-13,1166.48,1185.32
2024-05-14,1224.31,1174.42
2024-05-15,1206.36,1238.6
2024-05-16,1247.75,1230.61
2024-05-17,1234.35,1269.59
2024-05-18,1228.99,1267.08
2024-05-19,1223.63,1264.57
2024-05-20,1218.27,1262.06
2024-05-21,1212.91,1259.55
2024-05-22,1332.97,1217.56
2024-05-23,1305.28,1433.49
2024-05-24,1238.1,1299.53
2024-05-25,1241.24,1281.21
2024-05-26,1244.37,1262.88
2024-05-27,1247.5,1244.55
2024-05-28,1202.66,1262.6
2024-05-29,1235.45,1206.61
2024-05-30,1230.36,1249.1
2024-05-31,1193.97,1247.3
2024-06-01,1186.84,1241.4
2024-06-02,1179.71,1235.5
2024-06-03,1172.57,1229.61
2024-06-04,1077.05,1173.72
2024-06-05,1110.84,1123.54
2024-06-06,1158.93,1169.63
2024-06-07,1184.87,1172.57
2024-06-08,1187.67,1185.57
2024-06-09,1190.47,1198.57
2024-06-10,1193.27,1211.56
2024-06-11,1182.32,1174.67
2024-06-12,1189.87,1184.12
2024-06-13,1194.37,1203.61
2024-06-14,1186.47,1194.32
2024-06-15,1177.79,1191.89
2024-06-16,1169.1,1189.47
2024-06-17,1160.42,1187.04
2024-06-18,1151.73,1184.62
2024-06-19,1137.94,1157.78
2024-06-20,1121.99,1154.33
2024-06-21,1111.89,1127.94
2024-06-22,1127.84,1121.84
2024-06-23,1143.78,1115.74
2024-06-24,1159.73,1109.64
2024-06-25,1150.68,1180.62
2024-06-26,1148.03,1156.73
2024-06-27,1130.49,1152.63
2024-06-28,1133.44,1136.44
2024-06-29,1136.17,1139.14
2024-06-30,1138.9,1141.83
2024-07-01,1141.63,1144.53
2024-07-02,1197.22,1154.33
2024-07-03,1247.2,1279.59
2024-07-04,1252.95,1265.59
2024-07-05,1208.61,1266.59
2024-07-06,1247.37,1250.95
2024-07-07,1286.12,1235.3
2024-07-08,1324.88,1219.66
2024-07-09,1347.42,1379.56
2024-07-10,1298.53,1355.47
2024-07-11,1345.72,1319.48
2024-07-12,1327.77,1369.56
2024-07-13,1328.67,1365.56
2024-07-14,1329.57,1361.56
2024-07-15,1330.47,1357.57
2024-07-16,1313.23,1342.02
2024-07-17,1297.53,1320.8
2024-07-18,1281.84,1299.58
2024-07-19,1273.94,1288.59
2024-07-20,1273.69,1278.59
2024-07-21,1273.44,1268.59
2024-07-22,1273.19,1258.6
2024-07-23,1253.45,1276.59
2024-07-24,1313.23,1256.6
2024-07-25,1279.54,1334.57
2024-07-26,1342.42,1281.54
2024-07-27,1330.74,1310.55
2024-07-28,1319.06,1339.55
2024-07-29,1307.38,1368.56
2024-07-30,1307.88,1327.57
2024-07-31,1309.28,1308.38
2024-08-01,1359.46,1320.58
2024-08-02,1325.18,1339.57
2024-08-03,1292.25,1314.58
2024-08-04,1259.33,1289.59
2024-08-05,1226.41,1264.59
2024-08-06,1207.26,1249.2
2024-08-07,1248.05,1231.41
2024-08-08,1250.85,1249.6
2024-08-09,1279.44,1279.59
2024-08-10,1273.94,1285.25
2024-08-11,1268.44,1290.92
2024-08-12,1262.95,1296.58
2024-08-13,1436.44,1369.56
2024-08-14,1408.6,1469.48
2024-08-15,1407.47,1464.93
2024-08-16,1406.35,1460.38
2024-08-17,1462.4,1448.04
2024-08-18,1518.45,1435.69
2024-08-19,1574.5,1423.34
2024-08-20,1539.51,1613.83
2024-08-21,1557.6,1550.65
2024-08-22,1560.55,1584.49
2024-08-23,1540.05,1561.05
2024-08-24,1557.67,1565.62
2024-08-25,1575.28,1570.18
2024-08-26,1592.9,1574.75
2024-08-27,1593.55,1600.0
2024-08-28,1568.6,1611.25
2024-08-29,1524.5,1589.0
2024-08-30,1526.6,1544.0
2024-08-31,1521.52,1547.22
2024-09-01,1516.43,1550.43
2024-09-02,1511.35,1553.65
2024-09-03,1520.15,1564.95
2024-09-04,1507.55,1510.0
2024-09-05,1515.05,1507.0
2024-09-06,1522.05,1516.95
2024-09-07,1515.03,1527.63
2024-09-08,1508.02,1538.32
