Date,Open,Close
2020-01-01,31.15,31.65
2020-01-02,32.66,31.19
2020-01-03,32.38,33.67
2020-01-04,31.85,33.33
2020-01-05,31.31,33.0
2020-01-06,30.78,32.66
2020-01-07,31.28,30.5
2020-01-08,31.51,30.27
2020-01-09,31.6,31.93
2020-01-10,31.56,31.47
2020-01-11,32.08,31.53
2020-01-12,32.6,31.59
2020-01-13,33.12,31.65
2020-01-14,34.77,34.59
2020-01-15,36.47,36.47
2020-01-16,38.21,37.43
2020-01-17,36.93,40.09
2020-01-18,37.17,39.57
2020-01-19,37.41,39.05
2020-01-20,37.66,38.53
2020-01-21,39.49,37.61
2020-01-22,38.71,39.91
2020-01-23,38.26,39.82
2020-01-24,37.25,37.8
2020-01-25,37.84,37.12
2020-01-26,38.44,36.45
2020-01-27,39.04,35.78
2020-01-28,38.48,39.08
2020-01-29,38.94,38.53
2020-01-30,37.34,37.93
2020-01-31,35.69,37.93
2020-02-01,35.23,36.8
2020-02-02,34.77,35.67
2020-02-03,34.31,34.54
2020-02-04,35.96,34.4
2020-02-05,35.78,35.69
2020-02-06,37.06,36.51
2020-02-07,38.62,37.61
2020-02-08,38.73,37.95
2020-02-09,38.84,38.29
2020-02-10,38.94,38.62
2020-02-11,36.6,39.54
2020-02-12,38.39,36.7
2020-02-13,37.25,38.07
2020-02-14,36.1,37.57
2020-02-15,35.96,37.12
2020-02-16,35.82,36.68
2020-02-17,35.69,36.24
2020-02-18,34.77,35.78
2020-02-19,36.93,35.09
2020-02-20,36.42,36.28
2020-02-21,35.97,36.16
2020-02-22,35.53,36.03
2020-02-23,35.08,35.9
2020-02-24,34.63,35.78
2020-02-25,34.31,35.32
2020-02-26,34.68,34.77
2020-02-27,34.95,34.17
2020-02-28,32.25,34.82
2020-03-01,32.09,33.23
2020-03-02,32.02,32.43
2020-03-03,32.15,32.11
2020-03-04,32.93,31.79
2020-03-05,34.45,32.93
2020-03-06,33.21,33.53
2020-03-07,32.45,33.36
2020-03-08,31.68,33.19
2020-03-09,30.92,33.03
2020-03-10,31.65,31.74
2020-03-11,32.38,30.46
2020-03-12,29.17,32.02
2020-03-13,31.83,26.28
2020-03-14,31.85,27.43
2020-03-15,31.86,28.58
2020-03-16,31.88,29.72
2020-03-17,31.01,30.46
2020-03-18,28.03,31.7
2020-03-19,26.88,25.46
2020-03-20,27.66,28.85
2020-03-21,26.8,28.44
2020-03-22,25.95,28.03
2020-03-23,25.09,27.61
2020-03-24,23.81,24.13
2020-03-25,21.56,26.15
2020-03-26,22.61,22.57
2020-03-27,22.75,23.67
2020-03-28,22.43,23.13
2020-03-29,22.11,22.6
2020-03-30,21.79,22.06
2020-03-31,22.06,22.71
2020-04-01,22.52,22.84
2020-04-02,22.98,23.21
2020-04-03,23.44,23.58
2020-04-04,23.73,23.77
2020-04-05,24.01,23.97
2020-04-06,24.3,24.16
2020-04-07,24.59,24.36
2020-04-08,25.55,24.77
2020-04-09,26.05,25.64
2020-04-10,25.82,26.05
2020-04-11,25.6,26.47
