Date,Open,Close
2021-01-01,60.47,61.22
2021-01-02,60.71,61.17
2021-01-03,60.94,61.12
2021-01-04,61.17,61.07
2021-01-05,63.57,62.32
2021-01-06,61.82,62.47
2021-01-07,63.17,61.97
2021-01-08,75.78,65.81
2021-01-09,80.65,72.12
2021-01-10,85.52,78.44
2021-01-11,90.39,84.75
2021-01-12,86.15,92.73
2021-01-13,81.46,85.6
2021-01-14,85.3,83.06
2021-01-15,83.56,84.75
2021-01-16,84.44,84.75
2021-01-17,85.32,84.75
2021-01-18,86.2,84.75
2021-01-19,85.95,86.75
2021-01-20,84.31,86.45
2021-01-21,85.05,84.75
2021-01-22,82.36,85.2
2021-01-23,80.95,85.55
2021-01-24,79.54,85.9
2021-01-25,78.12,86.25
2021-01-26,76.7,81.61
2021-01-27,75.28,76.98
2021-01-28,82.36,74.53
2021-01-29,83.36,83.66
2021-01-30,82.93,83.69
2021-01-31,82.49,83.72
2021-02-01,82.06,83.76
2021-02-02,83.76,86.25
2021-02-03,82.26,84.16
2021-02-04,82.01,82.36
2021-02-05,84.85,82.76
2021-02-06,84.37,83.92
2021-02-07,83.89,85.09
2021-02-08,83.41,86.25
2021-02-09,82.01,83.51
2021-02-10,83.61,82.66
2021-02-11,81.36,82.76
2021-02-12,79.07,81.66
2021-02-13,78.06,80.85
2021-02-14,77.04,80.03
2021-02-15,76.03,79.22
2021-02-16,76.18,76.63
2021-02-17,75.13,76.38
2021-02-18,80.07,75.73
2021-02-19,77.28,79.42
2021-02-20,76.63,78.8
2021-02-21,75.98,78.19
2021-02-22,75.33,77.57
2021-02-23,76.48,75.33
2021-02-24,77.33,76.68
2021-02-25,88.39,78.12
2021-02-26,87.6,86.55
2021-02-27,93.15,87.25
2021-02-28,98.7,87.94
2021-03-01,104.25,88.64
2021-03-02,99.76,106.84
2021-03-03,98.51,99.71
2021-03-04,105.49,96.72
2021-03-05,126.58,119.1
2021-03-06,126.02,124.37
2021-03-07,125.45,129.64
2021-03-08,124.89,134.91
2021-03-09,114.87,125.34
2021-03-10,118.16,116.61
2021-03-11,118.06,116.74
2021-03-12,117.96,116.86
2021-03-13,117.86,116.91
2021-03-14,117.76,116.96
2021-03-15,117.66,117.01
2021-03-16,116.86,118.16
2021-03-17,107.24,116.11
2021-03-18,105.0,108.34
2021-03-19,103.75,104.0
2021-03-20,107.21,104.9
2021-03-21,110.66,105.79
2021-03-22,114.12,106.69
2021-03-23,112.62,114.77
2021-03-24,108.98,111.58
2021-03-25,103.75,110.58
2021-03-26,112.62,105.69
2021-03-27,112.46,107.67
2021-03-28,112.3,109.66
2021-03-29,112.14,111.64
2021-03-30,111.97,113.62
2021-03-31,109.33,111.68
2021-04-01,111.92,109.43
2021-04-02,110.72,109.97
2021-04-03,109.51,110.5
2021-04-04,108.3,111.04
2021-04-05,107.09,111.58
2021-04-06,107.44,106.74
2021-04-07,109.88,107.69
2021-04-08,117.61,115.66
2021-04-09,114.32,119.65
2021-04-10,111.06,116.33
2021-04-11,107.8,113.01
2021-04-12,104.55,109.68
2021-04-13,110.23,105.69
2021-04-14,108.88,106.54
2021-04-15,107.54,107.39
2021-04-16,109.88,108.68
2021-04-17,107.92,107.02
2021-04-18,105.96,105.36
2021-04-19,104.0,103.7
2021-04-20,104.7,106.69
2021-04-21,105.97,105.19
2021-04-22,107.24,103.7
2021-04-23,105.54,108.19
2021-04-24,105.54,107.85
2021-04-25,105.54,107.52
2021-04-26,105.54,107.19
2021-04-27,112.62,105.54
2021-04-28,111.03,113.47
2021-04-29,113.17,111.58
2021-04-30,108.93,111.68
2021-05-01,110.26,110.46
2021-05-02,111.59,109.25
2021-05-03,112.92,108.04
2021-05-04,115.17,113.82
2021-05-05,117.51,116.16
2021-05-06,121.55,118.46
2021-05-07,117.56,122.34
2021-05-08,117.96,121.13
2021-05-09,118.36,119.92
2021-05-10,118.76,118.71
2021-05-11,120.6,117.26
2021-05-12,126.03,121.55
2021-05-13,128.25,124.96
2021-05-14,130.47,128.38
2021-05-15,130.11,130.29
2021-05-16,129.74,132.2
2021-05-17,129.37,134.11
2021-05-18,127.98,130.42
2021-05-19,125.24,127.43
2021-05-20,131.17,133.61
2021-05-21,127.93,131.62
2021-05-22,127.25,130.62
2021-05-23,126.57,129.62
2021-05-24,125.88,128.63
2021-05-25,125.83,127.33
2021-05-26,127.23,125.73
2021-05-27,125.54,127.23
2021-05-28,124.19,126.23
2021-05-29,124.19,126.03
2021-05-30,124.19,125.83
2021-05-31,124.19,125.64
2021-06-01,120.85,124.64
2021-06-02,122.54,121.65
2021-06-03,122.99,122.15
2021-06-04,121.65,123.54
2021-06-05,122.38,123.19
2021-06-06,123.11,122.84
2021-06-07,123.84,122.49
2021-06-08,123.74,123.14
2021-06-09,122.99,124.54
2021-06-10,127.48,123.64
2021-06-11,126.48,128.13
2021-06-12,125.83,127.16
2021-06-13,125.19,126.2
2021-06-14,124.54,125.24
2021-06-15,126.73,125.54
2021-06-16,143.98,127.13
2021-06-17,143.63,143.78
2021-06-18,143.63,143.78
2021-06-19,143.58,142.15
2021-06-20,143.53,140.53
