Date,Open,Close
2022-03-23,45.6,48.0
2022-03-24,43.35,43.35
2022-03-25,41.2,41.2
2022-03-26,40.52,40.52
2022-03-27,39.83,39.83
2022-03-28,39.15,39.15
2022-03-29,37.2,37.2
2022-03-30,35.35,35.35
2022-03-31,33.6,33.6
2022-04-01,31.95,31.95
2022-04-02,31.43,31.43
2022-04-03,30.92,30.92
2022-04-04,30.4,30.4
2022-04-05,28.9,28.9
2022-04-06,27.3,27.3
2022-04-07,24.6,26.85
2022-04-08,23.7,24.0
2022-04-09,24.48,23.93
2022-04-10,25.27,23.87
2022-04-11,26.05,23.8
2022-04-12,28.65,28.65
2022-04-13,31.5,31.5
2022-04-14,31.65,31.3
2022-04-15,31.8,31.1
2022-04-16,31.95,30.9
2022-04-17,32.1,30.7
2022-04-18,32.25,30.5
2022-04-19,30.95,33.1
2022-04-20,32.45,30.75
2022-04-21,31.05,33.1
2022-04-22,32.6,30.8
2022-04-23,33.13,31.93
2022-04-24,33.67,33.07
2022-04-25,34.2,34.2
2022-04-26,32.5,35.6
2022-04-27,31.35,31.9
2022-04-28,31.65,31.35
2022-04-29,30.1,31.15
2022-04-30,30.08,30.47
2022-05-01,30.07,29.78
2022-05-02,30.05,29.1
2022-05-03,29.35,29.57
2022-05-04,28.65,30.05
2022-05-05,29.5,29.7
2022-05-06,28.05,28.9
2022-05-07,28.38,28.27
2022-05-08,28.72,27.63
2022-05-09,29.05,27.0
2022-05-10,28.4,29.45
2022-05-11,28.7,27.6
2022-05-12,27.3,28.0
2022-05-13,27.05,27.3
2022-05-14,26.82,27.27
2022-05-15,26.58,27.23
2022-05-16,26.35,27.2
2022-05-17,27.65,26.45
2022-05-18,28.6,28.4
2022-05-19,27.2,27.6
2022-05-20,26.8,27.8
2022-05-21,26.37,27.63
2022-05-22,25.93,27.47
2022-05-23,25.5,27.3
2022-05-24,24.25,26.0
2022-05-25,23.05,24.0
2022-05-26,22.15,22.2
2022-05-27,21.15,21.35
2022-05-28,21.12,21.17
2022-05-29,21.08,20.98
2022-05-30,21.05,20.8
2022-05-31,20.1,21.35
2022-06-01,21.05,19.3
2022-06-02,20.95,20.65
2022-06-03,19.95,21.45
2022-06-04,20.27,21.1
2022-06-05,20.58,20.75
2022-06-06,20.9,20.4
2022-06-07,21.9,21.0
2022-06-08,21.9,21.8
2022-06-09,22.95,21.9
2022-06-10,24.05,23.05
2022-06-11,24.2,23.3
2022-06-12,24.35,23.55
2022-06-13,24.5,23.8
2022-06-14,23.5,24.9
2022-06-15,22.4,23.5
2022-06-16,21.3,22.3
2022-06-17,20.25,21.1
2022-06-18,19.92,20.52
2022-06-19,19.58,19.93
2022-06-20,19.25,19.35
2022-06-21,19.1,18.75
2022-06-22,20.05,19.3
2022-06-23,21.05,20.95
2022-06-24,22.1,21.9
2022-06-25,21.77,22.33
2022-06-26,21.43,22.77
2022-06-27,21.1,23.2
2022-06-28,20.6,20.5
2022-06-29,20.4,20.65
2022-06-30,19.55,20.4
2022-07-01,20.1,19.65
2022-07-02,20.4,19.92
2022-07-03,20.7,20.18
2022-07-04,21.0,20.45
2022-07-05,21.25,21.0
2022-07-06,20.85,21.5
2022-07-07,19.9,20.65
2022-07-08,20.7,20.5
2022-07-09,20.47,20.43
2022-07-10,20.23,20.37
2022-07-11,20.0,20.3
2022-07-12,19.75,20.15
2022-07-13,19.7,20.35
2022-07-14,20.4,19.7
2022-07-15,19.75,20.4
2022-07-16,19.82,20.2
2022-07-17,19.88,20.0
2022-07-18,19.95,19.8
2022-07-19,20.9,19.95
2022-07-20,21.9,21.7
2022-07-21,22.5,22.0
2022-07-22,23.05,22.8
2022-07-23,23.4,22.87
2022-07-24,23.75,22.93
2022-07-25,24.1,23.0
2022-07-26,23.6,24.5
2022-07-27,24.05,23.9
2022-07-28,23.9,24.5
2022-07-29,24.25,23.75
2022-07-30,24.18,24.0
2022-07-31,24.12,24.25
2022-08-01,24.05,24.5
2022-08-02,25.25,24.05
2022-08-03,26.35,26.25
2022-08-04,27.0,27.0
2022-08-05,26.8,27.0
2022-08-06,26.68,27.12
2022-08-07,26.57,27.23
2022-08-08,26.45,27.35
2022-08-09,27.1,27.55
2022-08-10,27.75,27.75
2022-08-11,27.9,28.3
2022-08-12,26.8,28.25
2022-08-13,26.7,28.18
2022-08-14,26.6,28.1
2022-08-15,26.5,28.03
2022-08-16,26.4,27.95
2022-08-17,27.7,26.85
2022-08-18,29.05,27.7
2022-08-19,28.3,29.7
2022-08-20,28.77,29.28
2022-08-21,29.23,28.87
2022-08-22,29.7,28.45
2022-08-23,30.6,30.5
2022-08-24,31.8,30.6
2022-08-25,33.35,32.35
2022-08-26,35.0,34.8
2022-08-27,35.58,34.87
2022-08-28,36.17,34.93
2022-08-29,36.75,35.0
2022-08-30,34.95,38.55
2022-08-31,34.1,35.9
2022-09-01,33.25,33.25
2022-09-02,31.65,32.0
2022-09-03,32.03,32.08
2022-09-04,32.42,32.17
2022-09-05,32.8,32.25
2022-09-06,31.25,33.2
2022-09-07,31.75,31.5
2022-09-08,31.3,32.4
2022-09-09,29.95,32.0
2022-09-10,29.88,31.27
2022-09-11,29.82,30.53
2022-09-12,29.75,29.8
2022-09-13,28.35,29.85
2022-09-14,27.2,28.0
2022-09-15,28.3,27.5
2022-09-16,27.35,28.4
2022-09-17,26.93,28.17
2022-09-18,26.52,27.93
2022-09-19,26.1,27.7
2022-09-20,27.4,26.2
2022-09-21,28.75,28.15
2022-09-22,28.5,29.6
2022-09-23,27.2,28.9
2022-09-24,26.75,28.07
2022-09-25,26.3,27.23
2022-09-26,25.85,26.4
2022-09-27,25.15,25.75
2022-09-28,26.4,25.0
2022-09-29,27.65,27.35
2022-09-30,27.15,28.4
2022-10-01,26.8,27.87
2022-10-02,26.45,27.33
2022-10-03,26.1,26.8
2022-10-04,27.35,26.8
2022-10-05,27.3,27.4
2022-10-06,27.25,28.0
2022-10-07,28.6,27.25
2022-10-08,28.55,27.5
2022-10-09,28.5,27.75
2022-10-10,28.45,28.0
2022-10-11,27.05,28.9
2022-10-12,27.1,27.65
2022-10-13,26.7,27.3
2022-10-14,26.6,27.0
2022-10-15,26.73,26.9
2022-10-16,26.87,26.8
2022-10-17,27.0,26.7
2022-10-18,26.3,27.2
2022-10-19,26.25,26.9
2022-10-20,26.0,26.2
2022-10-21,25.2,26.7
2022-10-22,25.47,26.22
2022-10-23,25.73,25.73
2022-10-24,26.0,25.25
2022-10-25,25.75,26.2
2022-10-26,25.57,26.05
2022-10-27,25.4,25.9
2022-10-28,25.2,25.25
2022-10-29,25.18,25.33
2022-10-30,25.17,25.42
2022-10-31,25.15,25.5
2022-11-01,24.85,25.2
2022-11-02,24.95,25.3
2022-11-03,24.5,25.0
2022-11-04,24.45,24.55
2022-11-05,24.37,24.58
2022-11-06,24.28,24.62
2022-11-07,24.2,24.65
2022-11-08,24.3,24.72
2022-11-09,24.4,24.8
2022-11-10,23.6,24.4
2022-11-11,23.8,23.95
2022-11-12,24.02,24.07
2022-11-13,24.23,24.18
2022-11-14,24.45,24.3
2022-11-15,24.55,25.0
2022-11-16,24.15,24.6
2022-11-17,23.8,24.2
2022-11-18,23.8,23.85
2022-11-19,23.77,23.88
2022-11-20,23.73,23.92
2022-11-21,23.7,23.95
2022-11-22,23.65,23.75
2022-11-23,23.5,23.65
2022-11-24,23.6,23.6
2022-11-25,23.3,23.95
2022-11-26,23.18,23.73
2022-11-27,23.07,23.52
2022-11-28,22.95,23.3
2022-11-29,22.35,23.0
2022-11-30,23.05,22.7
2022-12-01,23.2,23.3
2022-12-02,23.4,23.4
2022-12-03,23.38,23.53
2022-12-04,23.37,23.67
2022-12-05,23.35,23.8
2022-12-06,23.7,23.55
2022-12-07,23.65,23.9
2022-12-08,23.1,23.9
2022-12-09,22.85,23.2
2022-12-10,22.8,23.08
2022-12-11,22.75,22.97
2022-12-12,22.7,22.85
2022-12-13,23.8,22.9
2022-12-14,24.45,24.4
2022-12-15,25.0,24.55
2022-12-16,24.55,24.6
2022-12-17,24.53,24.72
2022-12-18,24.52,24.83
2022-12-19,24.5,24.95
2022-12-20,23.9,24.6
2022-12-21,22.75,24.1
2022-12-22,21.65,22.1
2022-12-23,20.7,21.1
2022-12-24,21.03,21.1
2022-12-25,21.37,21.1
2022-12-26,21.7,21.1
2022-12-27,22.75,22.2
2022-12-28,23.5,22.9
2022-12-29,23.7,23.55
2022-12-30,23.05,23.95
2022-12-31,23.18,23.72
