Date,Open,Close
2025-01-01,7.44,7.44
2025-01-02,7.58,7.58
2025-01-03,7.73,7.73
2025-01-04,7.68,7.68
2025-01-05,7.62,7.62
2025-01-06,7.57,7.57
2025-01-07,7.58,7.58
2025-01-08,7.73,7.73
2025-01-09,7.88,7.88
2025-01-10,8.03,8.03
2025-01-11,8.16,8.03
2025-01-12,8.29,8.03
2025-01-13,8.42,8.03
2025-01-14,8.84,8.43
2025-01-15,9.28,9.05
2025-01-16,9.09,9.74
2025-01-17,8.87,8.65
2025-01-18,8.72,8.71
2025-01-19,8.57,8.77
2025-01-20,8.42,8.83
2025-01-21,8.37,8.2
2025-01-22,7.95,8.15
2025-01-23,7.55,7.55
2025-01-24,7.49,7.52
2025-01-25,7.49,7.38
2025-01-26,7.49,7.25
2025-01-27,7.49,7.11
2025-01-28,7.49,7.49
2025-01-29,7.11,7.11
2025-01-30,6.75,7.11
2025-01-31,7.0,6.75
2025-02-01,6.69,6.65
2025-02-02,6.53,6.51
2025-02-03,6.37,6.37
2025-02-04,6.06,6.06
2025-02-05,6.36,5.81
2025-02-06,6.36,6.36
2025-02-07,6.04,6.04
2025-02-08,5.96,6.04
2025-02-09,5.88,6.04
2025-02-10,5.8,6.04
2025-02-11,5.51,5.8
2025-02-12,5.26,5.51
2025-02-13,5.27,5.26
2025-02-14,5.27,5.27
2025-02-15,5.36,5.18
2025-02-16,5.44,5.09
2025-02-17,5.53,5.0
2025-02-18,5.53,5.53
2025-02-19,5.53,5.53
2025-02-20,5.53,5.53
2025-02-21,5.53,5.53
2025-02-22,5.44,5.44
2025-02-23,5.34,5.34
2025-02-24,5.25,5.25
2025-02-25,5.25,5.25
2025-02-26,5.25,5.25
2025-02-27,5.25,5.25
2025-02-28,5.25,5.25
2025-03-01,5.25,5.25
2025-03-02,5.25,5.25
2025-03-03,5.25,5.25
2025-03-04,5.25,5.25
2025-03-05,5.25,5.25
2025-03-06,5.25,5.25
2025-03-07,5.25,5.25
2025-03-08,5.16,5.24
2025-03-09,5.08,5.22
2025-03-10,4.99,5.21
2025-03-11,4.99,4.99
2025-03-12,4.74,4.74
2025-03-13,4.9,4.5
2025-03-14,4.84,4.6
2025-03-15,4.78,4.7
2025-03-16,4.71,4.8
2025-03-17,4.65,4.9
2025-03-18,4.65,4.65
2025-03-19,4.19,4.6
2025-03-20,4.19,3.99
2025-03-21,4.01,4.0
2025-03-22,4.08,4.07
2025-03-23,4.14,4.14
2025-03-24,4.21,4.21
2025-03-25,4.42,4.42
2025-03-26,4.64,4.64
2025-03-27,4.87,4.4
2025-03-28,4.87,4.87
2025-03-29,4.93,4.87
2025-03-30,4.99,4.87
2025-03-31,5.05,4.87
2025-04-01,5.11,4.87
2025-04-02,5.11,5.11
2025-04-03,5.36,5.36
2025-04-04,5.51,5.5
2025-04-05,5.42,5.41
2025-04-06,5.33,5.32
2025-04-07,5.24,5.23
2025-04-08,4.97,4.98
2025-04-09,5.21,5.21
2025-04-10,5.34,5.11
2025-04-11,5.47,5.01
2025-04-12,5.54,5.19
2025-04-13,5.6,5.38
2025-04-14,5.67,5.56
2025-04-15,5.74,5.74
2025-04-16,6.02,6.02
2025-04-17,6.32,6.32
2025-04-18,6.4,6.4
2025-04-19,6.48,6.48
2025-04-20,6.55,6.55
2025-04-21,6.63,6.63
2025-04-22,6.96,6.63
2025-04-23,7.21,6.97
2025-04-24,7.02,7.57
2025-04-25,6.66,6.66
2025-04-26,6.56,6.67
2025-04-27,6.45,6.68
2025-04-28,6.35,6.69
2025-04-29,6.03,6.03
2025-04-30,6.03,6.03
2025-05-01,6.18,6.03
2025-05-02,6.33,6.03
2025-05-03,6.22,6.03
2025-05-04,6.12,6.03
2025-05-05,6.01,6.03
2025-05-06,5.7,5.71
2025-05-07,5.41,5.41
2025-05-08,5.13,5.13
2025-05-09,4.97,5.13
2025-05-10,4.97,5.08
2025-05-11,4.97,5.02
2025-05-12,4.97,4.97
2025-05-13,4.72,4.72
2025-05-14,4.49,4.6
2025-05-15,4.49,4.49
2025-05-16,4.49,4.49
2025-05-17,4.43,4.56
2025-05-18,4.37,4.64
2025-05-19,4.31,4.71
2025-05-20,4.32,4.32
2025-05-21,4.32,4.32
2025-05-22,4.53,4.53
2025-05-23,4.46,4.75
2025-05-24,4.46,4.67
2025-05-25,4.46,4.59
2025-05-26,4.46,4.51
2025-05-27,4.28,4.51
2025-05-28,4.28,4.16
2025-05-29,4.33,4.27
2025-05-30,4.16,4.3
2025-05-31,4.12,4.22
2025-06-01,4.09,4.13
2025-06-02,4.05,4.05
2025-06-03,4.11,3.97
2025-06-04,4.31,4.1
2025-06-05,4.35,4.32
2025-06-06,4.22,4.56
2025-06-07,4.22,4.45
2025-06-08,4.22,4.33
2025-06-09,4.22,4.22
2025-06-10,4.43,4.43
2025-06-11,4.65,4.65
2025-06-12,4.88,4.88
2025-06-13,5.12,5.12
2025-06-14,5.2,5.2
2025-06-15,5.29,5.29
2025-06-16,5.37,5.37
2025-06-17,5.63,5.63
2025-06-18,5.91,5.91
2025-06-19,5.99,5.99
2025-06-20,6.1,6.1
2025-06-21,6.14,6.14
2025-06-22,6.18,6.18
2025-06-23,6.22,6.22
2025-06-24,6.34,6.34
2025-06-25,6.25,6.25
2025-06-26,6.12,6.12
2025-06-27,6.12,6.12
2025-06-28,6.12,6.12
2025-06-29,6.12,6.12
2025-06-30,6.12,6.12
2025-07-01,6.21,6.21
2025-07-02,6.25,6.25
2025-07-03,6.2,6.2
2025-07-04,6.2,6.2
2025-07-05,6.21,6.21
2025-07-06,6.21,6.21
2025-07-07,6.22,6.22
2025-07-08,6.1,6.1
2025-07-09,6.22,6.22
2025-07-10,6.22,6.22
2025-07-11,6.25,6.25
2025-07-12,6.25,6.25
2025-07-13,6.25,6.25
2025-07-14,6.25,6.25
2025-07-15,6.37,6.37
2025-07-16,6.49,6.49
2025-07-17,6.49,6.49
2025-07-18,6.59,6.59
2025-07-19,6.63,6.63
2025-07-20,6.68,6.68
2025-07-21,6.72,6.72
2025-07-22,6.85,6.85
2025-07-23,6.85,6.85
2025-07-24,6.75,6.75
2025-07-25,6.61,6.61
