Date,Open,Close
2020-01-01,49.3,44.73
2020-01-02,50.35,50.78
2020-01-03,50.49,48.68
2020-01-04,50.02,48.97
2020-01-05,49.54,49.25
2020-01-06,49.06,49.54
2020-01-07,49.49,49.11
2020-01-08,49.16,46.97
2020-01-09,50.3,49.68
2020-01-10,50.83,50.78
2020-01-11,51.38,50.56
2020-01-12,51.94,50.33
2020-01-13,52.49,50.11
2020-01-14,55.35,52.44
2020-01-15,57.97,55.35
2020-01-16,58.68,58.11
2020-01-17,60.45,58.68
2020-01-18,58.75,59.38
2020-01-19,57.05,60.08
2020-01-20,55.35,60.78
2020-01-21,54.4,55.92
2020-01-22,54.4,54.4
2020-01-23,55.26,53.68
2020-01-24,53.87,55.3
2020-01-25,53.08,54.41
2020-01-26,52.29,53.52
2020-01-27,51.49,52.64
2020-01-28,51.21,52.92
2020-01-29,52.59,51.87
2020-01-30,51.06,52.3
2020-01-31,50.73,51.4
2020-02-01,50.78,51.16
2020-02-02,50.83,50.92
2020-02-03,50.87,50.68
2020-02-04,49.87,51.44
2020-02-05,46.54,48.59
2020-02-06,46.63,46.68
2020-02-07,46.92,46.68
2020-02-08,46.68,46.92
2020-02-09,46.44,47.16
2020-02-10,46.2,47.4
2020-02-11,51.83,46.16
2020-02-12,58.02,52.16
2020-02-13,55.68,58.02
2020-02-14,55.02,56.11
2020-02-15,54.3,55.54
2020-02-16,53.59,54.97
2020-02-17,52.87,54.4
2020-02-18,53.44,52.87
2020-02-19,58.16,54.25
2020-02-20,61.78,58.45
2020-02-21,60.74,58.86
2020-02-22,59.71,59.28
2020-02-23,58.67,59.7
2020-02-24,57.64,60.11
2020-02-25,58.16,57.21
2020-02-26,56.83,58.02
2020-02-27,54.83,58.11
2020-02-28,51.4,51.54
2020-03-01,50.83,52.81
2020-03-02,50.54,53.44
2020-03-03,51.49,51.54
2020-03-04,48.63,52.83
2020-03-05,49.87,50.21
2020-03-06,45.87,47.63
2020-03-07,44.12,46.76
2020-03-08,42.38,45.89
2020-03-09,40.63,45.01
2020-03-10,39.32,43.42
2020-03-11,38.01,41.82
2020-03-12,33.68,35.34
