Date,Open,Close
2021-01-01,21.4,21.86
2021-01-02,21.43,21.76
2021-01-03,21.45,21.67
2021-01-04,21.48,21.58
2021-01-05,21.35,20.99
2021-01-06,20.55,21.36
2021-01-07,20.09,20.61
2021-01-08,20.23,20.2
2021-01-09,20.37,20.29
2021-01-10,20.5,20.38
2021-01-11,20.64,20.46
2021-01-12,20.73,20.76
2021-01-13,21.28,20.97
2021-01-14,20.97,21.41
2021-01-15,20.51,20.96
2021-01-16,20.42,20.85
2021-01-17,20.32,20.75
2021-01-18,20.23,20.64
2021-01-19,20.69,20.33
2021-01-20,20.8,20.76
2021-01-21,20.33,20.91
2021-01-22,19.97,20.46
2021-01-23,19.79,20.31
2021-01-24,19.61,20.15
2021-01-25,19.43,19.99
2021-01-26,19.42,19.74
2021-01-27,19.4,19.5
2021-01-28,18.99,19.37
2021-01-29,18.89,18.99
2021-01-30,18.98,19.15
2021-01-31,19.08,19.32
2021-02-01,19.17,19.48
2021-02-02,19.51,19.25
2021-02-03,19.32,19.51
2021-02-04,20.3,20.86
2021-02-05,20.55,20.61
2021-02-06,20.53,20.69
2021-02-07,20.51,20.77
2021-02-08,20.49,20.85
2021-02-09,20.6,20.49
2021-02-10,20.7,20.74
2021-02-11,22.75,20.92
2021-02-12,22.69,23.33
2021-02-13,22.54,23.23
2021-02-14,22.39,23.13
2021-02-15,22.24,23.04
2021-02-16,21.99,22.14
2021-02-17,22.33,21.91
2021-02-18,22.15,22.43
2021-02-19,22.13,22.1
2021-02-20,22.07,22.18
2021-02-21,22.01,22.26
2021-02-22,21.95,22.34
2021-02-23,21.83,21.87
2021-02-24,21.79,21.98
2021-02-25,22.34,22.04
2021-02-26,22.79,22.2
2021-02-27,23.58,23.16
2021-02-28,24.37,24.12
2021-03-01,25.16,25.08
2021-03-02,24.79,25.68
2021-03-03,24.58,25.08
2021-03-04,23.78,24.44
2021-03-05,24.05,23.69
2021-03-06,23.93,23.85
2021-03-07,23.81,24.02
2021-03-08,23.68,24.18
2021-03-09,23.69,23.82
2021-03-10,23.53,24.19
2021-03-11,23.99,24.12
2021-03-12,24.44,24.04
2021-03-13,24.33,24.29
2021-03-14,24.23,24.55
2021-03-15,24.13,24.8
2021-03-16,26.82,24.51
2021-03-17,25.08,26.05
2021-03-18,21.48,24.29
2021-03-19,21.83,21.68
2021-03-20,21.55,21.61
2021-03-21,21.27,21.53
2021-03-22,20.99,21.46
2021-03-23,22.72,21.14
2021-03-24,22.87,22.6
2021-03-25,23.0,23.12
2021-03-26,23.42,23.2
2021-03-27,23.31,23.31
2021-03-28,23.21,23.43
2021-03-29,23.1,23.55
2021-03-30,23.0,23.67
2021-03-31,23.57,22.85
2021-04-01,23.64,23.59
2021-04-02,23.37,23.64
2021-04-03,23.1,23.69
2021-04-04,22.82,23.74
2021-04-05,22.55,23.79
2021-04-06,22.4,22.6
2021-04-07,22.03,22.55
2021-04-08,22.23,22.28
2021-04-09,22.23,22.25
2021-04-10,21.9,22.17
2021-04-11,21.57,22.09
2021-04-12,21.23,22.0
2021-04-13,21.53,21.23
2021-04-14,21.41,21.5
2021-04-15,21.28,21.76
2021-04-16,21.04,21.26
2021-04-17,20.69,21.13
2021-04-18,20.34,20.99
2021-04-19,19.99,20.86
2021-04-20,20.24,20.12
2021-04-21,20.25,20.37
2021-04-22,20.27,20.61
2021-04-23,20.09,20.27
2021-04-24,19.98,20.22
2021-04-25,19.88,20.17
2021-04-26,19.77,20.12
2021-04-27,19.74,19.87
2021-04-28,19.92,19.65
2021-04-29,19.65,20.04
2021-04-30,19.52,19.32
2021-05-01,19.44,19.39
2021-05-02,19.36,19.45
2021-05-03,19.27,19.52
2021-05-04,18.92,19.37
2021-05-05,18.7,19.12
2021-05-06,19.07,18.88
2021-05-07,19.67,19.27
2021-05-08,19.77,19.53
2021-05-09,19.87,19.79
2021-05-10,19.97,20.04
2021-05-11,21.48,19.77
2021-05-12,21.58,21.58
2021-05-13,21.42,21.67
2021-05-14,21.26,21.76
2021-05-15,20.99,21.62
2021-05-16,20.73,21.49
2021-05-17,20.46,21.36
2021-05-18,20.96,20.69
2021-05-19,20.44,20.86
2021-05-20,19.92,20.69
2021-05-21,20.49,20.09
2021-05-22,20.4,20.27
2021-05-23,20.31,20.44
2021-05-24,20.22,20.61
2021-05-25,19.87,20.51
2021-05-26,19.97,20.02
2021-05-27,20.51,20.37
2021-05-28,22.63,20.96
2021-05-29,23.35,21.75
2021-05-30,24.08,22.53
2021-05-31,24.81,23.32
2021-06-01,26.08,25.53
2021-06-02,25.85,26.77
2021-06-03,25.46,26.08
2021-06-04,24.79,25.66
2021-06-05,24.89,25.45
2021-06-06,25.0,25.24
2021-06-07,25.11,25.03
2021-06-08,24.69,25.26
2021-06-09,24.24,24.64
2021-06-10,24.36,24.34
2021-06-11,25.58,24.59
2021-06-12,25.36,25.0
2021-06-13,25.13,25.42
2021-06-14,24.91,25.83
2021-06-15,24.79,25.11
2021-06-16,25.11,24.94
2021-06-17,25.38,25.11
2021-06-18,25.06,25.31
2021-06-19,25.09,25.07
2021-06-20,25.13,24.83
2021-06-21,25.16,24.59
2021-06-22,25.36,25.38
2021-06-23,27.05,25.71
2021-06-24,27.07,27.62
2021-06-25,27.15,27.32
2021-06-26,26.8,27.31
2021-06-27,26.45,27.3
2021-06-28,26.1,27.29
2021-06-29,25.95,26.18
2021-06-30,25.75,26.08
2021-07-01,25.51,25.95
2021-07-02,25.16,25.43
2021-07-03,25.51,25.37
2021-07-04,25.85,25.32
2021-07-05,26.2,25.26
2021-07-06,27.0,26.6
2021-07-07,27.12,27.12
2021-07-08,26.28,27.24
2021-07-09,25.28,26.13
2021-07-10,25.17,25.93
2021-07-11,25.05,25.73
2021-07-12,24.94,25.53
2021-07-13,24.64,25.03
2021-07-14,24.49,24.71
2021-07-15,24.61,24.71
2021-07-16,24.84,24.76
2021-07-17,24.67,24.74
2021-07-18,24.5,24.73
2021-07-19,24.34,24.71
2021-07-20,24.17,24.29
2021-07-21,24.19,24.31
2021-07-22,24.21,24.34
2021-07-23,22.35,24.36
2021-07-24,22.44,23.7
2021-07-25,22.53,23.04
2021-07-26,22.63,22.38
2021-07-27,22.35,22.8
2021-07-28,22.18,22.45
2021-07-29,21.88,22.35
2021-07-30,21.88,21.88
2021-07-31,21.87,21.98
2021-08-01,21.86,22.08
2021-08-02,21.86,22.18
2021-08-03,21.16,21.98
2021-08-04,20.91,21.31
2021-08-05,21.78,21.06
2021-08-06,22.05,21.86
2021-08-07,22.06,21.95
2021-08-08,22.07,22.04
2021-08-09,22.08,22.13
2021-08-10,21.46,22.1
2021-08-11,20.86,21.61
2021-08-12,21.14,20.96
2021-08-13,21.43,21.26
2021-08-14,21.22,21.38
2021-08-15,21.0,21.49
2021-08-16,20.79,21.61
2021-08-17,20.39,20.79
2021-08-18,20.09,20.46
2021-08-19,20.59,20.17
2021-08-20,21.09,19.87
2021-08-21,21.02,20.32
2021-08-22,20.95,20.78
2021-08-23,20.89,21.23
2021-08-24,20.76,20.91
2021-08-25,20.71,20.86
2021-08-26,20.49,20.74
2021-08-27,19.94,20.64
2021-08-28,19.9,20.46
2021-08-29,19.86,20.29
2021-08-30,19.82,20.12
2021-08-31,23.52,19.82
2021-09-01,23.0,23.64
2021-09-02,22.85,22.85
2021-09-03,22.6,22.95
2021-09-04,22.66,22.82
2021-09-05,22.72,22.7
2021-09-06,22.77,22.58
2021-09-07,22.18,22.92
2021-09-08,21.76,22.18
2021-09-09,22.25,21.83
2021-09-10,22.41,21.95
2021-09-11,22.56,22.07
2021-09-12,22.72,22.18
2021-09-13,22.87,22.3
2021-09-14,22.45,22.97
2021-09-15,22.45,22.55
2021-09-16,22.25,22.55
2021-09-17,20.96,22.35
2021-09-18,20.99,21.85
2021-09-19,21.02,21.36
2021-09-20,21.06,20.86
2021-09-21,20.44,21.06
2021-09-22,20.66,20.63
2021-09-23,21.28,20.86
2021-09-24,21.38,21.38
2021-09-25,21.49,21.39
2021-09-26,21.6,21.4
2021-09-27,21.7,21.4
2021-09-28,21.18,21.73
2021-09-29,20.83,21.03
2021-09-30,20.56,20.86
2021-10-01,20.76,20.53
2021-10-02,21.05,20.65
2021-10-03,21.34,20.77
2021-10-04,21.63,20.88
2021-10-05,21.63,21.63
2021-10-06,23.07,21.63
2021-10-07,23.62,23.37
2021-10-08,22.85,23.62
2021-10-09,22.91,23.45
2021-10-10,22.98,23.29
2021-10-11,23.05,23.12
2021-10-12,25.28,23.05
2021-10-13,25.26,25.76
2021-10-14,25.71,25.03
2021-10-15,25.67,25.16
2021-10-16,25.64,25.28
2021-10-17,25.61,25.41
2021-10-18,25.58,25.53
2021-10-19,23.72,25.73
2021-10-20,23.07,23.72
2021-10-21,22.52,23.37
2021-10-22,22.47,22.77
2021-10-23,22.39,22.76
2021-10-24,22.31,22.76
2021-10-25,22.23,22.75
2021-10-26,22.32,22.35
2021-10-27,22.65,22.52
2021-10-28,22.6,22.87
2021-10-29,22.52,22.75
2021-10-30,22.46,22.73
2021-10-31,22.39,22.71
2021-11-01,22.32,22.7
2021-11-02,22.47,22.47
2021-11-03,22.5,22.72
2021-11-04,22.65,22.62
2021-11-05,22.65,22.68
2021-11-06,22.66,22.73
2021-11-07,22.67,22.79
2021-11-08,22.67,22.85
2021-11-09,22.47,22.67
2021-11-10,22.27,22.4
2021-11-11,21.78,22.3
2021-11-12,22.08,21.88
2021-11-13,22.03,21.99
2021-11-14,21.99,22.11
2021-11-15,21.95,22.23
2021-11-16,22.0,22.0
2021-11-17,21.95,22.0
2021-11-18,21.26,21.88
2021-11-19,21.05,21.69
2021-11-20,20.85,21.5
2021-11-21,20.64,21.32
2021-11-22,20.44,21.13
2021-11-23,20.81,20.14
2021-11-24,20.78,21.08
2021-11-25,21.9,20.91
2021-11-26,20.66,21.58
2021-11-27,20.39,21.27
2021-11-28,20.11,20.97
2021-11-29,19.84,20.66
2021-11-30,19.61,19.89
2021-12-01,20.06,19.99
2021-12-02,20.31,20.14
2021-12-03,19.94,20.26
2021-12-04,19.91,20.14
2021-12-05,19.89,20.01
2021-12-06,19.86,19.89
2021-12-07,19.96,20.06
2021-12-08,20.44,20.16
2021-12-09,20.56,20.58
2021-12-10,21.21,20.66
2021-12-11,21.07,20.89
2021-12-12,20.92,21.12
2021-12-13,20.78,21.36
2021-12-14,20.93,20.68
2021-12-15,19.91,20.98
2021-12-16,19.89,20.14
2021-12-17,19.81,20.01
2021-12-18,19.61,19.9
2021-12-19,19.4,19.78
2021-12-20,19.19,19.66
2021-12-21,19.89,19.42
2021-12-22,19.96,20.14
2021-12-23,19.86,20.11
2021-12-24,19.64,19.94
2021-12-25,19.6,19.83
2021-12-26,19.56,19.72
2021-12-27,19.52,19.61
2021-12-28,19.71,19.76
2021-12-29,20.06,19.81
2021-12-30,19.94,20.14
2021-12-31,19.99,20.04
