Date,Open,Close
2024-01-01,751.05,751.4
2024-01-02,732.91,754.39
2024-01-03,732.76,741.41
2024-01-04,738.16,729.41
2024-01-05,743.35,749.65
2024-01-06,740.94,744.59
2024-01-07,738.52,739.52
2024-01-08,736.11,734.46
2024-01-09,736.81,739.36
2024-01-10,752.55,734.46
2024-01-11,778.28,758.29
2024-01-12,780.37,779.37
2024-01-13,779.07,781.36
2024-01-14,777.78,783.34
2024-01-15,776.48,785.32
2024-01-16,772.78,773.38
2024-01-17,768.48,769.38
2024-01-18,770.13,767.08
2024-01-19,769.13,774.43
2024-01-20,764.97,771.09
2024-01-21,760.81,767.76
2024-01-22,756.66,764.42
2024-01-23,752.5,761.09
2024-01-24,753.55,752.2
2024-01-25,777.38,759.64
2024-01-26,779.56,765.82
2024-01-27,781.75,772.01
2024-01-28,783.93,778.19
2024-01-29,786.12,784.37
2024-01-30,759.99,786.62
2024-01-31,751.5,763.14
2024-02-01,742.6,778.38
2024-02-02,724.22,748.4
2024-02-03,711.53,743.72
2024-02-04,698.84,739.04
2024-02-05,686.15,734.36
2024-02-06,696.69,684.6
2024-02-07,714.28,696.69
2024-02-08,714.68,725.32
2024-02-09,724.17,720.32
2024-02-10,712.94,726.02
2024-02-11,701.72,731.71
2024-02-12,690.5,737.41
2024-02-13,673.51,700.89
2024-02-14,708.58,689.2
2024-02-15,714.43,714.58
2024-02-16,709.23,719.67
2024-02-17,704.98,719.24
2024-02-18,700.74,718.81
2024-02-19,696.49,718.37
2024-02-20,694.79,707.08
2024-02-21,693.89,705.03
2024-02-22,687.0,694.44
2024-02-23,681.1,692.44
2024-02-24,677.01,690.35
2024-02-25,672.91,688.25
2024-02-26,668.81,686.15
2024-02-27,677.91,669.46
2024-02-28,667.31,683.15
2024-03-01,653.83,656.52
2024-03-02,660.34,662.57
2024-03-03,666.85,668.61
2024-03-04,673.36,674.66
2024-03-05,647.78,678.36
2024-03-06,630.54,649.53
2024-03-07,636.79,635.14
2024-03-08,634.84,638.65
2024-03-09,632.89,642.16
2024-03-10,630.94,645.67
2024-03-11,629.0,649.18
2024-03-12,603.42,629.0
2024-03-13,540.17,594.42
2024-03-14,572.44,539.47
2024-03-15,611.01,584.53
2024-03-16,616.67,594.19
2024-03-17,622.33,603.85
2024-03-18,628.0,613.51
2024-03-19,624.8,630.54
2024-03-20,624.95,619.5
2024-03-21,637.39,651.43
2024-03-22,680.9,640.24
2024-03-23,672.57,649.67
2024-03-24,664.24,659.1
2024-03-25,655.91,668.53
2024-03-26,647.58,677.96
2024-03-27,628.5,647.68
2024-03-28,636.79,624.6
2024-03-29,636.05,625.34
2024-03-30,635.32,626.07
2024-03-31,634.58,626.81
2024-04-01,633.84,627.55
2024-04-02,662.97,640.19
2024-04-03,662.67,653.03
2024-04-04,690.55,669.26
2024-04-05,684.85,692.44
2024-04-06,691.41,693.38
2024-04-07,697.97,694.31
2024-04-08,704.53,695.24
2024-04-09,700.79,708.23
2024-04-10,690.8,700.79
2024-04-11,692.32,692.47
2024-04-12,693.84,684.15
2024-04-13,697.64,684.05
2024-04-14,701.44,683.95
2024-04-15,705.23,683.85
2024-04-16,758.24,713.43
2024-04-17,751.25,743.9
2024-04-18,744.25,774.38
2024-04-19,772.38,741.11
2024-04-20,771.55,751.88
2024-04-21,770.72,762.65
2024-04-22,769.88,773.43
2024-04-23,776.78,780.32
2024-04-24,798.01,783.37
2024-04-25,813.05,803.36
2024-04-26,787.57,811.15
2024-04-27,786.02,803.97
2024-04-28,784.47,796.79
2024-04-29,782.92,789.62
2024-04-30,786.22,788.87
2024-05-01,772.81,789.12
2024-05-02,759.39,789.37
2024-05-03,749.85,766.09
2024-05-04,758.81,764.52
2024-05-05,767.77,762.95
2024-05-06,776.73,761.39
2024-05-07,761.44,775.98
2024-05-08,784.82,753.85
2024-05-09,749.05,784.42
2024-05-10,753.9,747.05
2024-05-11,747.37,750.16
2024-05-12,740.84,753.28
2024-05-13,734.31,756.39
2024-05-14,766.09,741.66
2024-05-15,756.04,773.73
2024-05-16,749.15,760.39
2024-05-17,751.65,746.45
2024-05-18,750.36,750.94
2024-05-19,749.07,755.42
2024-05-20,747.79,759.9
2024-05-21,746.5,764.39
2024-05-22,727.17,713.43
2024-05-23,727.07,727.17
2024-05-24,709.93,725.37
2024-05-25,706.68,721.47
2024-05-26,703.44,717.57
2024-05-27,700.19,713.68
2024-05-28,678.26,699.44
2024-05-29,671.41,679.95
2024-05-30,669.96,671.41
2024-05-31,643.23,669.16
2024-06-01,638.05,664.82
2024-06-02,632.88,660.47
2024-06-03,627.7,656.12
2024-06-04,590.78,637.39
2024-06-05,584.53,623.25
2024-06-06,613.76,587.43
2024-06-07,630.69,618.65
2024-06-08,634.77,625.27
2024-06-09,638.85,631.88
2024-06-10,642.93,638.49
2024-06-11,642.13,642.93
2024-06-12,645.03,642.73
2024-06-13,655.37,644.48
2024-06-14,658.37,660.37
2024-06-15,654.55,659.87
2024-06-16,650.73,659.37
2024-06-17,646.91,658.87
2024-06-18,643.08,658.37
2024-06-19,635.59,643.58
2024-06-20,631.84,631.49
2024-06-21,629.94,629.35
2024-06-22,628.68,631.99
2024-06-23,627.41,634.64
2024-06-24,626.15,637.29
2024-06-25,609.76,626.15
2024-06-26,621.8,614.01
2024-06-27,641.49,621.7
2024-06-28,630.09,639.54
2024-06-29,631.83,636.76
2024-06-30,633.56,633.97
2024-07-01,635.29,631.19
2024-07-02,634.54,644.83
2024-07-03,628.8,633.54
2024-07-04,628.55,629.5
2024-07-05,630.89,638.29
2024-07-06,634.19,635.79
2024-07-07,637.49,633.29
2024-07-08,640.79,630.79
2024-07-09,639.79,648.38
2024-07-10,641.19,639.49
2024-07-11,644.98,639.59
2024-07-12,643.13,648.43
2024-07-13,643.08,649.45
2024-07-14,643.03,650.46
2024-07-15,642.98,651.48
2024-07-16,638.14,642.93
2024-07-17,632.77,640.21
2024-07-18,627.4,637.49
2024-07-19,614.31,628.3
2024-07-20,605.1,620.59
2024-07-21,595.89,612.88
2024-07-22,586.68,605.16
2024-07-23,595.22,590.98
2024-07-24,602.22,620.5
2024-07-25,600.77,599.52
2024-07-26,606.01,609.51
2024-07-27,604.12,611.14
2024-07-28,602.22,612.78
2024-07-29,600.32,614.41
2024-07-30,675.61,642.13
2024-07-31,686.95,688.25
