Date,Open,Close
2020-01-01,86.58,86.43
2020-01-02,91.2,87.22
2020-01-03,87.91,90.91
2020-01-04,86.55,89.76
2020-01-05,85.19,88.61
2020-01-06,83.83,87.46
2020-01-07,84.02,84.47
2020-01-08,89.04,83.09
2020-01-09,88.64,89.68
2020-01-10,88.35,88.55
2020-01-11,88.82,88.69
2020-01-12,89.3,88.84
2020-01-13,89.77,88.99
2020-01-14,90.07,89.38
2020-01-15,92.38,91.15
2020-01-16,91.45,92.38
2020-01-17,90.56,91.35
2020-01-18,89.96,91.09
2020-01-19,89.35,90.82
2020-01-20,88.74,90.56
2020-01-21,87.81,88.69
2020-01-22,85.6,87.96
2020-01-23,85.35,83.97
2020-01-24,86.63,84.81
2020-01-25,86.43,85.42
2020-01-26,86.24,86.02
2020-01-27,86.04,86.63
2020-01-28,84.12,88.4
2020-01-29,85.5,86.19
2020-01-30,83.97,88.4
2020-01-31,83.14,86.43
2020-02-01,81.73,84.5
2020-02-02,80.32,82.56
2020-02-03,78.91,80.63
2020-02-04,83.53,80.63
2020-02-05,84.07,86.24
2020-02-06,84.12,83.83
2020-02-07,82.74,84.37
2020-02-08,82.06,84.1
2020-02-09,81.37,83.84
2020-02-10,80.68,83.58
2020-02-11,83.19,83.58
2020-02-12,80.83,82.74
2020-02-13,80.24,80.63
2020-02-14,80.68,78.81
2020-02-15,80.01,79.35
2020-02-16,79.34,79.89
2020-02-17,78.66,80.43
2020-02-18,77.88,78.91
2020-02-19,79.16,79.65
2020-02-20,77.04,79.6
2020-02-21,76.73,78.5
2020-02-22,76.43,77.41
2020-02-23,76.12,76.32
2020-02-24,75.81,75.22
2020-02-25,75.27,77.43
2020-02-26,75.03,74.73
2020-02-27,73.94,74.24
2020-02-28,74.04,68.98
2020-03-01,73.85,73.4
2020-03-02,73.75,75.62
2020-03-03,71.09,73.85
2020-03-04,68.49,71.39
2020-03-05,69.03,70.6
2020-03-06,69.81,63.96
2020-03-07,68.7,64.21
2020-03-08,67.59,64.46
2020-03-09,66.47,64.7
2020-03-10,67.09,64.8
2020-03-11,67.7,64.9
2020-03-12,57.72,64.9
2020-03-13,51.23,46.21
2020-03-14,51.18,47.85
2020-03-15,51.13,49.49
2020-03-16,51.08,51.13
2020-03-17,48.43,51.87
2020-03-18,42.63,49.31
2020-03-19,39.43,39.87
2020-03-20,42.53,42.63
2020-03-21,41.12,42.18
2020-03-22,39.71,41.74
2020-03-23,38.3,41.3
2020-03-24,35.05,34.66
2020-03-25,37.96,34.76
2020-03-26,40.91,38.35
2020-03-27,38.1,44.15
2020-03-28,37.59,43.2
2020-03-29,37.09,42.25
2020-03-30,36.58,41.3
2020-03-31,38.79,37.86
2020-04-01,38.2,38.74
2020-04-02,36.78,38.99
2020-04-03,35.35,39.23
2020-04-04,35.83,38.31
2020-04-05,36.31,37.39
2020-04-06,36.79,36.47
2020-04-07,37.27,35.55
2020-04-08,38.2,37.27
2020-04-09,44.94,39.23
2020-04-10,45.06,40.95
2020-04-11,45.18,42.68
2020-04-12,45.31,44.4
2020-04-13,45.43,46.12
2020-04-14,46.71,48.23
2020-04-15,47.98,50.34
2020-04-16,52.31,46.66
2020-04-17,54.13,55.06
2020-04-18,53.67,54.77
2020-04-19,53.21,54.47
2020-04-20,52.75,54.18
2020-04-21,48.33,51.13
2020-04-22,52.56,48.18
2020-04-23,50.25,53.1
2020-04-24,48.08,49.16
2020-04-25,48.69,48.84
2020-04-26,49.3,48.51
2020-04-27,49.9,48.18
2020-04-28,49.9,49.26
2020-04-29,49.9,49.9
2020-04-30,50.74,50.84
2020-05-01,49.99,50.27
2020-05-02,49.24,49.71
2020-05-03,48.49,49.14
2020-05-04,47.74,48.57
2020-05-05,48.23,48.97
2020-05-06,49.36,48.97
2020-05-07,48.67,49.8
2020-05-08,48.48,49.75
2020-05-09,48.12,49.49
2020-05-10,47.76,49.23
2020-05-11,47.39,48.97
2020-05-12,46.71,47.84
2020-05-13,48.92,48.77
2020-05-14,47.69,49.56
2020-05-15,46.8,47.69
2020-05-16,46.41,47.59
2020-05-17,46.02,47.49
2020-05-18,45.62,47.39
2020-05-19,44.15,45.72
2020-05-20,46.56,44.74
2020-05-21,47.2,47.1
2020-05-22,47.35,47.35
2020-05-23,47.35,47.31
2020-05-24,47.35,47.27
2020-05-25,47.35,47.24
2020-05-26,47.35,47.2
2020-05-27,47.74,47.64
2020-05-28,51.87,47.2
2020-05-29,49.8,53.1
2020-05-30,49.67,52.15
2020-05-31,49.54,51.2
2020-06-01,49.41,50.25
2020-06-02,49.75,49.16
2020-06-03,49.9,50.59
2020-06-04,50.74,50.79
2020-06-05,52.31,51.52
2020-06-06,53.72,52.38
2020-06-07,55.13,53.23
2020-06-08,56.54,54.08
2020-06-09,54.62,56.44
2020-06-10,53.98,55.16
2020-06-11,64.26,55.16
2020-06-12,74.14,61.95
2020-06-13,71.68,67.01
2020-06-14,69.22,72.08
2020-06-15,66.77,77.14
2020-06-16,62.19,65.68
2020-06-17,66.72,62.14
2020-06-18,70.26,66.18
2020-06-19,66.27,71.78
2020-06-20,66.11,70.09
2020-06-21,65.95,68.4
2020-06-22,65.78,66.72
2020-06-23,65.0,66.37
2020-06-24,65.24,65.39
2020-06-25,66.32,64.6
2020-06-26,66.72,67.85
2020-06-27,66.04,67.49
2020-06-28,65.37,67.13
2020-06-29,64.7,66.77
2020-06-30,65.73,65.44
2020-07-01,65.98,66.18
2020-07-02,66.18,65.88
2020-07-03,66.91,66.81
2020-07-04,66.88,66.85
2020-07-05,66.85,66.88
2020-07-06,66.81,66.91
2020-07-07,66.47,67.75
2020-07-08,65.09,66.47
2020-07-09,66.67,65.09
2020-07-10,65.19,65.88
2020-07-11,65.72,65.9
2020-07-12,66.24,65.91
2020-07-13,66.77,65.93
2020-07-14,67.5,66.86
2020-07-15,68.04,68.34
2020-07-16,66.67,68.19
2020-07-17,66.96,66.96
2020-07-18,66.59,66.95
2020-07-19,66.21,66.93
2020-07-20,65.83,66.91
2020-07-21,65.73,66.37
2020-07-22,65.73,66.32
