Date,Open,Close
2025-01-01,31.3,30.2
2025-01-02,31.61,31.4
2025-01-03,31.88,31.6
2025-01-04,31.1,31.6
2025-01-05,30.31,31.6
2025-01-06,29.52,31.6
2025-01-07,34.3,29.76
2025-01-08,33.39,34.4
2025-01-09,32.06,33.36
2025-01-10,31.39,32.6
2025-01-11,30.58,32.06
2025-01-12,29.78,31.52
2025-01-13,28.97,30.98
2025-01-14,29.75,29.2
2025-01-15,29.4,30.02
2025-01-16,31.07,29.9
2025-01-17,30.72,31.08
2025-01-18,31.43,31.03
2025-01-19,32.13,30.98
2025-01-20,32.84,30.93
2025-01-21,31.25,33.02
2025-01-22,30.7,31.25
2025-01-23,32.17,30.6
2025-01-24,31.47,32.36
2025-01-25,30.87,31.92
2025-01-26,30.28,31.47
2025-01-27,29.68,31.03
2025-01-28,27.64,29.63
2025-01-29,29.02,27.78
2025-01-30,28.44,29.04
2025-01-31,29.12,28.62
2025-02-01,29.03,29.28
2025-02-02,28.75,28.99
2025-02-03,28.47,28.71
2025-02-04,29.08,28.74
2025-02-05,29.1,29.2
2025-02-06,29.48,29.64
2025-02-07,28.91,29.48
2025-02-08,28.7,29.31
2025-02-09,28.49,29.13
2025-02-10,28.28,28.95
2025-02-11,26.79,28.27
2025-02-12,27.34,26.66
2025-02-13,26.86,27.5
2025-02-14,25.33,27.8
2025-02-15,25.04,27.05
2025-02-16,24.75,26.31
2025-02-17,24.46,25.56
2025-02-18,23.84,24.49
2025-02-19,25.36,24.0
2025-02-20,25.58,25.1
2025-02-21,24.88,25.54
2025-02-22,24.77,25.23
2025-02-23,24.67,24.91
2025-02-24,24.56,24.6
2025-02-25,24.7,24.56
2025-02-26,23.96,24.68
2025-02-27,23.21,24.8
2025-02-28,21.71,22.99
2025-03-01,21.64,22.66
2025-03-02,21.56,22.33
2025-03-03,21.48,22.0
2025-03-04,22.43,21.0
2025-03-05,22.93,22.44
2025-03-06,23.31,23.06
2025-03-07,23.71,23.42
2025-03-08,23.26,23.57
2025-03-09,22.81,23.73
2025-03-10,22.37,23.89
2025-03-11,21.88,22.14
2025-03-12,21.77,22.0
2025-03-13,21.32,21.8
2025-03-14,21.18,21.72
2025-03-15,21.04,21.64
2025-03-16,20.9,21.56
2025-03-17,20.76,21.48
2025-03-18,20.76,20.76
2025-03-19,22.72,21.64
2025-03-20,22.55,22.9
2025-03-21,23.08,22.6
2025-03-22,23.18,22.85
2025-03-23,23.28,23.09
2025-03-24,23.37,23.34
2025-03-25,22.31,23.58
2025-03-26,21.86,22.42
2025-03-27,21.4,21.99
2025-03-28,21.4,21.48
2025-03-29,21.53,21.48
2025-03-30,21.66,21.48
2025-03-31,21.79,21.48
2025-04-01,21.92,21.48
2025-04-02,22.62,21.92
2025-04-03,22.55,22.4
2025-04-04,21.7,22.46
2025-04-05,21.35,21.55
2025-04-06,21.0,20.65
2025-04-07,20.65,19.74
2025-04-08,21.1,21.6
2025-04-09,21.03,21.2
2025-04-10,21.08,21.55
2025-04-11,21.13,21.9
2025-04-12,21.34,21.83
2025-04-13,21.54,21.77
2025-04-14,21.75,21.7
2025-04-15,21.96,21.64
2025-04-16,22.12,22.0
2025-04-17,21.95,21.9
2025-04-18,22.09,21.9
2025-04-19,22.23,21.9
2025-04-20,22.37,21.91
2025-04-21,22.51,21.91
2025-04-22,22.46,22.68
2025-04-23,22.88,22.77
2025-04-24,22.82,22.88
2025-04-25,21.82,22.9
2025-04-26,21.79,22.54
2025-04-27,21.76,22.18
2025-04-28,21.73,21.81
2025-04-29,21.8,21.84
2025-04-30,21.28,21.6
2025-05-01,21.28,21.55
2025-05-02,21.27,21.5
2025-05-03,21.34,21.45
2025-05-04,21.41,21.39
2025-05-05,21.47,21.34
2025-05-06,20.4,21.55
2025-05-07,20.71,20.3
2025-05-08,20.2,20.86
2025-05-09,20.28,19.6
2025-05-10,20.85,20.23
2025-05-11,21.41,20.86
2025-05-12,21.98,21.5
2025-05-13,22.38,22.16
2025-05-14,23.06,22.52
2025-05-15,23.07,23.13
2025-05-16,23.6,23.16
2025-05-17,23.59,23.35
2025-05-18,23.58,23.55
2025-05-19,23.57,23.74
2025-05-20,23.28,23.72
2025-05-21,23.34,23.38
2025-05-22,23.4,23.4
