Date,Open,Close
2023-01-01,34.13,34.3
2023-01-02,34.5,35.05
2023-01-03,36.15,35.5
2023-01-04,37.1,37.9
2023-01-05,37.1,37.5
2023-01-06,36.8,38.05
2023-01-07,36.2,37.23
2023-01-08,35.6,36.42
2023-01-09,35.0,35.6
2023-01-10,33.65,33.9
2023-01-11,32.4,32.15
2023-01-12,32.7,33.5
2023-01-13,33.1,33.0
2023-01-14,32.62,33.27
2023-01-15,32.13,33.53
2023-01-16,31.65,33.8
2023-01-17,31.6,32.4
2023-01-18,32.5,30.85
2023-01-19,32.9,33.45
2023-01-20,34.5,33.5
2023-01-21,35.07,34.3
2023-01-22,35.63,35.1
2023-01-23,36.2,35.9
2023-01-24,37.05,36.55
2023-01-25,36.1,36.25
2023-01-26,35.2,35.58
2023-01-27,34.3,34.9
2023-01-28,33.78,34.27
2023-01-29,33.27,33.63
2023-01-30,32.75,33.0
2023-01-31,33.65,32.5
2023-02-01,33.3,33.6
2023-02-02,34.8,34.8
2023-02-03,34.8,35.5
2023-02-04,34.23,34.73
2023-02-05,33.67,33.97
2023-02-06,33.1,33.2
2023-02-07,31.75,31.45
2023-02-08,31.05,31.75
2023-02-09,31.0,31.9
2023-02-10,31.55,31.65
2023-02-11,31.12,32.0
2023-02-12,30.68,32.35
2023-02-13,30.25,32.7
2023-02-14,30.9,31.7
2023-02-15,30.25,31.45
2023-02-16,28.9,30.35
2023-02-17,28.95,29.25
2023-02-18,28.83,29.4
2023-02-19,28.72,29.55
2023-02-20,28.6,29.7
2023-02-21,28.9,29.0
2023-02-22,28.85,29.75
2023-02-23,29.0,28.95
2023-02-24,29.0,28.1
2023-02-25,28.98,28.6
2023-02-26,28.97,29.1
2023-02-27,28.95,29.6
2023-02-28,29.35,29.55
2023-03-01,29.25,29.6
2023-03-02,28.25,30.0
2023-03-03,29.6,29.25
2023-03-04,29.93,29.78
2023-03-05,30.27,30.32
2023-03-06,30.6,30.85
2023-03-07,30.9,31.38
2023-03-08,31.2,31.9
2023-03-09,29.9,32.15
2023-03-10,29.15,29.9
2023-03-11,28.87,30.02
2023-03-12,28.58,30.13
2023-03-13,28.3,30.25
2023-03-14,27.5,28.45
2023-03-15,27.35,28.65
2023-03-16,27.45,28.25
2023-03-17,28.2,28.3
2023-03-18,28.15,28.03
2023-03-19,28.1,27.77
2023-03-20,28.05,27.5
2023-03-21,26.95,28.35
2023-03-22,27.0,25.8
2023-03-23,26.5,26.2
2023-03-24,25.4,27.2
2023-03-25,24.98,26.6
2023-03-26,24.57,26.0
2023-03-27,24.15,25.4
2023-03-28,22.95,25.3
2023-03-29,23.3,23.85
2023-03-30,22.95,23.43
2023-03-31,22.6,23.0
2023-04-01,22.97,23.15
2023-04-02,23.33,23.3
2023-04-03,23.7,23.45
2023-04-04,24.2,24.03
2023-04-05,24.7,24.6
2023-04-06,25.9,25.65
2023-04-07,26.21,25.99
2023-04-08,26.52,26.32
2023-04-09,26.84,26.66
2023-04-10,27.15,27.0
2023-04-11,27.0,28.9
2023-04-12,27.95,26.9
2023-04-13,26.7,28.95
2023-04-14,26.66,28.84
2023-04-15,26.62,28.73
2023-04-16,26.59,28.61
2023-04-17,26.55,28.5
2023-04-18,24.45,28.8
2023-04-19,24.85,25.25
2023-04-20,25.45,26.25
2023-04-21,24.35,27.4
2023-04-22,24.55,26.78
2023-04-23,24.75,26.17
2023-04-24,24.95,25.55
2023-04-25,24.75,25.0
2023-04-26,24.25,25.55
2023-04-27,24.35,25.5
2023-04-28,24.05,24.5
2023-04-29,24.09,24.74
2023-04-30,24.12,24.98
2023-05-01,24.16,25.21
2023-05-02,24.2,25.45
2023-05-03,24.25,25.45
2023-05-04,24.6,24.55
2023-05-05,26.8,24.6
2023-05-06,27.68,25.4
2023-05-07,28.57,26.2
2023-05-08,29.45,27.0
2023-05-09,32.35,32.35
2023-05-10,33.95,33.75
2023-05-11,35.6,35.6
2023-05-12,37.35,37.35
2023-05-13,37.97,37.47
2023-05-14,38.58,37.58
2023-05-15,39.2,37.7
2023-05-16,37.25,39.8
2023-05-17,37.8,37.35
2023-05-18,39.6,39.0
2023-05-19,37.75,40.85
2023-05-20,38.3,39.32
2023-05-21,38.85,37.78
2023-05-22,39.4,36.25
2023-05-23,38.4,40.4
2023-05-24,37.8,37.0
2023-05-25,37.35,37.0
2023-05-26,36.3,37.45
2023-05-27,36.9,37.05
2023-05-28,37.5,36.65
2023-05-29,38.1,36.25
2023-05-30,37.15,39.9
2023-05-31,37.7,38.2
2023-06-01,38.5,38.5
2023-06-02,38.4,38.9
2023-06-03,38.1,38.43
2023-06-04,37.8,37.97
2023-06-05,37.5,37.5
2023-06-06,35.95,37.1
2023-06-07,34.15,35.6
2023-06-08,35.1,34.15
2023-06-09,33.6,34.5
2023-06-10,33.05,34.0
2023-06-11,32.5,33.5
2023-06-12,31.95,33.0
2023-06-13,33.35,33.3
2023-06-14,31.7,33.35
2023-06-15,31.3,32.6
2023-06-16,30.55,31.0
2023-06-17,30.3,30.85
2023-06-18,30.05,30.7
2023-06-19,29.8,30.55
2023-06-20,30.5,30.75
2023-06-21,30.05,30.85
2023-06-22,29.9,30.0
2023-06-23,29.85,30.3
2023-06-24,29.62,30.47
2023-06-25,29.38,30.63
2023-06-26,29.15,30.8
2023-06-27,29.45,29.9
2023-06-28,30.2,29.5
2023-06-29,29.95,29.3
2023-06-30,29.7,29.1
2023-07-01,29.53,29.18
2023-07-02,29.37,29.27
2023-07-03,29.2,29.35
2023-07-04,29.2,29.85
2023-07-05,29.6,29.6
2023-07-06,29.4,28.85
2023-07-07,29.05,29.5
2023-07-08,29.13,29.33
2023-07-09,29.22,29.17
2023-07-10,29.3,29.0
2023-07-11,28.95,29.9
2023-07-12,28.0,28.55
2023-07-13,28.4,28.0
2023-07-14,28.0,27.35
2023-07-15,28.05,27.57
2023-07-16,28.1,27.78
2023-07-17,28.15,28.0
2023-07-18,27.65,27.4
2023-07-19,26.55,27.65
2023-07-20,27.0,27.4
2023-07-21,27.25,27.0
2023-07-22,27.37,27.08
2023-07-23,27.48,27.17
2023-07-24,27.6,27.25
2023-07-25,27.35,28.4
2023-07-26,27.1,27.9
2023-07-27,27.1,27.4
2023-07-28,27.1,27.1
2023-07-29,27.28,27.3
2023-07-30,27.47,27.5
2023-07-31,27.65,27.7
2023-08-01,27.5,26.65
2023-08-02,27.45,28.8
2023-08-03,27.35,27.45
2023-08-04,27.3,26.3
2023-08-05,27.1,26.65
2023-08-06,26.9,27.0
2023-08-07,26.7,27.35
2023-08-08,27.0,26.7
2023-08-09,28.3,27.0
2023-08-10,28.75,27.6
2023-08-11,27.35,28.0
2023-08-12,27.32,28.17
2023-08-13,27.28,28.33
2023-08-14,27.25,28.5
2023-08-15,27.12,27.88
2023-08-16,27.0,27.25
2023-08-17,28.0,27.0
2023-08-18,27.75,28.6
2023-08-19,27.72,28.53
2023-08-20,27.68,28.47
2023-08-21,27.65,28.4
2023-08-22,26.4,27.6
2023-08-23,26.75,27.55
2023-08-24,26.4,26.5
2023-08-25,26.5,27.6
2023-08-26,26.38,27.6
2023-08-27,26.27,27.6
2023-08-28,26.15,27.6
2023-08-29,27.45,27.4
2023-08-30,27.5,28.7
2023-08-31,27.15,28.8
2023-09-01,26.75,26.5
2023-09-02,26.55,27.0
2023-09-03,26.35,27.5
2023-09-04,26.15,28.0
2023-09-05,26.5,27.35
2023-09-06,26.05,27.65
2023-09-07,26.45,27.1
2023-09-08,26.45,26.85
2023-09-09,26.4,26.72
2023-09-10,26.35,26.58
