Date,Open,Close
2019-12-02,10.9,10.5
2019-12-03,11.1,10.5
2019-12-04,10.75,11.5
2019-12-05,10.3,10.5
2019-12-06,10.15,10.6
2019-12-07,10.15,10.53
2019-12-08,10.15,10.47
2019-12-09,10.15,10.4
2019-12-10,9.9,9.65
2019-12-11,9.8,9.65
2019-12-12,10.0,9.45
2019-12-13,9.9,10.0
2019-12-14,9.9,9.87
2019-12-15,9.9,9.73
2019-12-16,9.9,9.6
2019-12-17,9.8,10.2
2019-12-18,9.7,9.6
2019-12-19,9.6,9.65
2019-12-20,9.75,9.5
2019-12-21,9.62,9.53
2019-12-22,9.48,9.57
2019-12-23,9.35,9.6
2019-12-24,9.15,9.4
2019-12-25,9.27,9.27
2019-12-26,9.4,9.15
2019-12-27,9.85,9.15
2019-12-28,10.0,9.4
2019-12-29,10.15,9.65
2019-12-30,10.3,9.9
2019-12-31,10.8,10.8
