Date,Open,Close
2021-01-01,24.3,24.1
2021-01-02,23.9,24.57
2021-01-03,23.5,25.03
2021-01-04,23.1,25.5
2021-01-05,21.95,21.95
2021-01-06,20.9,20.9
2021-01-07,19.9,19.9
2021-01-08,19.0,19.9
2021-01-09,19.32,19.62
2021-01-10,19.63,19.33
2021-01-11,19.95,19.05
2021-01-12,20.25,20.4
2021-01-13,19.25,20.25
2021-01-14,18.45,18.65
2021-01-15,17.6,18.7
2021-01-16,17.88,18.2
2021-01-17,18.17,17.7
2021-01-18,18.45,17.2
2021-01-19,19.35,18.9
2021-01-20,20.3,20.25
2021-01-21,19.95,20.9
2021-01-22,19.95,20.1
2021-01-23,20.27,20.32
2021-01-24,20.58,20.53
2021-01-25,20.9,20.75
2021-01-26,20.97,20.88
2021-01-27,21.05,21.0
2021-01-28,21.05,21.3
2021-01-29,21.6,21.5
2021-01-30,21.5,21.62
2021-01-31,21.4,21.73
2021-02-01,21.3,21.85
2021-02-02,20.25,21.4
2021-02-03,19.4,20.05
2021-02-04,19.5,19.25
2021-02-05,19.8,19.95
2021-02-06,19.85,19.9
2021-02-07,19.9,19.85
2021-02-08,19.95,19.8
2021-02-09,19.8,20.1
2021-02-10,19.45,19.8
2021-02-11,19.1,19.4
2021-02-12,18.85,19.65
2021-02-13,19.15,19.6
2021-02-14,19.45,19.55
2021-02-15,19.75,19.5
2021-02-16,20.7,20.7
2021-02-17,21.7,21.7
2021-02-18,22.05,22.4
2021-02-19,21.2,22.7
2021-02-20,21.13,22.27
2021-02-21,21.07,21.83
2021-02-22,21.0,21.4
2021-02-23,21.3,21.0
2021-02-24,21.05,21.8
2021-02-25,20.75,21.05
2021-02-26,20.75,20.8
2021-02-27,20.83,20.83
2021-02-28,20.92,20.87
2021-03-01,21.0,20.9
2021-03-02,20.95,21.4
2021-03-03,20.55,21.3
2021-03-04,20.5,20.4
2021-03-05,20.35,20.75
2021-03-06,20.25,20.78
2021-03-07,20.15,20.82
2021-03-08,20.05,20.85
2021-03-09,20.85,19.8
2021-03-10,21.85,21.3
2021-03-11,22.35,21.88
2021-03-12,22.85,22.45
2021-03-13,22.73,22.83
2021-03-14,22.62,23.22
2021-03-15,22.5,23.6
2021-03-16,22.95,23.0
2021-03-17,22.65,22.9
2021-03-18,22.5,22.35
2021-03-19,21.8,22.95
2021-03-20,21.78,22.63
2021-03-21,21.77,22.32
2021-03-22,21.75,22.0
2021-03-23,21.6,22.45
2021-03-24,21.2,21.9
2021-03-25,20.15,21.2
2021-03-26,20.95,20.0
2021-03-27,20.76,20.43
2021-03-28,20.58,20.85
2021-03-29,20.39,21.28
2021-03-30,20.2,21.7
2021-03-31,19.8,20.2
2021-04-01,19.95,19.75
2021-04-02,19.9,19.9
2021-04-03,19.85,20.05
2021-04-04,19.8,20.2
2021-04-05,19.75,20.35
2021-04-06,19.45,19.8
2021-04-07,19.0,20.1
2021-04-08,18.25,19.0
2021-04-09,18.65,18.5
2021-04-10,18.32,18.55
2021-04-11,17.98,18.6
2021-04-12,17.65,18.65
2021-04-13,17.85,18.65
2021-04-14,17.82,18.07
2021-04-15,17.8,17.5
2021-04-16,18.3,18.4
2021-04-17,17.77,18.37
2021-04-18,17.23,18.33
2021-04-19,16.7,18.3
2021-04-20,16.75,16.7
2021-04-21,16.8,16.73
2021-04-22,16.85,16.75
2021-04-23,18.5,16.7
2021-04-24,18.45,17.47
2021-04-25,18.4,18.23
2021-04-26,18.35,19.0
2021-04-27,18.5,18.7
2021-04-28,18.4,19.05
2021-04-29,17.85,18.45
2021-04-30,17.8,18.3
2021-05-01,17.88,18.13
2021-05-02,17.97,17.97
2021-05-03,18.05,17.8
2021-05-04,18.0,18.5
2021-05-05,17.7,18.05
2021-05-06,17.25,18.3
