Date,Open,Close
2023-01-01,358.48,358.79
2023-01-02,358.67,358.08
2023-01-03,359.9,360.64
2023-01-04,360.3,359.21
2023-01-05,357.59,363.1
2023-01-06,357.2,359.21
2023-01-07,356.36,359.85
2023-01-08,355.52,360.49
2023-01-09,354.69,361.13
2023-01-10,354.29,358.13
2023-01-11,355.42,356.06
2023-01-12,356.56,357.25
2023-01-13,354.0,358.38
2023-01-14,352.77,357.28
2023-01-15,351.54,356.18
2023-01-16,350.31,355.08
2023-01-17,342.43,352.08
2023-01-18,342.29,344.06
2023-01-19,359.21,348.19
2023-01-20,366.15,354.29
2023-01-21,364.59,357.31
2023-01-22,363.04,360.33
2023-01-23,361.48,363.35
2023-01-24,359.21,360.2
2023-01-25,347.95,356.75
2023-01-26,344.21,350.6
2023-01-27,340.47,344.45
2023-01-28,339.35,343.12
2023-01-29,338.23,341.79
2023-01-30,337.12,340.47
2023-01-31,341.94,334.71
2023-02-01,343.86,343.66
2023-02-02,343.76,345.58
2023-02-03,374.02,354.29
2023-02-04,380.45,359.71
2023-02-05,386.88,365.12
2023-02-06,393.31,370.53
2023-02-07,376.73,390.71
2023-02-08,380.08,378.8
2023-02-09,381.11,379.29
2023-02-10,393.66,381.85
2023-02-11,390.64,385.75
2023-02-12,387.62,389.66
2023-02-13,384.6,393.56
2023-02-14,379.63,385.0
2023-02-15,379.68,378.9
2023-02-16,385.69,380.96
2023-02-17,377.67,383.13
2023-02-18,374.27,381.72
2023-02-19,370.88,380.31
2023-02-20,367.48,378.9
2023-02-21,377.17,367.48
2023-02-22,362.02,376.19
2023-02-23,372.89,362.66
2023-02-24,360.59,354.29
2023-02-25,361.02,357.41
2023-02-26,361.44,360.53
2023-02-27,361.87,363.64
2023-02-28,366.45,365.51
2023-03-01,364.18,369.05
2023-03-02,357.1,366.05
2023-03-03,354.1,359.31
2023-03-04,353.54,358.16
2023-03-05,352.98,357.02
2023-03-06,352.42,355.87
2023-03-07,352.96,354.15
2023-03-08,353.51,352.42
2023-03-09,353.06,355.28
2023-03-10,352.13,354.29
2023-03-11,351.14,353.57
2023-03-12,350.16,352.85
2023-03-13,349.18,352.13
2023-03-14,347.75,351.05
2023-03-15,352.37,349.27
2023-03-16,347.99,352.42
2023-03-17,345.34,349.77
2023-03-18,341.86,348.29
2023-03-19,338.38,346.81
2023-03-20,334.91,345.34
2023-03-21,334.12,336.63
2023-03-22,329.94,335.89
2023-03-23,335.05,329.69
2023-03-24,326.93,327.77
2023-03-25,325.87,326.97
2023-03-26,324.8,326.16
2023-03-27,323.74,325.36
2023-03-28,322.75,323.74
2023-03-29,330.23,320.88
2023-03-30,338.37,328.16
2023-03-31,346.52,335.45
2023-04-01,347.6,339.14
2023-04-02,348.68,342.83
2023-04-03,349.77,346.52
2023-04-04,351.71,348.46
2023-04-05,353.65,350.41
2023-04-06,362.56,353.8
2023-04-07,363.19,356.14
2023-04-08,363.81,358.48
2023-04-09,364.44,360.81
2023-04-10,365.07,363.15
2023-04-11,363.35,366.94
2023-04-12,364.68,363.35
2023-04-13,362.95,366.5
2023-04-14,361.97,364.69
2023-04-15,360.98,362.88
2023-04-16,360.0,361.07
2023-04-17,359.02,359.26
2023-04-18,352.42,359.21
2023-04-19,356.36,353.31
2023-04-20,364.43,358.08
2023-04-21,361.72,362.71
2023-04-22,363.48,362.2
2023-04-23,365.23,361.69
2023-04-24,366.99,361.18
2023-04-25,367.19,377.91
2023-04-26,361.53,359.26
2023-04-27,358.03,361.18
2023-04-28,366.2,360.69
2023-04-29,366.87,363.94
2023-04-30,367.53,367.19
2023-05-01,368.19,370.43
2023-05-02,368.86,373.68
2023-05-03,371.17,368.86
2023-05-04,366.69,372.01
2023-05-05,360.2,368.56
2023-05-06,364.45,366.73
2023-05-07,368.69,364.89
2023-05-08,372.94,363.05
2023-05-09,369.6,376.39
2023-05-10,365.95,372.5
2023-05-11,370.43,367.82
2023-05-12,370.88,371.96
2023-05-13,379.18,372.24
2023-05-14,387.47,372.52
2023-05-15,395.77,372.79
2023-05-16,392.58,398.58
2023-05-17,385.59,392.58
2023-05-18,390.41,388.74
2023-05-19,394.15,393.51
