Date,Open,Close
2020-08-21,111.24,105.97
2020-08-22,113.09,109.57
2020-08-23,114.93,113.17
2020-08-24,116.77,116.77
2020-08-25,122.59,122.59
2020-08-26,123.44,128.71
2020-08-27,117.27,122.44
2020-08-28,111.44,111.44
2020-08-29,109.6,109.87
2020-08-30,107.76,108.29
2020-08-31,105.92,106.71
2020-09-01,105.22,100.64
2020-09-02,105.97,100.64
2020-09-03,111.24,106.52
2020-09-04,114.73,106.52
2020-09-05,114.1,109.39
2020-09-06,113.47,112.26
2020-09-07,112.84,115.13
2020-09-08,109.5,114.08
2020-09-09,110.94,105.52
2020-09-10,111.19,112.74
2020-09-11,130.95,119.9
2020-09-12,127.42,122.08
2020-09-13,123.89,124.25
2020-09-14,120.35,126.42
2020-09-15,118.21,121.45
2020-09-16,120.15,119.36
2020-09-17,117.17,119.46
2020-09-18,116.32,118.06
2020-09-19,114.35,117.85
2020-09-20,112.37,117.63
2020-09-21,110.4,117.42
2020-09-22,108.56,110.45
2020-09-23,110.45,110.4
2020-09-24,108.26,109.5
2020-09-25,109.4,109.6
2020-09-26,111.61,110.08
2020-09-27,113.82,110.56
2020-09-28,116.02,111.04
2020-09-29,112.94,116.47
2020-09-30,114.83,112.49
2020-10-01,115.37,116.17
2020-10-02,114.9,116.01
2020-10-03,114.43,115.85
2020-10-04,113.96,115.69
2020-10-05,113.48,115.52
2020-10-06,115.03,113.63
2020-10-07,113.78,115.23
2020-10-08,112.14,114.93
2020-10-09,110.2,112.64
2020-10-10,109.48,112.01
2020-10-11,108.77,111.38
2020-10-12,108.06,110.75
2020-10-13,112.14,109.1
2020-10-14,109.45,113.09
2020-10-15,106.66,109.5
2020-10-16,107.61,107.01
2020-10-17,107.78,107.41
2020-10-18,107.94,107.81
2020-10-19,108.11,108.21
2020-10-20,106.47,108.31
2020-10-21,105.72,106.27
2020-10-22,105.17,106.07
2020-10-23,104.82,105.97
2020-10-24,104.79,105.5
2020-10-25,104.76,105.04
2020-10-26,104.72,104.57
2020-10-27,105.57,105.92
2020-10-28,104.08,105.77
2020-10-29,103.18,103.63
2020-10-30,106.07,104.52
2020-10-31,106.27,105.02
2020-11-01,106.47,105.52
2020-11-02,106.66,106.02
2020-11-03,107.31,107.56
2020-11-04,112.69,107.31
2020-11-05,114.03,114.53
2020-11-06,113.98,113.68
2020-11-07,115.81,114.18
2020-11-08,117.63,114.68
2020-11-09,119.46,115.18
2020-11-10,114.73,118.71
2020-11-11,120.65,114.83
2020-11-12,117.61,119.46
2020-11-13,121.65,117.37
2020-11-14,121.7,123.44
2020-11-15,121.51,122.86
2020-11-16,121.33,122.28
2020-11-17,121.15,121.7
2020-11-18,119.41,120.95
2020-11-19,120.5,117.56
2020-11-20,123.34,121.0
2020-11-21,124.13,121.94
2020-11-22,124.93,122.89
2020-11-23,125.73,123.84
2020-11-24,125.08,127.12
2020-11-25,123.79,127.12
2020-11-26,123.54,123.99
2020-11-27,126.47,124.43
2020-11-28,126.56,125.18
2020-11-29,126.65,125.93
2020-11-30,126.74,126.67
2020-12-01,126.82,127.42
2020-12-02,127.37,128.32
2020-12-03,127.57,128.76
2020-12-04,138.77,127.92
2020-12-05,141.85,132.7
2020-12-06,144.94,137.47
2020-12-07,148.03,142.25
2020-12-08,141.51,149.37
2020-12-09,138.67,142.35
2020-12-10,140.31,139.17
2020-12-11,140.11,141.36
2020-12-12,139.5,141.34
2020-12-13,138.88,141.32
2020-12-14,138.27,141.31
2020-12-15,136.78,139.02
2020-12-16,138.22,137.77
2020-12-17,138.57,139.27
2020-12-18,139.61,139.17
2020-12-19,136.31,139.23
2020-12-20,133.01,139.3
2020-12-21,129.71,139.37
2020-12-22,135.58,134.39
2020-12-23,140.91,137.37
2020-12-24,140.76,142.15
2020-12-25,141.33,142.17
2020-12-26,141.9,142.18
2020-12-27,142.48,142.19
2020-12-28,143.05,142.2
2020-12-29,140.31,144.14
2020-12-30,139.86,140.96
2020-12-31,139.51,139.86
