Date,Open,Close
2023-01-01,87.23,82.01
2023-01-02,89.78,82.29
2023-01-03,88.75,90.27
2023-01-04,89.24,89.09
2023-01-05,91.29,89.53
2023-01-06,92.18,91.25
2023-01-07,91.98,91.72
2023-01-08,91.78,92.19
2023-01-09,91.59,92.66
2023-01-10,89.92,91.15
2023-01-11,92.37,90.22
2023-01-12,91.44,92.27
2023-01-13,91.78,91.34
2023-01-14,92.0,91.65
2023-01-15,92.21,91.96
2023-01-16,92.42,92.27
2023-01-17,90.71,92.22
2023-01-18,90.36,90.07
2023-01-19,91.34,89.92
2023-01-20,91.59,91.54
2023-01-21,91.51,91.64
2023-01-22,91.42,91.73
2023-01-23,91.34,91.83
2023-01-24,90.02,91.64
2023-01-25,88.26,89.87
2023-01-26,85.76,89.09
2023-01-27,83.27,88.31
2023-01-28,83.69,86.69
2023-01-29,84.11,85.08
2023-01-30,84.54,83.46
2023-01-31,88.31,84.98
2023-02-01,87.67,89.34
2023-02-02,90.51,87.67
2023-02-03,90.51,90.51
2023-02-04,90.25,90.67
2023-02-05,89.99,90.84
2023-02-06,89.73,91.0
2023-02-07,91.64,90.12
2023-02-08,92.52,92.03
2023-02-09,90.95,94.92
2023-02-10,91.83,91.34
2023-02-11,91.39,91.51
2023-02-12,90.95,91.67
2023-02-13,90.51,91.83
2023-02-14,90.02,90.76
2023-02-15,90.22,89.39
2023-02-16,90.46,90.46
2023-02-17,89.87,90.32
2023-02-18,89.53,90.28
2023-02-19,89.19,90.25
2023-02-20,88.85,90.22
2023-02-21,87.87,88.85
2023-02-22,86.84,87.57
2023-02-23,87.38,86.69
2023-02-24,87.43,87.82
2023-02-25,87.25,87.69
2023-02-26,87.07,87.56
2023-02-27,86.89,87.43
2023-02-28,87.13,87.18
2023-03-01,89.29,87.57
2023-03-02,89.43,89.29
2023-03-03,88.36,90.36
2023-03-04,89.45,89.87
2023-03-05,90.54,89.39
2023-03-06,91.64,88.9
2023-03-07,93.64,90.17
2023-03-08,95.65,91.44
2023-03-09,97.32,96.78
2023-03-10,97.27,96.58
2023-03-11,96.66,97.02
2023-03-12,96.06,97.46
2023-03-13,95.46,97.9
2023-03-14,96.78,96.24
2023-03-15,98.2,97.8
2023-03-16,99.62,98.1
2023-03-17,101.33,100.74
2023-03-18,101.0,100.81
2023-03-19,100.68,100.87
2023-03-20,100.35,100.94
2023-03-21,102.6,101.28
2023-03-22,102.7,103.19
2023-03-23,103.73,102.16
2023-03-24,99.76,103.68
2023-03-25,99.62,102.49
2023-03-26,99.47,101.3
2023-03-27,99.32,100.11
2023-03-28,100.64,98.59
2023-03-29,104.61,100.79
2023-03-30,104.24,102.77
2023-03-31,103.87,104.76
2023-04-01,104.15,104.74
2023-04-02,104.43,104.72
2023-04-03,104.71,104.71
2023-04-04,104.19,104.95
2023-04-05,103.68,105.2
2023-04-06,106.52,103.73
2023-04-07,106.21,104.44
2023-04-08,105.91,105.15
2023-04-09,105.6,105.86
2023-04-10,105.29,106.57
2023-04-11,105.34,105.39
2023-04-12,104.61,104.76
2023-04-13,105.25,104.07
2023-04-14,105.76,104.24
2023-04-15,106.27,104.41
2023-04-16,106.79,104.58
2023-04-17,107.3,104.76
2023-04-18,106.86,107.2
2023-04-19,107.11,107.5
2023-04-20,110.97,107.3
2023-04-21,111.12,111.61
2023-04-22,111.8,111.51
2023-04-23,112.49,111.41
2023-04-24,113.18,111.32
2023-04-25,115.62,113.37
2023-04-26,116.31,115.67
2023-04-27,113.76,115.92
2023-04-28,117.29,114.79
2023-04-29,117.97,115.68
2023-04-30,118.66,116.58
2023-05-01,119.34,117.47
2023-05-02,120.03,118.36
2023-05-03,120.47,120.08
2023-05-04,122.67,121.25
