Date,Open,Close
2019-12-02,48.57,50.24
2019-12-03,47.93,49.16
2019-12-04,46.74,46.84
2019-12-05,46.55,45.32
2019-12-06,46.4,49.16
2019-12-07,46.25,48.68
2019-12-08,46.1,48.21
2019-12-09,45.96,47.73
2019-12-10,43.79,45.51
2019-12-11,42.46,43.59
2019-12-12,42.66,44.08
2019-12-13,41.97,42.36
2019-12-14,42.34,42.28
2019-12-15,42.72,42.2
2019-12-16,43.1,42.11
2019-12-17,44.77,42.41
2019-12-18,45.07,44.73
2019-12-19,44.82,44.58
2019-12-20,43.94,45.61
2019-12-21,44.04,45.1
2019-12-22,44.13,44.59
2019-12-23,44.23,44.08
2019-12-24,44.04,43.99
2019-12-25,44.16,43.76
2019-12-26,44.28,43.54
2019-12-27,44.92,44.68
2019-12-28,44.77,44.71
2019-12-29,44.63,44.74
2019-12-30,44.48,44.77
2019-12-31,44.18,44.48
