Date,Open,Close
2023-01-01,295.23,305.73
2023-01-02,295.73,305.5
2023-01-03,293.41,296.51
2023-01-04,286.98,296.6
2023-01-05,291.77,290.32
2023-01-06,287.32,290.03
2023-01-07,287.61,290.67
2023-01-08,287.9,291.32
2023-01-09,288.19,291.96
2023-01-10,292.4,290.17
2023-01-11,288.0,291.14
2023-01-12,285.43,285.87
2023-01-13,299.65,293.6
2023-01-14,301.0,298.89
2023-01-15,302.36,304.18
2023-01-16,303.71,309.46
2023-01-17,307.92,300.66
2023-01-18,311.64,305.89
2023-01-19,313.86,307.63
2023-01-20,328.03,312.37
2023-01-21,320.84,319.46
2023-01-22,313.66,326.55
2023-01-23,306.47,333.64
2023-01-24,322.76,309.17
2023-01-25,323.34,325.32
2023-01-26,317.49,326.75
2023-01-27,311.64,328.18
2023-01-28,308.76,315.85
2023-01-29,305.87,303.52
2023-01-30,302.99,291.19
2023-01-31,294.52,303.86
2023-02-01,286.69,296.26
2023-02-02,275.86,285.29
2023-02-03,290.56,276.58
2023-02-04,290.11,282.0
2023-02-05,289.66,287.42
2023-02-06,289.2,292.83
2023-02-07,290.22,293.02
2023-02-08,289.59,287.13
2023-02-09,290.51,286.21
2023-02-10,289.2,292.44
2023-02-11,289.16,291.67
2023-02-12,289.11,290.9
2023-02-13,289.06,290.12
2023-02-14,289.59,288.58
2023-02-15,288.96,285.67
2023-02-16,290.36,289.74
2023-02-17,292.73,293.02
2023-02-18,291.51,292.35
2023-02-19,290.28,291.67
2023-02-20,289.06,290.99
2023-02-21,289.2,295.73
2023-02-22,283.45,286.21
2023-02-23,275.33,289.16
2023-02-24,265.95,281.13
2023-02-25,269.41,280.9
2023-02-26,272.88,280.68
2023-02-27,276.34,280.45
2023-02-28,272.81,276.87
2023-03-01,284.13,279.49
2023-03-02,280.6,293.02
2023-03-03,275.04,286.4
2023-03-04,272.68,283.34
2023-03-05,270.33,280.28
2023-03-06,267.98,277.21
2023-03-07,269.89,274.0
2023-03-08,271.8,270.78
2023-03-09,271.56,272.72
2023-03-10,271.41,267.78
2023-03-11,269.75,271.22
2023-03-12,268.09,274.65
2023-03-13,266.43,278.08
2023-03-14,266.48,271.8
2023-03-15,267.01,266.91
2023-03-16,262.66,268.65
2023-03-17,299.26,266.82
2023-03-18,296.41,276.52
2023-03-19,293.56,286.22
2023-03-20,290.7,295.93
2023-03-21,291.53,291.09
2023-03-22,292.06,291.57
2023-03-23,288.67,292.01
2023-03-24,287.08,287.08
2023-03-25,285.11,286.13
2023-03-26,283.14,285.18
2023-03-27,281.18,284.22
2023-03-28,277.7,281.52
2023-03-29,277.65,281.42
2023-03-30,278.25,283.5
2023-03-31,278.86,285.58
2023-04-01,278.81,285.22
2023-04-02,278.76,284.87
2023-04-03,278.71,284.51
2023-04-04,282.22,284.42
2023-04-05,285.72,284.32
2023-04-06,296.02,282.77
2023-04-07,303.41,286.06
2023-04-08,310.79,289.35
2023-04-09,318.18,292.64
2023-04-10,325.57,295.93
2023-04-11,321.89,324.94
2023-04-12,327.45,322.04
2023-04-13,323.49,330.74
2023-04-14,321.69,328.93
2023-04-15,319.89,327.11
2023-04-16,318.08,325.3
2023-04-17,316.28,323.49
2023-04-18,314.59,321.07
2023-04-19,321.36,320.05
2023-04-20,319.38,324.55
2023-04-21,316.52,327.84
2023-04-22,315.41,323.33
2023-04-23,314.3,318.81
2023-04-24,313.19,314.3
2023-04-25,316.38,314.01
2023-04-26,313.67,316.38
2023-04-27,320.92,310.48
2023-04-28,317.2,325.91
2023-04-29,316.02,322.52
2023-04-30,314.83,319.14
2023-05-01,313.65,315.75
2023-05-02,312.46,312.37
2023-05-03,313.14,317.06
2023-05-04,323.97,318.17
2023-05-05,315.17,323.97
2023-05-06,314.83,323.0
2023-05-07,314.49,322.04
2023-05-08,314.16,321.07
2023-05-09,317.01,320.44
2023-05-10,333.69,319.52
2023-05-11,338.77,335.48
2023-05-12,399.69,339.93
2023-05-13,395.52,354.92
2023-05-14,391.34,369.91
2023-05-15,387.17,384.9
2023-05-16,379.34,391.09
2023-05-17,379.19,377.16
2023-05-18,378.85,387.22
2023-05-19,375.85,382.96
2023-05-20,378.66,382.96
2023-05-21,381.46,382.96
2023-05-22,384.27,382.96
2023-05-23,386.49,386.78
2023-05-24,382.48,386.4
2023-05-25,442.24,382.48
2023-05-26,446.6,435.18
2023-05-27,445.66,441.63
2023-05-28,444.73,448.08
2023-05-29,443.79,454.53
2023-05-30,435.77,443.79
2023-05-31,444.95,430.35
2023-06-01,455.64,444.95
2023-06-02,498.43,459.36
2023-06-03,499.66,473.24
2023-06-04,500.88,487.12
2023-06-05,502.11,500.99
2023-06-06,498.67,502.11
2023-06-07,482.91,501.91
2023-06-08,475.22,480.15
2023-06-09,469.23,471.93
2023-06-10,475.69,471.03
2023-06-11,482.15,470.13
2023-06-12,488.62,469.23
2023-06-13,500.7,495.82
2023-06-14,490.21,499.5
2023-06-15,474.64,486.92
2023-06-16,487.5,470.97
2023-06-17,486.49,476.48
2023-06-18,485.47,481.99
2023-06-19,484.46,487.5
2023-06-20,480.69,486.58
2023-06-21,479.82,484.99
2023-06-22,473.48,484.51
2023-06-23,464.0,477.25
2023-06-24,465.55,474.74
2023-06-25,467.1,472.22
2023-06-26,468.65,469.71
2023-06-27,487.36,473.34
2023-06-28,502.06,490.31
2023-06-29,497.95,498.0
2023-06-30,493.84,505.68
2023-07-01,492.23,504.07
2023-07-02,490.61,502.46
2023-07-03,489.0,500.85
2023-07-04,479.91,495.14
2023-07-05,476.43,483.54
2023-07-06,472.51,479.62
2023-07-07,472.8,473.38
2023-07-08,472.59,474.5
2023-07-09,472.38,475.62
2023-07-10,472.17,476.74
2023-07-11,489.78,476.79
2023-07-12,553.96,497.23
2023-07-13,548.9,554.15
2023-07-14,554.49,554.73
2023-07-15,559.26,557.26
