Date,Open,Close
2020-01-01,5.3,5.15
2020-01-02,5.65,5.3
2020-01-03,5.65,5.5
2020-01-04,5.63,5.4
2020-01-05,5.62,5.3
2020-01-06,5.6,5.2
2020-01-07,5.6,5.4
2020-01-08,5.6,5.9
2020-01-09,5.75,5.6
2020-01-10,6.35,5.75
2020-01-11,6.62,5.87
2020-01-12,6.88,5.98
2020-01-13,7.15,6.1
2020-01-14,6.75,7.15
2020-01-15,6.45,6.6
2020-01-16,6.55,6.85
2020-01-17,6.5,6.55
2020-01-18,6.45,6.8
2020-01-19,6.4,7.05
2020-01-20,6.35,7.3
2020-01-21,6.4,6.5
2020-01-22,6.5,6.7
2020-01-23,7.6,6.8
2020-01-24,8.1,8.0
2020-01-25,8.1,8.12
2020-01-26,8.1,8.23
2020-01-27,8.1,8.35
2020-01-28,7.6,8.05
2020-01-29,7.6,7.95
2020-01-30,7.55,7.6
2020-01-31,7.25,7.5
2020-02-01,7.1,7.48
2020-02-02,6.95,7.47
2020-02-03,6.8,7.45
2020-02-04,7.65,6.8
2020-02-05,7.4,7.65
2020-02-06,7.15,7.85
2020-02-07,7.15,7.5
2020-02-08,7.12,7.38
2020-02-09,7.08,7.27
2020-02-10,7.05,7.15
2020-02-11,7.0,7.0
2020-02-12,6.8,7.3
2020-02-13,6.4,6.8
2020-02-14,6.95,6.8
2020-02-15,6.93,6.92
2020-02-16,6.92,7.03
2020-02-17,6.9,7.15
2020-02-18,6.6,6.65
2020-02-19,6.75,6.5
2020-02-20,6.55,6.8
2020-02-21,6.5,6.73
2020-02-22,6.45,6.65
2020-02-23,6.4,6.58
2020-02-24,6.35,6.5
2020-02-25,6.25,6.3
2020-02-26,6.2,6.2
2020-02-27,6.15,6.05
2020-02-28,5.8,6.3
2020-03-01,5.8,5.97
2020-03-02,5.8,5.8
2020-03-03,5.8,5.7
2020-03-04,5.6,5.7
2020-03-05,5.55,5.5
2020-03-06,5.65,5.4
2020-03-07,5.42,5.47
2020-03-08,5.18,5.53
2020-03-09,4.95,5.6
2020-03-10,5.2,5.27
2020-03-11,5.45,4.95
2020-03-12,4.4,4.6
2020-03-13,4.95,4.4
2020-03-14,4.9,4.67
2020-03-15,4.85,4.93
2020-03-16,4.8,5.2
2020-03-17,4.65,4.65
2020-03-18,4.25,4.55
2020-03-19,4.05,3.8
2020-03-20,4.15,3.85
2020-03-21,4.03,3.95
