Date,Open,Close
2023-01-01,26.75,26.98
2023-01-02,26.85,27.0
2023-01-03,26.2,26.85
2023-01-04,25.95,26.45
2023-01-05,25.5,25.95
2023-01-06,25.15,25.75
2023-01-07,25.08,25.63
2023-01-08,25.02,25.52
2023-01-09,24.95,25.4
2023-01-10,24.65,25.05
2023-01-11,24.7,24.85
2023-01-12,24.45,24.6
2023-01-13,24.8,24.6
2023-01-14,24.72,24.78
2023-01-15,24.63,24.97
2023-01-16,24.55,25.15
2023-01-17,24.6,24.75
2023-01-18,24.7,24.9
2023-01-19,24.95,24.95
2023-01-20,24.85,24.95
2023-01-21,25.15,25.0
2023-01-22,25.45,25.05
2023-01-23,25.75,25.1
2023-01-24,27.5,25.95
2023-01-25,26.15,27.7
2023-01-26,25.85,27.23
2023-01-27,25.55,26.75
2023-01-28,25.53,26.5
2023-01-29,25.52,26.25
2023-01-30,25.5,26.0
2023-01-31,26.05,25.8
2023-02-01,25.3,26.45
2023-02-02,25.85,25.05
2023-02-03,25.55,26.0
2023-02-04,25.63,25.8
2023-02-05,25.72,25.6
2023-02-06,25.8,25.4
2023-02-07,25.8,25.95
2023-02-08,25.65,26.1
2023-02-09,25.85,25.5
2023-02-10,25.95,25.85
2023-02-11,25.85,25.87
2023-02-12,25.75,25.88
2023-02-13,25.65,25.9
2023-02-14,25.05,25.95
2023-02-15,24.75,25.15
2023-02-16,24.25,24.75
2023-02-17,24.25,24.35
2023-02-18,24.25,24.32
2023-02-19,24.25,24.28
2023-02-20,24.25,24.25
2023-02-21,23.45,24.45
2023-02-22,22.1,23.45
2023-02-23,21.55,22.35
2023-02-24,20.6,21.85
2023-02-25,20.32,21.45
2023-02-26,20.03,21.05
2023-02-27,19.75,20.65
2023-02-28,19.25,19.7
2023-03-01,19.7,19.5
2023-03-02,19.2,19.7
2023-03-03,19.6,19.5
2023-03-04,19.68,19.6
2023-03-05,19.77,19.7
2023-03-06,19.85,19.8
2023-03-07,20.0,19.85
2023-03-08,20.15,19.9
2023-03-09,19.65,20.35
2023-03-10,19.6,19.9
2023-03-11,19.32,19.87
2023-03-12,19.03,19.83
2023-03-13,18.75,19.8
2023-03-14,18.1,19.0
2023-03-15,17.55,18.4
2023-03-16,17.05,17.6
2023-03-17,17.5,17.2
2023-03-18,17.43,17.33
2023-03-19,17.37,17.47
2023-03-20,17.3,17.6
2023-03-21,17.1,17.25
2023-03-22,17.3,17.3
2023-03-23,18.05,17.3
2023-03-24,18.25,18.05
2023-03-25,18.27,18.22
2023-03-26,18.28,18.38
2023-03-27,18.3,18.55
2023-03-28,18.2,18.15
2023-03-29,19.65,18.45
2023-03-30,19.82,19.05
2023-03-31,20.0,19.65
2023-04-01,20.12,19.88
2023-04-02,20.23,20.12
2023-04-03,20.35,20.35
2023-04-04,20.68,20.4
2023-04-05,21.0,20.45
2023-04-06,21.05,21.2
2023-04-07,21.05,21.24
2023-04-08,21.05,21.28
2023-04-09,21.05,21.31
2023-04-10,21.05,21.35
2023-04-11,21.25,20.85
2023-04-12,21.45,21.45
2023-04-13,21.35,21.65
2023-04-14,21.3,21.6
2023-04-15,21.25,21.55
2023-04-16,21.2,21.5
2023-04-17,21.15,21.45
2023-04-18,20.95,21.15
2023-04-19,20.8,20.95
2023-04-20,20.85,21.0
2023-04-21,21.35,21.1
2023-04-22,21.37,21.18
2023-04-23,21.38,21.27
2023-04-24,21.4,21.35
2023-04-25,21.95,21.5
2023-04-26,21.6,22.25
2023-04-27,21.85,21.8
2023-04-28,21.9,22.2
2023-04-29,21.87,22.2
2023-04-30,21.85,22.2
2023-05-01,21.82,22.2
2023-05-02,21.8,22.2
2023-05-03,22.25,21.95
2023-05-04,22.6,22.25
2023-05-05,22.3,23.0
2023-05-06,22.23,22.88
2023-05-07,22.17,22.77
2023-05-08,22.1,22.65
2023-05-09,21.8,22.4
2023-05-10,21.75,22.1
2023-05-11,21.85,21.85
2023-05-12,22.5,21.9
2023-05-13,22.53,22.12
2023-05-14,22.57,22.33
2023-05-15,22.6,22.55
2023-05-16,22.95,22.75
2023-05-17,22.95,23.0
2023-05-18,22.65,23.0
2023-05-19,22.5,22.9
2023-05-20,22.42,22.8
2023-05-21,22.33,22.7
2023-05-22,22.25,22.6
2023-05-23,22.25,22.1
2023-05-24,22.2,22.05
2023-05-25,22.2,22.5
2023-05-26,21.6,22.4
2023-05-27,21.55,22.12
2023-05-28,21.5,21.83
2023-05-29,21.45,21.55
2023-05-30,21.65,21.65
2023-05-31,21.15,21.85
2023-06-01,21.25,21.05
2023-06-02,21.45,21.3
2023-06-03,21.48,21.45
2023-06-04,21.52,21.6
2023-06-05,21.55,21.75
2023-06-06,21.5,21.55
2023-06-07,21.75,21.7
2023-06-08,21.95,21.9
2023-06-09,22.0,22.25
2023-06-10,22.03,22.17
2023-06-11,22.07,22.08
2023-06-12,22.1,22.0
2023-06-13,22.0,22.1
2023-06-14,21.85,22.25
2023-06-15,21.75,21.9
2023-06-16,22.05,21.95
2023-06-17,22.05,22.0
2023-06-18,22.05,22.05
2023-06-19,22.05,22.1
2023-06-20,22.0,22.2
2023-06-21,21.8,22.05
2023-06-22,21.65,22.0
2023-06-23,21.4,21.7
2023-06-24,21.6,21.6
2023-06-25,21.8,21.5
2023-06-26,22.0,21.4
2023-06-27,21.8,22.2
2023-06-28,21.8,22.1
2023-06-29,21.8,21.95
2023-06-30,21.8,21.8
2023-07-01,21.92,21.85
2023-07-02,22.03,21.9
2023-07-03,22.15,21.95
2023-07-04,22.75,22.25
2023-07-05,23.25,23.0
2023-07-06,24.05,23.5
2023-07-07,23.95,24.4
2023-07-08,23.93,24.37
2023-07-09,23.92,24.33
2023-07-10,23.9,24.3
2023-07-11,24.0,24.35
2023-07-12,23.7,24.25
2023-07-13,23.6,23.95
2023-07-14,23.35,23.45
2023-07-15,23.33,23.55
2023-07-16,23.32,23.65
2023-07-17,23.3,23.75
2023-07-18,23.3,23.3
2023-07-19,23.0,23.45
2023-07-20,22.95,23.4
2023-07-21,22.8,23.4
2023-07-22,22.83,23.35
2023-07-23,22.87,23.3
2023-07-24,22.9,23.25
2023-07-25,22.9,23.4
2023-07-26,22.9,23.3
2023-07-27,23.1,23.3
2023-07-28,23.5,23.4
2023-07-29,23.55,23.58
2023-07-30,23.6,23.77
2023-07-31,23.65,23.95
2023-08-01,23.85,23.65
2023-08-02,23.1,23.85
2023-08-03,22.9,23.4
2023-08-04,23.1,23.15
2023-08-05,23.05,23.25
2023-08-06,23.0,23.35
2023-08-07,22.95,23.45
2023-08-08,22.9,23.0
2023-08-09,22.95,23.0
2023-08-10,23.85,22.6
2023-08-11,24.85,24.2
2023-08-12,24.93,24.45
2023-08-13,25.02,24.7
2023-08-14,25.1,24.95
2023-08-15,25.28,25.03
2023-08-16,25.45,25.1
2023-08-17,26.55,25.5
2023-08-18,28.4,26.8
2023-08-19,28.83,27.57
2023-08-20,29.27,28.33
2023-08-21,29.7,29.1
2023-08-22,27.65,29.9
2023-08-23,27.55,27.75
2023-08-24,27.45,27.65
2023-08-25,27.25,27.6
2023-08-26,27.0,27.6
2023-08-27,26.75,27.6
2023-08-28,26.5,27.6
2023-08-29,26.0,26.8
2023-08-30,26.35,26.25
2023-08-31,26.4,26.8
2023-09-01,26.8,26.2
2023-09-02,26.47,26.45
2023-09-03,26.13,26.7
2023-09-04,25.8,26.95
2023-09-05,24.05,26.0
2023-09-06,23.55,24.4
2023-09-07,23.95,23.65
2023-09-08,24.8,24.3
2023-09-09,24.77,24.6
2023-09-10,24.73,24.9
2023-09-11,24.7,25.2
2023-09-12,23.65,24.9
2023-09-13,23.7,23.75
2023-09-14,24.35,24.0
2023-09-15,24.75,24.55
2023-09-16,24.7,24.65
2023-09-17,24.65,24.75
2023-09-18,24.6,24.85
2023-09-19,24.5,24.68
2023-09-20,24.4,24.5
2023-09-21,24.05,24.6
2023-09-22,24.55,24.2
2023-09-23,25.12,24.38
2023-09-24,25.68,24.57
2023-09-25,26.25,24.75
2023-09-26,25.65,26.4
2023-09-27,25.45,25.75
2023-09-28,25.05,25.7
2023-09-29,24.8,25.1
2023-09-30,24.77,25.0
2023-10-01,24.75,24.9
2023-10-02,24.73,24.8
2023-10-03,24.7,24.7
2023-10-04,24.65,24.55
2023-10-05,27.3,24.55
2023-10-06,27.2,27.75
2023-10-07,27.18,27.33
2023-10-08,27.17,26.92
2023-10-09,27.15,26.5
2023-10-10,27.05,27.15
2023-10-11,27.4,30.05
2023-10-12,27.15,27.4
2023-10-13,27.25,27.05
2023-10-14,27.73,27.15
2023-10-15,28.22,27.25
2023-10-16,28.7,27.35
2023-10-17,28.8,29.0
2023-10-18,28.05,29.0
2023-10-19,28.15,27.95
2023-10-20,27.35,28.3
2023-10-21,26.87,27.92
2023-10-22,26.38,27.53
2023-10-23,25.9,27.15
2023-10-24,25.4,26.52
2023-10-25,24.9,25.9
2023-10-26,24.9,24.6
2023-10-27,25.4,25.25
2023-10-28,25.32,25.27
2023-10-29,25.23,25.28
2023-10-30,25.15,25.3
2023-10-31,25.2,25.45
2023-11-01,25.1,25.0
2023-11-02,26.2,25.35
2023-11-03,26.2,26.25
2023-11-04,26.17,26.23
2023-11-05,26.13,26.22
2023-11-06,26.1,26.2
2023-11-07,25.8,26.1
2023-11-08,25.8,25.8
2023-11-09,25.65,25.9
2023-11-10,25.5,25.7
2023-11-11,25.6,25.88
2023-11-12,25.7,26.07
2023-11-13,25.8,26.25
2023-11-14,25.8,26.15
2023-11-15,25.8,26.05
2023-11-16,25.85,25.5
2023-11-17,25.75,26.3
2023-11-18,25.7,26.23
2023-11-19,25.65,26.17
2023-11-20,25.6,26.1
2023-11-21,25.4,26.0
2023-11-22,25.2,25.25
2023-11-23,25.75,25.25
2023-11-24,25.6,25.95
2023-11-25,25.48,25.94
2023-11-26,25.35,25.93
2023-11-27,25.23,25.91
2023-11-28,25.1,25.9
2023-11-29,24.9,25.45
2023-11-30,24.95,24.9
2023-12-01,24.95,25.4
2023-12-02,24.97,25.4
2023-12-03,24.98,25.4
2023-12-04,25.0,25.4
2023-12-05,25.4,25.45
2023-12-06,25.9,25.75
2023-12-07,26.0,25.9
2023-12-08,25.65,26.1
2023-12-09,25.85,25.98
2023-12-10,26.05,25.87
2023-12-11,26.25,25.75
2023-12-12,26.5,26.55
2023-12-13,26.6,26.75
2023-12-14,26.25,26.85
2023-12-15,26.35,26.4
2023-12-16,26.33,26.37
2023-12-17,26.32,26.33
2023-12-18,26.3,26.3
2023-12-19,26.2,26.35
2023-12-20,25.0,26.5
2023-12-21,25.25,24.9
2023-12-22,25.25,25.5
2023-12-23,25.39,25.46
2023-12-24,25.52,25.43
2023-12-25,25.66,25.39
2023-12-26,25.8,25.35
2023-12-27,26.15,26.15
2023-12-28,26.6,26.35
2023-12-29,26.1,26.6
2023-12-30,26.35,26.47
2023-12-31,26.6,26.33
