Date,Open,Close
2022-01-01,106.97,107.96
2022-01-02,106.57,108.02
2022-01-03,106.18,108.08
2022-01-04,105.16,106.24
2022-01-05,104.18,105.16
2022-01-06,104.03,103.5
2022-01-07,104.78,103.94
2022-01-08,106.02,104.48
2022-01-09,107.26,105.02
2022-01-10,108.5,105.56
2022-01-11,109.12,108.94
2022-01-12,109.36,108.94
2022-01-13,108.28,109.25
2022-01-14,107.33,107.9
2022-01-15,108.68,108.09
2022-01-16,110.03,108.27
2022-01-17,111.38,108.46
2022-01-18,108.35,111.78
2022-01-19,109.03,108.68
2022-01-20,104.38,109.03
2022-01-21,103.21,104.03
2022-01-22,102.67,105.12
2022-01-23,102.13,106.21
2022-01-24,101.59,107.3
2022-01-25,103.74,101.26
2022-01-26,103.52,102.5
2022-01-27,103.3,103.74
2022-01-28,102.9,105.07
2022-01-29,103.66,104.94
2022-01-30,104.42,104.82
2022-01-31,105.18,104.69
2022-02-01,106.57,106.29
2022-02-02,105.73,106.96
2022-02-03,105.83,105.43
2022-02-04,104.81,106.59
2022-02-05,105.12,106.03
2022-02-06,105.43,105.46
2022-02-07,105.73,104.9
2022-02-08,104.53,105.83
2022-02-09,103.63,105.32
2022-02-10,104.69,104.9
2022-02-11,103.79,103.98
2022-02-12,102.36,103.39
2022-02-13,100.93,102.81
2022-02-14,99.5,102.22
2022-02-15,100.95,99.5
2022-02-16,101.39,101.53
2022-02-17,99.63,101.99
2022-02-18,97.88,99.63
2022-02-19,96.44,98.93
2022-02-20,95.0,98.22
2022-02-21,93.56,97.51
2022-02-22,90.41,92.43
2022-02-23,91.25,91.27
2022-02-24,82.95,89.65
2022-02-25,86.83,87.34
2022-02-26,87.46,87.0
2022-02-27,88.08,86.66
2022-02-28,88.71,86.33
2022-03-01,89.44,87.06
2022-03-02,90.18,87.8
2022-03-03,92.26,91.41
2022-03-04,89.49,91.45
2022-03-05,88.58,89.78
2022-03-06,87.67,88.1
2022-03-07,86.76,86.42
2022-03-08,88.91,87.2
2022-03-09,90.53,89.65
2022-03-10,93.26,92.52
2022-03-11,92.82,93.12
2022-03-12,92.3,93.15
2022-03-13,91.79,93.18
2022-03-14,91.27,93.21
2022-03-15,92.22,91.62
2022-03-16,94.87,94.97
2022-03-17,96.91,95.66
2022-03-18,97.74,96.1
2022-03-19,98.57,96.54
2022-03-20,99.4,96.98
2022-03-21,100.24,97.42
2022-03-22,101.81,101.53
2022-03-23,104.16,102.13
2022-03-24,104.58,104.16
2022-03-25,104.83,104.9
2022-03-26,104.75,105.01
2022-03-27,104.66,105.12
2022-03-28,104.58,105.23
2022-03-29,103.98,105.36
2022-03-30,105.64,104.95
2022-03-31,105.69,106.24
2022-04-01,105.2,106.29
2022-04-02,105.69,106.32
2022-04-03,106.17,106.35
2022-04-04,106.66,106.38
2022-04-05,107.65,107.12
2022-04-06,108.39,107.17
2022-04-07,104.3,109.02
2022-04-08,110.73,105.36
2022-04-09,113.73,107.35
2022-04-10,116.73,109.34
2022-04-11,119.74,111.33
2022-04-12,121.4,120.06
2022-04-13,115.72,121.08
2022-04-14,114.34,119.73
2022-04-15,112.96,118.38
2022-04-16,111.58,117.03
2022-04-17,110.21,115.68
2022-04-18,108.83,114.33
2022-04-19,104.35,109.99
2022-04-20,103.61,104.35
2022-04-21,110.36,104.9
2022-04-22,109.25,110.45
2022-04-23,107.98,109.65
2022-04-24,106.72,108.85
2022-04-25,105.46,108.05
2022-04-26,104.63,106.24
2022-04-27,103.15,104.16
2022-04-28,103.19,103.52
2022-04-29,102.41,103.98
2022-04-30,101.67,103.21
2022-05-01,100.93,102.44
2022-05-02,100.19,101.67
2022-05-03,99.93,101.48
2022-05-04,99.68,101.3
2022-05-05,98.85,100.74
2022-05-06,99.08,97.05
2022-05-07,98.4,96.43
2022-05-08,97.72,95.81
2022-05-09,97.05,95.2
2022-05-10,93.77,96.17
2022-05-11,92.7,93.77
2022-05-12,92.06,92.7
2022-05-13,96.31,93.95
2022-05-14,97.15,95.18
2022-05-15,98.0,96.41
2022-05-16,98.85,97.65
2022-05-17,97.28,98.85
2022-05-18,99.36,98.9
2022-05-19,100.51,96.12
2022-05-20,105.0,102.5
2022-05-21,104.53,103.24
2022-05-22,104.07,103.98
2022-05-23,103.61,104.72
2022-05-24,103.98,103.52
2022-05-25,98.62,104.3
2022-05-26,98.9,98.62
2022-05-27,98.94,99.82
2022-05-28,99.45,99.59
2022-05-29,99.96,99.36
2022-05-30,100.47,99.13
2022-05-31,97.55,100.65
2022-06-01,100.0,97.55
2022-06-02,99.68,99.17
2022-06-03,98.57,100.84
2022-06-04,98.36,99.99
2022-06-05,98.14,99.14
2022-06-06,97.92,98.29
2022-06-07,97.55,97.28
2022-06-08,96.77,96.45
2022-06-09,95.84,95.8
2022-06-10,94.64,94.97
2022-06-11,93.86,94.12
2022-06-12,93.07,93.27
2022-06-13,92.29,92.43
2022-06-14,93.4,92.43
2022-06-15,95.61,93.4
2022-06-16,93.26,96.49
2022-06-17,96.12,92.43
2022-06-18,95.18,93.87
2022-06-19,94.24,95.32
2022-06-20,93.3,96.77
2022-06-21,93.53,93.21
2022-06-22,95.8,93.12
2022-06-23,97.23,96.12
2022-06-24,97.23,98.85
2022-06-25,97.23,99.17
2022-06-26,97.23,99.5
2022-06-27,97.23,99.82
2022-06-28,97.51,95.84
2022-06-29,97.83,97.0
2022-06-30,96.82,97.88
2022-07-01,96.12,96.12
2022-07-02,96.11,96.4
2022-07-03,96.09,96.68
2022-07-04,96.08,96.95
2022-07-05,97.05,96.12
2022-07-06,96.95,97.92
2022-07-07,96.45,98.16
2022-07-08,97.28,97.05
2022-07-09,100.27,97.05
2022-07-10,103.25,97.05
2022-07-11,106.24,97.05
2022-07-12,105.6,105.6
2022-07-13,106.38,105.5
2022-07-14,102.64,106.47
2022-07-15,101.44,103.38
2022-07-16,101.7,103.05
2022-07-17,101.96,102.73
2022-07-18,102.22,102.41
2022-07-19,108.88,104.07
2022-07-20,110.91,109.8
2022-07-21,112.34,110.08
2022-07-22,107.21,112.9
2022-07-23,108.91,111.31
2022-07-24,110.6,109.72
2022-07-25,112.3,108.14
2022-07-26,111.05,112.76
2022-07-27,115.07,110.45
2022-07-28,113.5,113.96
2022-07-29,112.9,114.42
2022-07-30,113.64,114.01
2022-07-31,114.38,113.59
2022-08-01,115.12,113.17
2022-08-02,115.76,113.27
2022-08-03,112.71,115.53
2022-08-04,113.22,113.41
2022-08-05,114.84,113.27
2022-08-06,114.45,113.99
2022-08-07,114.07,114.72
2022-08-08,113.68,115.44
2022-08-09,113.04,113.87
2022-08-10,112.39,112.3
2022-08-11,111.37,112.67
2022-08-12,114.88,111.83
2022-08-13,115.81,112.96
2022-08-14,116.73,114.08
2022-08-15,117.66,115.2
2022-08-16,118.58,116.32
2022-08-17,118.3,119.41
2022-08-18,117.01,118.49
2022-08-19,115.07,117.47
2022-08-20,114.48,116.67
2022-08-21,113.9,115.87
2022-08-22,113.31,115.07
2022-08-23,113.17,112.76
2022-08-24,115.21,114.84
2022-08-25,114.93,116.46
2022-08-26,116.46,115.53
2022-08-27,117.58,115.07
2022-08-28,118.7,114.61
2022-08-29,119.83,114.15
2022-08-30,127.08,121.31
2022-08-31,128.38,123.97
2022-09-01,129.67,126.62
2022-09-02,131.15,131.06
2022-09-03,131.94,131.64
2022-09-04,132.72,132.23
2022-09-05,133.51,132.82
2022-09-06,131.52,134.89
2022-09-07,130.23,130.32
2022-09-08,131.52,131.52
2022-09-09,129.3,132.45
2022-09-10,129.52,131.8
2022-09-11,129.73,131.15
2022-09-12,129.95,130.5
2022-09-13,129.63,130.6
2022-09-14,130.55,126.81
2022-09-15,137.21,131.24
2022-09-16,136.74,138.41
2022-09-17,135.37,137.87
2022-09-18,134.0,137.33
2022-09-19,132.63,136.79
2022-09-20,132.91,133.69
2022-09-21,125.61,132.91
2022-09-22,124.73,123.99
2022-09-23,120.2,124.59
2022-09-24,119.03,122.49
2022-09-25,117.86,120.4
2022-09-26,116.69,118.3
2022-09-27,120.85,118.03
2022-09-28,118.44,120.15
2022-09-29,117.56,120.43
2022-09-30,118.72,117.84
2022-10-01,117.55,118.55
2022-10-02,116.38,119.26
2022-10-03,115.21,119.97
2022-10-04,117.93,117.29
2022-10-05,119.64,118.21
2022-10-06,121.35,119.14
2022-10-07,124.77,122.0
2022-10-08,123.99,122.42
2022-10-09,123.2,122.83
2022-10-10,122.42,123.25
2022-10-11,126.02,123.06
2022-10-12,124.08,127.04
2022-10-13,126.16,123.66
2022-10-14,128.1,128.01
2022-10-15,128.29,127.79
2022-10-16,128.47,127.58
2022-10-17,128.66,127.36
2022-10-18,129.81,128.93
2022-10-19,127.78,130.5
2022-10-20,128.61,126.99
2022-10-21,126.53,129.3
2022-10-22,127.28,128.46
2022-10-23,128.04,127.61
2022-10-24,128.79,126.76
2022-10-25,129.77,130.78
2022-10-26,124.45,129.4
2022-10-27,119.14,128.01
2022-10-28,119.97,119.92
2022-10-29,119.15,120.14
2022-10-30,118.34,120.35
2022-10-31,117.52,120.57
2022-11-01,116.27,117.8
2022-11-02,116.13,116.27
2022-11-03,115.3,116.18
2022-11-04,119.41,115.86
2022-11-05,119.91,117.23
2022-11-06,120.4,118.6
2022-11-07,120.89,119.97
2022-11-08,119.94,120.89
2022-11-09,119.0,121.82
2022-11-10,115.72,119.23
2022-11-11,119.32,116.55
2022-11-12,119.61,117.67
2022-11-13,119.91,118.8
2022-11-14,120.2,119.92
2022-11-15,119.27,120.52
2022-11-16,123.48,119.27
2022-11-17,124.87,123.85
2022-11-18,123.11,125.19
2022-11-19,123.14,124.42
2022-11-20,123.17,123.65
2022-11-21,123.2,122.88
2022-11-22,122.74,123.66
2022-11-23,125.7,123.39
2022-11-24,125.33,126.62
2022-11-25,126.02,125.33
2022-11-26,126.41,125.14
2022-11-27,126.79,124.96
2022-11-28,127.18,124.77
2022-11-29,128.06,128.01
2022-11-30,131.34,127.96
2022-12-01,131.84,132.17
2022-12-02,131.15,132.54
2022-12-03,130.5,132.31
2022-12-04,129.86,132.08
2022-12-05,129.21,131.84
2022-12-06,127.64,129.12
2022-12-07,127.36,127.64
2022-12-08,125.51,127.27
2022-12-09,123.2,125.51
2022-12-10,122.29,124.74
2022-12-11,121.39,123.97
2022-12-12,120.48,123.2
2022-12-13,122.05,121.08
2022-12-14,126.72,122.37
2022-12-15,128.93,127.08
2022-12-16,126.02,128.42
2022-12-17,126.44,127.82
2022-12-18,126.85,127.22
2022-12-19,127.27,126.62
2022-12-20,128.29,127.04
2022-12-21,121.68,128.89
2022-12-22,118.12,122.19
2022-12-23,113.45,117.15
2022-12-24,114.68,115.41
2022-12-25,115.92,113.67
2022-12-26,117.15,111.93
2022-12-27,119.83,117.98
2022-12-28,119.04,118.77
2022-12-29,120.66,119.14
2022-12-30,119.83,121.08
2022-12-31,120.58,120.82
