Date,Open,Close
2024-01-01,43.65,42.35
2024-01-02,44.25,43.95
2024-01-03,43.75,44.6
2024-01-04,44.7,43.8
2024-01-05,43.45,44.9
2024-01-06,43.18,44.53
2024-01-07,42.92,44.17
2024-01-08,42.65,43.8
2024-01-09,43.0,44.2
2024-01-10,43.3,43.1
2024-01-11,44.35,43.55
2024-01-12,43.7,44.65
2024-01-13,43.48,44.43
2024-01-14,43.27,44.22
2024-01-15,43.05,44.0
2024-01-16,43.35,43.1
2024-01-17,44.25,42.85
2024-01-18,45.0,44.25
2024-01-19,47.25,45.5
2024-01-20,47.62,47.88
2024-01-21,48.0,50.25
2024-01-22,48.38,52.62
2024-01-23,48.75,55.0
2024-01-24,53.75,48.85
2024-01-25,55.4,55.0
2024-01-26,57.24,55.35
2024-01-27,59.08,55.7
2024-01-28,60.91,56.05
2024-01-29,62.75,56.4
2024-01-30,62.15,66.0
2024-01-31,62.2,62.45
2024-02-01,59.3,61.35
2024-02-02,58.45,59.9
2024-02-03,57.48,59.43
2024-02-04,56.52,58.97
2024-02-05,55.55,58.5
2024-02-06,57.1,52.8
2024-02-07,54.25,58.25
2024-02-08,51.55,54.2
2024-02-09,49.65,51.55
2024-02-10,48.83,50.28
2024-02-11,48.02,49.02
2024-02-12,47.2,47.75
2024-02-13,47.15,44.85
2024-02-14,48.3,45.0
2024-02-15,48.75,48.85
2024-02-16,49.55,49.75
2024-02-17,48.98,49.68
2024-02-18,48.42,49.62
2024-02-19,47.85,49.55
2024-02-20,46.85,47.95
2024-02-21,45.0,46.85
2024-02-22,43.9,45.4
2024-02-23,46.05,44.4
2024-02-24,46.82,45.37
2024-02-25,47.58,46.33
2024-02-26,48.35,47.3
2024-02-27,45.95,49.0
2024-02-28,44.0,45.95
2024-03-01,44.75,45.4
2024-03-02,44.3,45.48
2024-03-03,43.85,45.57
2024-03-04,43.4,45.65
2024-03-05,42.25,43.4
2024-03-06,41.55,40.5
2024-03-07,41.7,42.1
2024-03-08,41.2,41.99
2024-03-09,40.7,41.88
2024-03-10,40.2,41.76
2024-03-11,39.7,41.65
2024-03-12,37.75,40.0
2024-03-13,35.9,37.2
2024-03-14,35.9,34.1
2024-03-15,34.15,35.95
2024-03-16,33.95,35.6
2024-03-17,33.75,35.25
2024-03-18,33.55,34.9
2024-03-19,33.1,33.45
2024-03-20,33.4,33.3
2024-03-21,35.05,33.85
2024-03-22,36.8,36.6
2024-03-23,37.25,36.82
2024-03-24,37.7,37.05
2024-03-25,38.15,37.27
2024-03-26,38.6,37.5
2024-03-27,38.85,40.5
2024-03-28,40.0,39.0
2024-03-29,40.2,39.62
2024-03-30,40.4,40.25
2024-03-31,40.6,40.88
2024-04-01,40.8,41.5
2024-04-02,40.9,41.35
2024-04-03,42.25,40.15
2024-04-04,42.6,43.35
2024-04-05,43.0,42.5
2024-04-06,42.78,42.83
2024-04-07,42.57,43.17
2024-04-08,42.35,43.5
2024-04-09,41.35,42.95
2024-04-10,41.35,41.3
2024-04-11,40.82,41.57
2024-04-12,40.3,41.85
2024-04-13,39.9,40.75
2024-04-14,39.5,39.65
2024-04-15,39.1,38.55
2024-04-16,39.8,38.5
2024-04-17,39.27,39.1
2024-04-18,38.75,39.7
2024-04-19,39.5,37.9
2024-04-20,40.08,38.8
2024-04-21,40.67,39.7
2024-04-22,41.25,40.6
2024-04-23,40.55,41.45
2024-04-24,40.4,40.7
2024-04-25,40.2,40.65
2024-04-26,40.2,40.5
2024-04-27,40.7,40.63
