Date,Open,Close
2022-01-01,49.23,49.07
2022-01-02,51.52,48.03
2022-01-03,53.8,47.0
2022-01-04,50.75,54.2
2022-01-05,48.15,50.75
2022-01-06,49.25,47.2
2022-01-07,53.25,51.2
2022-01-08,54.05,52.0
2022-01-09,54.85,52.8
2022-01-10,55.65,53.6
2022-01-11,53.1,56.0
2022-01-12,49.85,53.45
2022-01-13,50.3,50.3
2022-01-14,50.0,50.3
2022-01-15,50.45,50.33
2022-01-16,50.9,50.37
2022-01-17,51.35,50.4
2022-01-18,49.0,51.95
2022-01-19,49.85,48.7
2022-01-20,48.55,50.3
2022-01-21,45.45,48.0
2022-01-22,44.37,47.23
2022-01-23,43.28,46.47
2022-01-24,42.2,45.7
2022-01-25,45.15,41.7
2022-01-26,45.75,43.55
2022-01-27,46.35,45.4
2022-01-28,45.8,47.7
2022-01-29,45.93,47.43
2022-01-30,46.07,47.17
2022-01-31,46.2,46.9
2022-02-01,45.6,46.7
2022-02-02,45.8,46.7
2022-02-03,46.9,45.9
2022-02-04,47.5,47.65
2022-02-05,45.55,47.88
2022-02-06,43.6,48.12
2022-02-07,41.65,48.35
2022-02-08,41.2,39.75
2022-02-09,42.75,42.1
2022-02-10,44.0,43.1
2022-02-11,43.2,43.5
2022-02-12,42.15,43.17
2022-02-13,41.1,42.83
2022-02-14,40.05,42.5
2022-02-15,40.9,40.0
2022-02-16,42.75,41.75
2022-02-17,42.1,43.25
2022-02-18,40.95,42.55
2022-02-19,40.15,41.73
2022-02-20,39.35,40.92
2022-02-21,38.55,40.1
2022-02-22,36.8,38.0
2022-02-23,38.1,39.5
2022-02-24,33.95,37.7
2022-02-25,37.85,35.1
2022-02-26,38.72,35.9
2022-02-27,39.58,36.7
2022-02-28,40.45,37.5
2022-03-01,40.12,39.1
2022-03-02,39.8,40.7
2022-03-03,39.45,41.6
2022-03-04,38.85,39.25
2022-03-05,38.52,38.6
2022-03-06,38.18,37.95
2022-03-07,37.85,37.3
2022-03-08,38.9,38.25
2022-03-09,39.1,39.35
2022-03-10,40.45,40.7
2022-03-11,41.15,41.3
2022-03-12,40.87,41.35
2022-03-13,40.58,41.4
2022-03-14,40.3,41.45
2022-03-15,38.85,40.8
2022-03-16,40.3,39.4
2022-03-17,40.25,41.15
2022-03-18,40.76,41.1
2022-03-19,41.27,41.05
2022-03-20,41.79,41.0
2022-03-21,42.3,40.95
2022-03-22,41.25,42.45
2022-03-23,41.05,41.8
2022-03-24,39.95,41.8
2022-03-25,40.8,41.0
2022-03-26,40.47,41.0
2022-03-27,40.13,41.0
2022-03-28,39.8,41.0
2022-03-29,38.65,40.6
2022-03-30,38.3,39.0
2022-03-31,38.75,39.7
2022-04-01,40.55,39.4
2022-04-02,40.77,40.08
2022-04-03,40.98,40.77
2022-04-04,41.2,41.45
2022-04-05,43.15,41.95
2022-04-06,44.1,43.9
2022-04-07,43.1,43.6
2022-04-08,44.15,43.95
2022-04-09,44.02,44.02
2022-04-10,43.88,44.08
2022-04-11,43.75,44.15
2022-04-12,43.45,44.6
2022-04-13,44.9,43.75
2022-04-14,45.23,44.6
2022-04-15,45.56,45.45
2022-04-16,45.89,46.3
2022-04-17,46.22,47.15
2022-04-18,46.55,48.0
2022-04-19,45.4,47.45
2022-04-20,43.8,46.4
2022-04-21,44.45,44.0
2022-04-22,44.15,45.85
2022-04-23,43.93,45.03
2022-04-24,43.72,44.22
2022-04-25,43.5,43.4
2022-04-26,44.8,43.65
2022-04-27,42.3,44.75
2022-04-28,43.4,44.9
2022-04-29,42.05,44.3
2022-04-30,41.98,43.23
2022-05-01,41.92,42.17
2022-05-02,41.85,41.1
2022-05-03,41.07,42.05
2022-05-04,40.3,43.0
2022-05-05,39.65,41.9
2022-05-06,38.85,39.95
2022-05-07,38.5,39.58
2022-05-08,38.15,39.22
2022-05-09,37.8,38.85
2022-05-10,39.35,38.75
2022-05-11,36.05,40.45
2022-05-12,34.9,36.05
2022-05-13,35.55,35.75
2022-05-14,36.42,36.08
2022-05-15,37.28,36.42
2022-05-16,38.15,36.75
2022-05-17,39.7,38.15
2022-05-18,40.9,40.8
2022-05-19,36.6,38.15
2022-05-20,37.1,38.4
2022-05-21,36.77,37.97
2022-05-22,36.43,37.53
2022-05-23,36.1,37.1
2022-05-24,36.3,36.75
2022-05-25,34.35,37.2
2022-05-26,35.05,34.75
2022-05-27,34.25,35.75
2022-05-28,34.52,35.47
2022-05-29,34.78,35.18
2022-05-30,35.05,34.9
2022-05-31,36.3,35.7
2022-06-01,36.15,36.6
2022-06-02,35.95,36.05
2022-06-03,36.1,36.0
2022-06-04,35.97,36.22
2022-06-05,35.83,36.43
2022-06-06,35.7,36.65
2022-06-07,35.8,36.4
2022-06-08,36.15,35.25
2022-06-09,35.9,36.8
2022-06-10,35.3,35.85
2022-06-11,35.17,35.83
2022-06-12,35.03,35.82
2022-06-13,34.9,35.8
2022-06-14,34.9,35.55
2022-06-15,34.75,34.25
2022-06-16,33.35,35.45
2022-06-17,32.05,33.35
2022-06-18,31.58,32.92
2022-06-19,31.12,32.48
2022-06-20,30.65,32.05
2022-06-21,32.4,30.05
2022-06-22,31.75,33.55
2022-06-23,32.35,31.5
2022-06-24,32.25,33.0
2022-06-25,32.33,32.95
2022-06-26,32.42,32.9
2022-06-27,32.5,32.85
2022-06-28,31.85,33.0
2022-06-29,32.2,32.05
2022-06-30,32.05,32.25
2022-07-01,31.9,32.8
2022-07-02,32.17,32.67
2022-07-03,32.43,32.53
2022-07-04,32.7,32.4
2022-07-05,32.15,33.3
2022-07-06,32.4,32.7
2022-07-07,32.3,32.7
2022-07-08,32.35,33.95
2022-07-09,32.27,33.42
2022-07-10,32.18,32.88
2022-07-11,32.1,32.35
2022-07-12,32.3,32.45
2022-07-13,33.25,32.65
2022-07-14,32.3,33.75
2022-07-15,32.6,32.7
