Date,Open,Close
2020-05-22,36.77,38.74
2020-05-23,36.42,38.62
2020-05-24,36.07,38.5
2020-05-25,35.72,38.38
2020-05-26,35.37,38.26
2020-05-27,34.3,35.31
2020-05-28,35.7,35.4
2020-05-29,36.5,35.7
2020-05-30,36.96,36.1
2020-05-31,37.42,36.49
2020-06-01,37.87,36.89
2020-06-02,40.67,38.22
2020-06-03,42.43,43.79
2020-06-04,41.94,42.6
2020-06-05,43.44,41.43
2020-06-06,43.72,42.21
2020-06-07,44.0,43.0
2020-06-08,44.28,43.79
2020-06-09,43.17,44.38
2020-06-10,45.04,43.17
2020-06-11,43.27,45.37
2020-06-12,42.53,39.95
2020-06-13,42.48,40.7
2020-06-14,42.44,41.46
2020-06-15,42.39,42.21
2020-06-16,43.01,42.23
2020-06-17,42.41,43.39
2020-06-18,42.35,42.02
2020-06-19,43.59,43.0
2020-06-20,43.74,43.92
2020-06-21,43.88,44.84
2020-06-22,44.03,45.76
2020-06-23,43.78,44.38
2020-06-24,42.69,43.6
2020-06-25,42.04,43.4
2020-06-26,43.03,43.19
2020-06-27,42.74,42.93
2020-06-28,42.44,42.67
2020-06-29,42.15,42.41
2020-06-30,42.75,44.36
2020-07-01,44.01,42.32
2020-07-02,44.04,43.99
2020-07-03,48.87,45.27
2020-07-04,49.74,46.82
2020-07-05,50.61,48.36
2020-07-06,51.49,49.91
2020-07-07,53.11,54.51
2020-07-08,52.77,54.63
2020-07-09,51.51,54.62
2020-07-10,50.58,51.29
2020-07-11,49.55,51.05
2020-07-12,48.53,50.81
2020-07-13,47.5,50.58
2020-07-14,46.7,47.5
2020-07-15,51.25,48.13
2020-07-16,48.42,49.73
2020-07-17,49.29,49.28
2020-07-18,49.27,49.55
2020-07-19,49.25,49.83
2020-07-20,49.24,50.1
2020-07-21,50.7,49.33
2020-07-22,49.38,49.51
2020-07-23,49.54,49.94
2020-07-24,51.97,50.3
2020-07-25,51.85,50.8
2020-07-26,51.74,51.29
2020-07-27,51.62,51.78
2020-07-28,50.93,52.48
2020-07-29,51.82,51.97
2020-07-30,50.43,51.32
2020-07-31,49.06,50.3
2020-08-01,48.78,49.98
2020-08-02,48.49,49.65
2020-08-03,48.21,49.33
2020-08-04,49.31,47.16
2020-08-05,50.55,49.92
2020-08-06,49.5,51.29
2020-08-07,51.37,49.7
2020-08-08,53.34,50.88
2020-08-09,55.31,52.06
2020-08-10,57.28,53.24
2020-08-11,57.74,61.11
2020-08-12,58.08,58.97
2020-08-13,60.44,59.18
2020-08-14,57.72,60.16
2020-08-15,58.39,59.83
2020-08-16,59.06,59.5
2020-08-17,59.73,59.17
