Date,Open,Close
2025-01-01,89.78,90.95
2025-01-02,91.16,90.0
2025-01-03,89.75,91.12
2025-01-04,88.68,90.66
2025-01-05,87.62,90.21
2025-01-06,86.55,89.75
2025-01-07,90.63,86.96
2025-01-08,88.88,90.25
2025-01-09,87.03,88.95
2025-01-10,87.46,86.84
2025-01-11,86.02,86.26
2025-01-12,84.57,85.68
2025-01-13,83.13,85.1
2025-01-14,85.22,83.21
2025-01-15,84.94,85.22
2025-01-16,85.15,86.9
2025-01-17,86.57,84.9
2025-01-18,87.7,85.66
2025-01-19,88.84,86.43
2025-01-20,89.97,87.19
2025-01-21,89.17,90.09
2025-01-22,89.73,90.0
2025-01-23,89.55,89.75
2025-01-24,88.16,89.55
2025-01-25,87.35,88.96
2025-01-26,86.55,88.36
2025-01-27,85.74,87.77
2025-01-28,84.13,86.5
2025-01-29,85.66,84.96
2025-01-30,85.1,85.76
2025-01-31,85.25,85.04
2025-02-01,85.62,85.25
2025-02-02,85.32,85.56
2025-02-03,85.02,85.88
2025-02-04,84.83,85.44
2025-02-05,83.55,84.94
2025-02-06,84.99,83.52
2025-02-07,83.49,85.15
2025-02-08,83.12,84.6
2025-02-09,82.76,84.05
2025-02-10,82.39,83.5
2025-02-11,81.43,82.1
2025-02-12,84.64,80.05
2025-02-13,84.92,84.0
2025-02-14,82.41,84.95
2025-02-15,81.88,83.5
2025-02-16,81.34,82.05
2025-02-17,80.81,80.6
2025-02-18,81.5,81.2
2025-02-19,84.12,81.5
2025-02-20,85.41,82.5
2025-02-21,87.05,85.3
2025-02-22,86.88,85.87
2025-02-23,86.7,86.43
2025-02-24,86.53,87.0
2025-02-25,87.56,87.84
2025-02-26,87.17,87.64
2025-02-27,86.79,87.45
2025-02-28,88.27,85.5
2025-03-01,87.47,86.42
2025-03-02,86.67,87.35
2025-03-03,85.87,88.27
2025-03-04,85.85,87.39
2025-03-05,86.65,87.0
2025-03-06,87.08,87.07
2025-03-07,86.6,87.08
2025-03-08,86.5,87.09
2025-03-09,86.39,87.09
2025-03-10,86.29,87.1
2025-03-11,85.05,86.05
2025-03-12,83.71,85.0
2025-03-13,83.32,83.95
2025-03-14,83.15,83.79
2025-03-15,82.99,83.63
2025-03-16,82.82,83.48
2025-03-17,82.65,83.32
2025-03-18,84.16,82.65
2025-03-19,84.52,84.96
2025-03-20,83.64,85.0
2025-03-21,87.98,84.9
2025-03-22,88.42,86.35
2025-03-23,88.87,87.8
2025-03-24,89.31,89.25
2025-03-25,90.08,89.74
2025-03-26,88.47,90.04
2025-03-27,89.25,88.01
2025-03-28,88.24,89.9
2025-03-29,88.64,89.29
2025-03-30,89.03,88.68
2025-03-31,89.43,88.07
2025-04-01,89.83,87.46
2025-04-02,92.76,91.0
2025-04-03,92.86,92.69
2025-04-04,92.95,92.85
2025-04-05,91.58,89.23
2025-04-06,90.22,85.62
2025-04-07,88.85,82.0
2025-04-08,88.89,90.0
2025-04-09,86.91,88.89
2025-04-10,88.29,88.35
2025-04-11,89.67,87.8
2025-04-12,90.73,88.28
2025-04-13,91.79,88.75
2025-04-14,92.85,89.22
2025-04-15,93.91,89.7
2025-04-16,98.33,94.36
2025-04-17,97.67,98.39
2025-04-18,98.64,98.59
2025-04-19,99.6,98.79
2025-04-20,100.57,99.0
2025-04-21,101.54,99.2
2025-04-22,104.28,102.0
2025-04-23,108.26,104.9
2025-04-24,107.41,108.0
2025-04-25,106.15,107.5
2025-04-26,106.03,107.0
2025-04-27,105.91,106.5
2025-04-28,105.79,106.0
2025-04-29,102.12,106.0
2025-04-30,102.25,101.0
2025-05-01,101.17,101.0
2025-05-02,100.09,101.0
2025-05-03,99.78,100.81
2025-05-04,99.48,100.61
2025-05-05,99.17,100.42
2025-05-06,96.04,99.95
2025-05-07,97.22,93.5
2025-05-08,99.37,97.7
2025-05-09,98.53,97.5
2025-05-10,99.26,99.65
2025-05-11,99.99,101.81
2025-05-12,100.72,103.96
2025-05-13,100.21,100.2
2025-05-14,109.49,99.9
2025-05-15,108.7,109.69
2025-05-16,107.87,110.0
2025-05-17,107.26,109.46
2025-05-18,106.66,108.93
2025-05-19,106.05,108.39
2025-05-20,103.93,106.59
2025-05-21,105.05,104.3
2025-05-22,105.74,105.5
2025-05-23,106.98,105.74
2025-05-24,106.59,106.49
2025-05-25,106.19,107.25
2025-05-26,105.8,108.0
2025-05-27,106.78,105.8
2025-05-28,108.74,107.0
2025-05-29,110.87,108.98
2025-05-30,112.92,111.7
2025-05-31,113.44,111.92
2025-06-01,113.96,112.15
2025-06-02,114.48,112.37
2025-06-03,112.57,115.0
2025-06-04,113.66,112.5
2025-06-05,112.78,113.02
2025-06-06,114.5,112.78
2025-06-07,114.17,114.15
2025-06-08,113.83,115.52
2025-06-09,113.5,116.89
2025-06-10,114.61,113.5
2025-06-11,112.45,115.0
2025-06-12,111.58,112.4
2025-06-13,110.44,110.0
2025-06-14,109.81,109.96
2025-06-15,109.19,109.93
2025-06-16,108.56,109.89
2025-06-17,108.34,108.0
2025-06-18,107.35,108.9
