Date,Open,Close
2025-01-01,112.67,109.59
2025-01-02,111.63,114.32
2025-01-03,106.72,109.65
2025-01-04,104.99,108.67
2025-01-05,103.25,107.69
2025-01-06,101.51,106.71
2025-01-07,103.28,98.68
2025-01-08,105.3,102.43
2025-01-09,100.18,104.18
2025-01-10,95.17,97.52
2025-01-11,93.58,95.14
2025-01-12,91.99,92.77
2025-01-13,90.4,90.4
2025-01-14,87.53,90.39
2025-01-15,91.9,88.67
2025-01-16,95.92,95.98
2025-01-17,94.19,95.95
2025-01-18,93.53,95.36
2025-01-19,92.87,94.78
2025-01-20,92.21,94.19
2025-01-21,88.42,92.21
2025-01-22,85.43,89.56
2025-01-23,89.7,86.64
2025-01-24,86.13,91.22
2025-01-25,84.71,88.78
2025-01-26,83.28,86.35
2025-01-27,81.85,83.91
2025-01-28,77.76,81.84
2025-01-29,80.92,75.58
2025-01-30,84.14,82.64
2025-01-31,87.13,82.84
2025-02-01,85.75,86.25
2025-02-02,83.64,85.04
2025-02-03,81.53,83.82
2025-02-04,83.99,81.67
2025-02-05,82.81,84.2
2025-02-06,84.03,83.61
2025-02-07,85.8,84.26
2025-02-08,84.92,85.22
2025-02-09,84.04,86.17
2025-02-10,83.16,87.13
2025-02-11,79.0,83.18
2025-02-12,82.26,80.69
2025-02-13,81.04,82.26
2025-02-14,77.18,81.38
2025-02-15,76.11,80.07
2025-02-16,75.04,78.77
2025-02-17,73.98,77.47
2025-02-18,70.28,74.07
2025-02-19,71.55,70.06
2025-02-20,73.6,71.05
2025-02-21,72.13,74.24
2025-02-22,72.27,74.08
2025-02-23,72.42,73.92
2025-02-24,72.57,73.76
2025-02-25,72.9,73.09
2025-02-26,73.9,73.33
2025-02-27,74.91,73.57
2025-02-28,71.75,75.94
2025-03-01,70.65,74.02
2025-03-02,69.56,72.1
2025-03-03,68.46,70.18
2025-03-04,71.78,68.88
2025-03-05,72.32,71.63
2025-03-06,75.62,74.03
2025-03-07,79.39,77.72
2025-03-08,78.2,79.39
2025-03-09,77.02,81.05
2025-03-10,75.83,82.72
2025-03-11,74.36,74.93
2025-03-12,73.51,74.36
2025-03-13,73.04,74.46
2025-03-14,72.29,74.35
2025-03-15,71.53,74.25
2025-03-16,70.78,74.15
2025-03-17,70.02,74.05
2025-03-18,70.02,70.02
2025-03-19,76.44,73.91
2025-03-20,79.51,79.6
2025-03-21,79.67,79.51
2025-03-22,80.6,79.65
2025-03-23,81.52,79.78
2025-03-24,82.45,79.91
2025-03-25,79.8,83.42
2025-03-26,77.04,79.91
2025-03-27,74.65,77.82
2025-03-28,72.32,74.55
2025-03-29,73.23,74.28
2025-03-30,74.13,74.01
2025-03-31,75.03,73.74
2025-04-01,75.94,73.47
2025-04-02,79.73,79.73
2025-04-03,83.72,80.79
2025-04-04,79.82,84.79
2025-04-05,78.66,79.77
2025-04-06,77.5,74.76
2025-04-07,76.34,69.74
2025-04-08,77.47,76.89
2025-04-09,81.62,77.67
2025-04-10,82.03,79.77
2025-04-11,82.45,81.86
2025-04-12,83.14,82.35
2025-04-13,83.83,82.84
2025-04-14,84.52,83.33
2025-04-15,85.21,83.81
2025-04-16,91.37,86.05
2025-04-17,92.73,91.71
2025-04-18,92.52,91.93
2025-04-19,92.31,92.15
2025-04-20,92.09,92.36
2025-04-21,91.88,92.58
2025-04-22,92.94,91.88
2025-04-23,98.3,93.56
2025-04-24,94.96,98.53
2025-04-25,93.6,95.51
2025-04-26,93.91,93.62
2025-04-27,94.22,91.74
2025-04-28,94.53,89.85
2025-04-29,104.86,95.47
2025-04-30,102.73,104.95
2025-05-01,101.78,103.84
2025-05-02,100.83,102.73
2025-05-03,100.53,102.24
2025-05-04,100.24,101.74
2025-05-05,99.94,101.25
2025-05-06,95.26,99.41
2025-05-07,95.63,92.3
2025-05-08,95.52,97.07
2025-05-09,91.65,92.11
2025-05-10,93.83,93.53
2025-05-11,96.01,94.96
2025-05-12,98.2,96.38
2025-05-13,97.13,98.89
2025-05-14,98.33,97.72
2025-05-15,101.09,98.82
2025-05-16,102.08,101.35
2025-05-17,101.66,101.6
2025-05-18,101.24,101.84
2025-05-19,100.83,102.09
2025-05-20,103.18,100.92
2025-05-21,108.92,102.63
2025-05-22,108.14,110.03
2025-05-23,106.33,109.0
2025-05-24,105.47,108.3
2025-05-25,104.61,107.61
2025-05-26,103.74,106.91
2025-05-27,108.93,108.08
2025-05-28,113.67,112.59
2025-05-29,110.91,115.0
2025-05-30,114.04,112.17
2025-05-31,114.2,112.79
2025-06-01,114.36,113.41
2025-06-02,114.52,114.02
