Date,Open,Close
2024-01-01,545.3,536.75
2024-01-02,550.15,545.3
2024-01-03,551.4,552.8
2024-01-04,557.95,552.0
2024-01-05,549.35,558.0
2024-01-06,549.6,555.12
2024-01-07,549.85,552.23
2024-01-08,550.1,549.35
2024-01-09,550.2,550.0
2024-01-10,552.45,554.9
2024-01-11,555.5,557.8
2024-01-12,555.75,560.5
2024-01-13,555.75,558.92
2024-01-14,555.75,557.33
2024-01-15,555.75,555.75
2024-01-16,558.3,555.1
2024-01-17,557.05,555.6
2024-01-18,568.65,554.95
2024-01-19,565.75,574.0
2024-01-20,565.36,573.62
2024-01-21,564.98,573.25
2024-01-22,564.59,572.88
2024-01-23,564.2,572.5
2024-01-24,557.65,562.0
2024-01-25,555.75,556.1
2024-01-26,556.14,556.77
2024-01-27,556.52,557.45
2024-01-28,556.91,558.12
2024-01-29,557.3,558.8
2024-01-30,565.35,560.0
2024-01-31,578.85,574.0
2024-02-01,583.8,579.95
2024-02-02,573.8,584.7
2024-02-03,573.97,581.07
2024-02-04,574.13,577.43
2024-02-05,574.3,573.8
2024-02-06,573.15,578.6
2024-02-07,572.85,576.3
2024-02-08,561.65,577.0
2024-02-09,555.5,562.75
2024-02-10,554.67,561.35
2024-02-11,553.83,559.95
2024-02-12,553.0,558.55
2024-02-13,550.95,552.5
2024-02-14,551.2,550.0
2024-02-15,555.35,554.0
2024-02-16,550.05,547.05
2024-02-17,554.3,554.03
2024-02-18,558.55,561.02
2024-02-19,562.8,568.0
2024-02-20,566.15,566.5
2024-02-21,564.65,566.15
2024-02-22,559.7,565.0
2024-02-23,563.5,562.0
2024-02-24,567.73,566.67
2024-02-25,571.97,571.33
2024-02-26,576.2,576.0
2024-02-27,579.35,578.15
2024-02-28,568.3,582.6
2024-03-01,548.95,564.25
2024-03-02,551.98,565.17
2024-03-03,555.02,566.08
2024-03-04,558.05,567.0
2024-03-05,554.9,558.05
2024-03-06,553.65,554.9
2024-03-07,549.3,552.6
2024-03-08,551.1,551.77
2024-03-09,552.9,550.95
2024-03-10,554.7,550.12
2024-03-11,556.5,549.3
2024-03-12,549.9,557.0
2024-03-13,545.5,550.0
2024-03-14,550.1,540.0
2024-03-15,557.6,550.1
2024-03-16,556.03,552.6
2024-03-17,554.47,555.1
2024-03-18,552.9,557.6
