Date,Open,Close
2021-01-01,194.67,195.3
2021-01-02,195.37,195.09
2021-01-03,196.06,194.88
2021-01-04,196.76,194.67
2021-01-05,194.42,196.67
2021-01-06,212.35,197.69
2021-01-07,211.08,216.88
2021-01-08,211.86,212.69
2021-01-09,211.41,212.87
2021-01-10,210.95,213.05
2021-01-11,210.5,213.22
2021-01-12,213.86,213.18
2021-01-13,213.91,216.2
2021-01-14,209.86,214.83
2021-01-15,208.06,209.67
2021-01-16,204.93,209.69
2021-01-17,201.8,209.7
2021-01-18,198.66,209.72
2021-01-19,203.87,199.98
2021-01-20,208.55,205.48
2021-01-21,208.89,209.57
2021-01-22,206.7,210.3
2021-01-23,205.24,209.44
2021-01-24,203.78,208.58
2021-01-25,202.31,207.72
2021-01-26,203.09,205.02
2021-01-27,203.87,202.31
2021-01-28,210.16,202.12
2021-01-29,201.88,213.71
2021-01-30,202.48,210.29
2021-01-31,203.08,206.86
2021-02-01,203.68,203.44
2021-02-02,206.94,202.61
2021-02-03,204.17,207.96
2021-02-04,209.62,202.95
2021-02-05,219.75,210.59
2021-02-06,225.82,214.73
2021-02-07,231.89,218.87
2021-02-08,237.97,223.01
2021-02-09,232.02,242.54
2021-02-10,237.24,232.71
2021-02-11,250.09,248.39
2021-02-12,248.19,258.08
2021-02-13,247.12,255.61
2021-02-14,246.05,253.15
2021-02-15,244.98,250.68
2021-02-16,248.34,249.9
2021-02-17,251.55,248.49
2021-02-18,262.74,254.97
2021-02-19,265.72,262.79
2021-02-20,263.81,265.07
2021-02-21,261.91,267.35
2021-02-22,260.0,269.63
2021-02-23,271.29,257.81
2021-02-24,280.67,272.56
2021-02-25,285.89,280.47
2021-02-26,278.96,285.26
2021-02-27,278.79,284.09
2021-02-28,278.63,282.91
2021-03-01,278.47,281.74
2021-03-02,278.37,278.18
2021-03-03,279.4,278.42
2021-03-04,276.22,277.93
2021-03-05,275.88,276.42
2021-03-06,276.81,276.01
2021-03-07,277.74,275.6
2021-03-08,278.66,275.2
2021-03-09,282.72,279.3
2021-03-10,292.19,284.18
2021-03-11,288.29,290.09
2021-03-12,284.38,296.0
2021-03-13,283.32,292.13
2021-03-14,282.26,288.25
2021-03-15,281.2,284.38
2021-03-16,278.76,283.11
2021-03-17,281.59,279.88
2021-03-18,279.64,283.3
2021-03-19,280.71,279.64
2021-03-20,281.4,280.54
2021-03-21,282.08,281.43
2021-03-22,282.77,282.33
2021-03-23,278.13,280.37
2021-03-24,273.44,278.13
2021-03-25,260.35,273.44
2021-03-26,263.96,263.86
2021-03-27,263.97,265.3
2021-03-28,263.99,266.75
2021-03-29,264.0,268.19
2021-03-30,264.01,269.63
2021-03-31,269.14,270.41
2021-04-01,283.11,271.78
2021-04-02,281.63,275.07
2021-04-03,280.15,278.37
2021-04-04,278.68,281.67
2021-04-05,277.2,284.96
2021-04-06,279.25,278.42
2021-04-07,277.64,280.28
2021-04-08,280.13,279.1
2021-04-09,276.03,281.25
2021-04-10,272.46,276.84
2021-04-11,268.89,272.43
2021-04-12,265.33,268.02
2021-04-13,273.0,267.67
2021-04-14,266.65,270.34
2021-04-15,260.3,273.0
2021-04-16,255.95,263.72
2021-04-17,255.48,260.41
2021-04-18,255.01,257.11
2021-04-19,254.53,253.8
2021-04-20,248.82,255.85
2021-04-21,248.65,251.14
2021-04-22,248.48,246.43
2021-04-23,244.81,247.55
2021-04-24,246.41,247.74
