Date,Open,Close
2023-01-01,308.99,301.51
2023-01-02,310.59,305.84
2023-01-03,329.48,314.84
2023-01-04,323.18,330.43
2023-01-05,322.03,325.08
2023-01-06,310.69,324.38
2023-01-07,313.64,320.19
2023-01-08,316.59,315.99
2023-01-09,319.54,311.79
2023-01-10,319.49,322.33
2023-01-11,320.94,323.63
2023-01-12,327.48,323.28
2023-01-13,326.13,329.43
2023-01-14,325.18,328.6
2023-01-15,324.23,327.77
2023-01-16,323.28,326.93
2023-01-17,327.38,323.28
2023-01-18,341.32,328.43
2023-01-19,358.17,341.32
2023-01-20,361.86,362.91
2023-01-21,356.77,362.85
2023-01-22,351.67,362.78
2023-01-23,346.57,362.71
2023-01-24,363.61,351.82
2023-01-25,352.77,360.41
2023-01-26,343.72,358.02
2023-01-27,334.68,355.62
2023-01-28,331.81,346.52
2023-01-29,328.95,337.43
2023-01-30,326.08,328.33
2023-01-31,330.33,329.33
2023-02-01,311.19,328.63
2023-02-02,294.25,308.79
2023-02-03,272.66,291.1
2023-02-04,267.9,284.85
2023-02-05,263.13,278.61
2023-02-06,258.37,272.36
2023-02-07,267.21,255.82
2023-02-08,276.41,268.31
2023-02-09,276.01,278.01
2023-02-10,271.56,274.66
2023-02-11,273.36,273.71
2023-02-12,275.16,272.76
2023-02-13,276.96,271.81
2023-02-14,272.61,279.86
2023-02-15,273.01,269.71
2023-02-16,275.41,275.66
2023-02-17,277.01,276.46
2023-02-18,274.68,276.74
2023-02-19,272.34,277.02
2023-02-20,270.01,277.31
2023-02-21,262.47,268.86
2023-02-22,253.27,259.37
2023-02-23,256.37,253.27
2023-02-24,250.67,259.87
2023-02-25,251.54,256.87
2023-02-26,252.4,253.87
2023-02-27,253.27,250.87
2023-02-28,254.42,255.52
2023-03-01,258.92,254.72
2023-03-02,251.77,261.82
2023-03-03,261.22,254.47
2023-03-04,271.78,258.93
2023-03-05,282.34,263.4
2023-03-06,292.9,267.86
2023-03-07,286.4,278.11
2023-03-08,279.91,288.35
2023-03-09,277.46,281.76
2023-03-10,298.0,277.86
2023-03-11,292.15,285.55
2023-03-12,286.3,293.25
2023-03-13,280.46,300.95
2023-03-14,279.16,276.36
2023-03-15,245.47,280.36
2023-03-16,246.67,254.57
2023-03-17,231.08,247.97
2023-03-18,228.82,240.29
2023-03-19,226.55,232.61
2023-03-20,224.28,224.93
2023-03-21,228.13,228.88
2023-03-22,223.49,229.98
2023-03-23,215.99,223.79
2023-03-24,217.44,215.99
2023-03-25,212.41,216.94
2023-03-26,207.38,217.89
2023-03-27,202.35,218.84
2023-03-28,208.94,202.7
2023-03-29,207.24,210.39
2023-03-30,210.47,210.49
2023-03-31,213.69,210.59
2023-04-01,213.52,212.12
2023-04-02,213.36,213.66
2023-04-03,213.19,215.19
2023-04-04,215.46,214.81
2023-04-05,217.74,214.44
2023-04-06,220.44,218.84
2023-04-07,220.91,219.32
2023-04-08,221.39,219.81
2023-04-09,221.86,220.3
2023-04-10,222.34,220.79
2023-04-11,222.39,223.29
2023-04-12,225.33,222.89
2023-04-13,224.38,224.38
2023-04-14,224.05,225.01
2023-04-15,223.71,225.63
2023-04-16,223.37,226.26
2023-04-17,223.04,226.88
2023-04-18,217.64,222.99
2023-04-19,212.24,216.14
2023-04-20,214.24,212.84
2023-04-21,212.44,213.84
2023-04-22,212.97,213.37
2023-04-23,213.51,212.91
2023-04-24,214.04,212.44
2023-04-25,209.39,214.04
2023-04-26,210.59,209.74
2023-04-27,212.94,210.19
2023-04-28,220.79,213.94
2023-04-29,224.41,215.8
2023-04-30,228.03,217.66
2023-05-01,231.66,219.52
2023-05-02,235.28,221.39
2023-05-03,236.43,237.18
2023-05-04,234.23,237.58
2023-05-05,237.43,234.48
2023-05-06,236.85,235.78
2023-05-07,236.26,237.08
2023-05-08,235.68,238.38
2023-05-09,239.58,236.78
2023-05-10,234.33,240.63
2023-05-11,238.03,235.83
2023-05-12,236.08,239.83
2023-05-13,235.43,239.03
2023-05-14,234.78,238.23
2023-05-15,234.13,237.43
2023-05-16,236.23,233.88
2023-05-17,230.98,236.23
2023-05-18,225.68,230.88
2023-05-19,229.98,226.48
2023-05-20,232.03,231.56
2023-05-21,234.08,236.65
2023-05-22,236.13,241.73
2023-05-23,233.48,235.88
2023-05-24,234.03,233.18
2023-05-25,229.53,234.28
2023-05-26,229.13,230.68
2023-05-27,228.95,230.88
2023-05-28,228.77,231.08
2023-05-29,228.58,231.28
2023-05-30,227.88,229.28
2023-05-31,239.03,226.88
2023-06-01,249.87,241.68
2023-06-02,252.12,252.77
2023-06-03,249.67,253.32
2023-06-04,247.22,253.87
2023-06-05,244.77,254.42
2023-06-06,241.98,244.77
2023-06-07,242.73,243.82
2023-06-08,238.13,242.73
2023-06-09,239.48,238.13
2023-06-10,238.13,239.38
2023-06-11,236.78,240.63
2023-06-12,235.43,241.88
2023-06-13,236.63,236.98
2023-06-14,236.23,237.48
2023-06-15,233.98,235.88
2023-06-16,235.18,233.58
2023-06-17,234.75,234.66
2023-06-18,234.31,235.75
2023-06-19,233.88,236.83
2023-06-20,235.13,233.88
2023-06-21,246.27,236.18
2023-06-22,266.21,249.87
2023-06-23,271.11,266.86
2023-06-24,270.23,268.36
2023-06-25,269.35,269.86
2023-06-26,268.46,271.36
2023-06-27,265.31,268.31
2023-06-28,257.07,267.11
2023-06-29,258.64,263.46
2023-06-30,260.22,259.82
2023-07-01,260.68,260.6
2023-07-02,261.15,261.38
2023-07-03,261.62,262.17
2023-07-04,264.31,262.72
2023-07-05,263.96,265.26
2023-07-06,261.67,263.06
2023-07-07,261.77,261.77
2023-07-08,262.07,262.07
2023-07-09,262.37,262.37
2023-07-10,262.67,262.67
2023-07-11,247.92,264.46
2023-07-12,229.88,247.87
2023-07-13,227.33,231.13
2023-07-14,230.63,227.33
2023-07-15,228.97,227.82
2023-07-16,227.3,228.3
2023-07-17,225.63,228.78
2023-07-18,230.03,226.38
2023-07-19,227.58,230.43
2023-07-20,227.53,227.88
2023-07-21,226.03,225.88
2023-07-22,226.58,226.35
2023-07-23,227.13,226.82
2023-07-24,227.68,227.28
2023-07-25,229.23,227.98
2023-07-26,223.44,230.88
2023-07-27,220.79,223.44
2023-07-28,218.84,220.79
2023-07-29,218.99,220.15
2023-07-30,219.14,219.52
2023-07-31,219.29,218.89
2023-08-01,219.34,220.39
2023-08-02,215.24,219.89
2023-08-03,230.18,216.34
2023-08-04,243.92,230.18
2023-08-05,247.41,235.41
2023-08-06,250.89,240.64
2023-08-07,254.37,245.87
2023-08-08,260.92,255.37
2023-08-09,258.92,262.72
2023-08-10,263.61,259.12
2023-08-11,269.26,264.96
2023-08-12,266.73,267.63
2023-08-13,264.2,270.29
2023-08-14,261.67,272.96
2023-08-15,267.74,273.91
2023-08-16,273.81,274.86
2023-08-17,275.41,276.86
2023-08-18,267.01,276.46
2023-08-19,271.18,274.26
2023-08-20,275.34,272.06
2023-08-21,279.51,269.86
2023-08-22,281.66,281.81
2023-08-23,283.0,283.75
2023-08-24,301.1,286.5
2023-08-25,301.35,302.64
2023-08-26,303.31,303.38
2023-08-27,305.28,304.11
2023-08-28,307.24,304.84
2023-08-29,313.34,310.24
2023-08-30,312.34,315.74
2023-08-31,304.34,315.84
2023-09-01,306.04,306.54
2023-09-02,304.78,307.24
2023-09-03,303.51,307.94
2023-09-04,302.24,308.64
2023-09-05,295.6,304.84
2023-09-06,293.85,297.8
2023-09-07,301.8,298.55
2023-09-08,301.0,303.74
2023-09-09,301.65,303.68
2023-09-10,302.29,303.61
2023-09-11,302.94,303.54
2023-09-12,278.86,303.64
2023-09-13,281.51,279.41
2023-09-14,286.8,283.5
2023-09-15,289.75,288.65
2023-09-16,290.32,289.05
2023-09-17,290.88,289.45
2023-09-18,291.45,289.85
2023-09-19,291.18,289.85
2023-09-20,290.9,289.85
2023-09-21,296.6,288.65
2023-09-22,298.5,296.6
2023-09-23,296.13,304.71
2023-09-24,293.77,312.83
2023-09-25,291.4,320.95
2023-09-26,295.7,292.1
2023-09-27,289.2,296.05
2023-09-28,287.15,290.85
2023-09-29,287.75,287.95
2023-09-30,287.48,287.58
2023-10-01,287.2,287.2
2023-10-02,286.93,286.83
2023-10-03,286.65,286.45
2023-10-04,287.1,286.35
2023-10-05,283.9,288.8
2023-10-06,297.5,285.85
2023-10-07,295.05,288.25
2023-10-08,292.6,290.65
2023-10-09,290.15,293.05
2023-10-10,294.35,293.65
2023-10-11,293.75,296.7
2023-10-12,304.05,295.15
2023-10-13,305.2,301.25
2023-10-14,310.28,303.38
2023-10-15,315.36,305.51
2023-10-16,320.45,307.65
2023-10-17,321.7,323.35
2023-10-18,318.9,322.95
2023-10-19,326.74,319.95
2023-10-20,312.25,325.34
2023-10-21,309.25,321.71
2023-10-22,306.25,318.08
2023-10-23,303.25,314.45
2023-10-24,306.72,311.15
2023-10-25,310.2,307.85
2023-10-26,328.99,312.95
2023-10-27,369.14,332.94
2023-10-28,376.17,347.94
2023-10-29,383.2,362.94
2023-10-30,390.23,377.94
2023-10-31,385.53,394.53
2023-11-01,388.53,386.73
2023-11-02,385.78,395.93
2023-11-03,385.93,386.93
2023-11-04,387.87,387.27
2023-11-05,389.8,387.6
2023-11-06,391.73,387.93
2023-11-07,386.28,391.33
2023-11-08,403.93,387.98
