Date,Open,Close
2023-01-01,72.35,72.4
2023-01-02,72.32,72.42
2023-01-03,71.27,73.42
2023-01-04,71.42,71.32
2023-01-05,69.02,71.97
2023-01-06,68.42,68.37
2023-01-07,68.21,69.24
2023-01-08,67.99,70.11
2023-01-09,67.77,70.97
2023-01-10,66.27,68.27
2023-01-11,65.82,67.27
2023-01-12,64.42,65.57
2023-01-13,61.48,64.42
2023-01-14,61.24,62.94
2023-01-15,61.01,61.46
2023-01-16,60.78,59.98
2023-01-17,66.82,59.88
2023-01-18,67.77,66.97
2023-01-19,71.47,66.77
2023-01-20,72.12,70.42
2023-01-21,73.17,70.99
2023-01-22,74.22,71.55
2023-01-23,75.27,72.12
2023-01-24,70.62,76.12
2023-01-25,67.52,69.97
2023-01-26,65.57,68.47
2023-01-27,63.62,66.97
2023-01-28,63.52,65.84
2023-01-29,63.42,64.71
2023-01-30,63.32,63.57
2023-01-31,67.32,64.27
2023-02-01,66.62,69.87
2023-02-02,65.32,66.42
2023-02-03,63.27,65.27
2023-02-04,62.47,64.64
2023-02-05,61.68,64.01
2023-02-06,60.88,63.37
2023-02-07,62.52,61.28
2023-02-08,61.93,62.72
2023-02-09,61.03,61.18
2023-02-10,60.23,60.63
2023-02-11,60.21,60.53
2023-02-12,60.19,60.43
2023-02-13,60.18,60.33
2023-02-14,60.48,60.68
2023-02-15,61.43,60.43
2023-02-16,60.13,61.93
2023-02-17,60.93,59.83
2023-02-18,60.84,60.39
2023-02-19,60.76,60.96
2023-02-20,60.68,61.53
2023-02-21,65.47,60.68
2023-02-22,63.02,64.82
2023-02-23,60.48,62.97
2023-02-24,61.53,61.03
2023-02-25,61.03,61.18
2023-02-26,60.53,61.33
2023-02-27,60.03,61.48
2023-02-28,60.08,60.03
2023-03-01,60.63,60.03
2023-03-02,60.48,60.63
2023-03-03,59.88,60.48
2023-03-04,59.91,60.34
2023-03-05,59.94,60.21
2023-03-06,59.98,60.08
2023-03-07,60.13,59.78
2023-03-08,60.28,59.48
2023-03-09,60.28,60.28
2023-03-10,59.83,60.03
2023-03-11,59.69,59.96
2023-03-12,59.56,59.89
2023-03-13,59.43,59.83
2023-03-14,60.23,59.18
2023-03-15,58.58,60.08
2023-03-16,56.98,58.18
2023-03-17,57.43,57.23
2023-03-18,57.24,57.18
2023-03-19,57.06,57.13
2023-03-20,56.88,57.08
2023-03-21,60.03,57.48
2023-03-22,58.68,59.98
2023-03-23,59.83,58.08
2023-03-24,58.48,59.03
2023-03-25,58.09,58.66
2023-03-26,57.71,58.29
2023-03-27,57.33,57.93
2023-03-28,55.33,56.48
2023-03-29,44.38,55.18
2023-03-30,48.78,50.23
2023-03-31,53.18,45.28
2023-04-01,55.43,47.51
2023-04-02,57.68,49.75
2023-04-03,59.93,51.98
2023-04-04,61.3,55.48
2023-04-05,62.67,58.98
2023-04-06,62.87,61.08
2023-04-07,62.55,61.68
2023-04-08,62.22,62.27
2023-04-09,61.9,62.87
2023-04-10,61.58,63.47
2023-04-11,58.43,61.88
2023-04-12,57.18,58.58
2023-04-13,56.68,57.88
2023-04-14,56.66,57.53
2023-04-15,56.65,57.18
2023-04-16,56.64,56.83
2023-04-17,56.63,56.48
2023-04-18,55.73,56.43
2023-04-19,54.88,56.33
2023-04-20,54.03,55.18
2023-04-21,52.63,54.43
2023-04-22,50.68,53.76
2023-04-23,48.73,53.1
2023-04-24,46.78,52.43
2023-04-25,49.33,47.68
2023-04-26,47.53,50.08
2023-04-27,52.98,48.33
2023-04-28,52.48,53.78
2023-04-29,52.57,53.84
2023-04-30,52.67,53.9
2023-05-01,52.76,53.96
2023-05-02,52.86,54.02
2023-05-03,52.96,54.08
2023-05-04,53.05,54.14
2023-05-05,53.15,54.2
2023-05-06,53.24,54.26
2023-05-07,53.34,54.32
2023-05-08,53.43,54.38
2023-05-09,53.53,54.44
2023-05-10,53.62,54.5
2023-05-11,53.72,54.56
2023-05-12,53.81,54.62
2023-05-13,53.91,54.68
2023-05-14,54.0,54.74
2023-05-15,54.1,54.8
2023-05-16,54.19,54.86
2023-05-17,54.29,54.93
2023-05-18,54.38,54.99
2023-05-19,54.48,55.05
2023-05-20,54.57,55.11
2023-05-21,54.67,55.17
2023-05-22,54.76,55.23
2023-05-23,54.86,55.29
2023-05-24,54.96,55.35
2023-05-25,55.05,55.41
2023-05-26,55.15,55.47
2023-05-27,55.24,55.53
2023-05-28,55.34,55.59
2023-05-29,55.43,55.65
2023-05-30,55.53,55.71
2023-05-31,55.62,55.77
2023-06-01,55.72,55.83
2023-06-02,55.81,55.89
2023-06-03,55.91,55.95
