Date,Open,Close
2025-01-01,287.47,275.71
2025-01-02,294.49,288.07
2025-01-03,293.45,294.24
2025-01-04,288.3,294.26
2025-01-05,283.14,294.28
2025-01-06,277.99,294.29
2025-01-07,286.68,280.26
2025-01-08,282.29,288.51
2025-01-09,292.46,279.77
2025-01-10,294.59,296.17
2025-01-11,286.39,294.29
2025-01-12,278.18,292.41
2025-01-13,269.98,290.54
2025-01-14,276.75,272.8
2025-01-15,273.09,280.56
2025-01-16,280.51,276.8
2025-01-17,281.59,279.07
2025-01-18,283.01,280.85
2025-01-19,284.43,282.63
2025-01-20,285.84,284.41
2025-01-21,278.93,286.19
2025-01-22,278.78,278.63
2025-01-23,280.41,278.68
2025-01-24,265.53,276.7
2025-01-25,262.34,273.41
2025-01-26,259.14,270.11
2025-01-27,255.95,266.82
2025-01-28,255.21,259.8
2025-01-29,282.33,261.93
2025-01-30,275.47,287.57
2025-01-31,270.77,276.75
2025-02-01,265.83,273.69
2025-02-02,266.1,268.77
2025-02-03,266.37,263.85
2025-02-04,269.09,267.21
2025-02-05,267.26,270.77
2025-02-06,268.3,269.59
2025-02-07,270.44,271.28
2025-02-08,268.8,270.9
2025-02-09,267.16,270.52
2025-02-10,265.52,270.14
2025-02-11,253.84,265.82
2025-02-12,262.04,253.4
2025-02-13,270.04,261.2
2025-02-14,256.58,268.95
2025-02-15,255.67,264.1
2025-02-16,254.75,259.24
2025-02-17,253.84,254.39
2025-02-18,238.14,255.38
2025-02-19,243.16,236.5
2025-02-20,246.99,243.16
2025-02-21,242.27,248.03
2025-02-22,240.56,245.84
2025-02-23,238.85,243.66
2025-02-24,237.15,241.47
2025-02-25,233.22,237.2
2025-02-26,229.72,236.5
2025-02-27,226.22,235.81
2025-02-28,224.43,224.28
2025-03-01,223.54,225.44
2025-03-02,222.65,226.6
2025-03-03,221.77,227.76
2025-03-04,224.6,218.62
2025-03-05,228.45,225.57
2025-03-06,234.1,231.09
2025-03-07,234.09,231.99
2025-03-08,230.83,232.5
2025-03-09,227.58,233.01
2025-03-10,224.32,233.52
2025-03-11,217.19,220.6
2025-03-12,219.19,218.32
2025-03-13,212.38,220.6
2025-03-14,210.63,218.62
2025-03-15,208.89,216.63
2025-03-16,207.14,214.64
2025-03-17,205.4,212.65
2025-03-18,205.4,205.4
2025-03-19,219.11,213.15
2025-03-20,224.98,221.3
2025-03-21,233.13,227.05
2025-03-22,233.38,229.99
2025-03-23,233.63,232.92
2025-03-24,233.88,235.86
2025-03-25,226.18,236.5
2025-03-26,221.62,226.18
2025-03-27,221.1,221.6
2025-03-28,217.61,221.35
2025-03-29,219.52,220.59
2025-03-30,221.43,219.83
2025-03-31,223.34,219.08
2025-04-01,225.25,218.32
2025-04-02,228.87,226.57
2025-04-03,231.88,220.7
2025-04-04,213.95,229.75
2025-04-05,209.08,220.14
2025-04-06,204.21,210.53
2025-04-07,199.34,200.93
2025-04-08,207.59,204.11
2025-04-09,200.08,207.04
2025-04-10,204.97,207.81
2025-04-11,209.85,208.58
2025-04-12,212.48,209.86
2025-04-13,215.1,211.14
2025-04-14,217.72,212.42
2025-04-15,220.35,213.7
2025-04-16,220.25,219.68
2025-04-17,224.51,221.9
2025-04-18,224.75,222.69
2025-04-19,224.99,223.49
2025-04-20,225.22,224.28
2025-04-21,225.46,225.08
2025-04-22,227.14,225.87
2025-04-23,228.89,228.55
2025-04-24,243.87,228.85
2025-04-25,232.81,243.46
2025-04-26,230.08,240.11
2025-04-27,227.35,236.77
2025-04-28,224.63,233.42
2025-04-29,224.18,227.36
2025-04-30,217.75,223.58
2025-05-01,218.45,220.88
2025-05-02,219.15,218.17
2025-05-03,220.38,219.64
2025-05-04,221.6,221.12
2025-05-05,222.83,222.59
2025-05-06,211.2,221.89
2025-05-07,216.83,211.2
2025-05-08,218.09,216.83
2025-05-09,220.01,211.16
2025-05-10,224.03,216.64
2025-05-11,228.06,222.12
2025-05-12,232.08,227.6
2025-05-13,238.94,233.52
2025-05-14,241.79,239.88
2025-05-15,244.91,240.48
2025-05-16,249.27,247.24
2025-05-17,250.25,248.3
2025-05-18,251.22,249.36
2025-05-19,252.19,250.42
2025-05-20,245.08,254.13
2025-05-21,248.29,245.84
2025-05-22,247.03,247.24
2025-05-23,240.31,248.13
2025-05-24,246.41,245.6
2025-05-25,252.51,243.06
2025-05-26,258.61,240.53
2025-05-27,252.0,258.66
2025-05-28,251.88,252.01
2025-05-29,250.17,253.2
2025-05-30,252.52,251.41
2025-05-31,252.23,252.09
2025-06-01,251.95,252.77
2025-06-02,251.66,253.45
2025-06-03,248.03,251.76
2025-06-04,251.21,248.43
2025-06-05,251.21,251.21
2025-06-06,252.15,257.37
2025-06-07,251.87,256.38
2025-06-08,251.59,255.38
2025-06-09,251.31,254.39
2025-06-10,255.14,252.3
2025-06-11,257.37,256.48
2025-06-12,253.89,260.85
2025-06-13,249.87,248.43
2025-06-14,248.06,249.36
2025-06-15,246.26,250.28
2025-06-16,244.45,251.21
2025-06-17,238.89,244.45
2025-06-18,236.3,239.48
2025-06-19,232.43,237.5
2025-06-20,231.83,228.55
2025-06-21,231.07,228.95
2025-06-22,230.31,229.35
2025-06-23,229.55,229.75
2025-06-24,232.33,232.43
2025-06-25,238.79,234.42
2025-06-26,237.0,239.88
2025-06-27,237.15,239.7
2025-06-28,237.63,239.2
2025-06-29,238.12,238.7
2025-06-30,238.6,238.2
2025-07-01,236.37,238.7
2025-07-02,235.94,237.01
2025-07-03,237.34,236.8
2025-07-04,238.13,237.34
2025-07-05,237.34,237.62
2025-07-06,236.54,237.91
2025-07-07,235.75,238.19
2025-07-08,238.27,238.0
2025-07-09,239.44,235.5
2025-07-10,241.37,239.0
2025-07-11,236.74,240.0
2025-07-12,236.48,238.33
2025-07-13,236.22,236.67
2025-07-14,235.96,235.0
2025-07-15,239.97,235.96
2025-07-16,241.65,239.8
2025-07-17,243.48,241.75
2025-07-18,246.38,243.65
2025-07-19,244.14,244.56
2025-07-20,241.9,245.47
2025-07-21,239.66,246.38
2025-07-22,235.85,239.81
2025-07-23,241.13,236.44
2025-07-24,241.01,242.0
2025-07-25,232.88,242.0
