Date,Open,Close
2021-01-01,7.52,7.09
2021-01-02,7.39,7.19
2021-01-03,7.27,7.3
2021-01-04,7.14,7.4
2021-01-05,6.79,6.79
2021-01-06,6.45,6.45
2021-01-07,6.14,6.14
2021-01-08,5.83,5.83
2021-01-09,5.73,5.73
2021-01-10,5.64,5.64
2021-01-11,5.54,5.54
2021-01-12,5.26,5.26
2021-01-13,5.01,5.01
2021-01-14,5.22,4.76
2021-01-15,5.43,5.48
2021-01-16,5.49,5.48
2021-01-17,5.55,5.48
2021-01-18,5.61,5.48
2021-01-19,5.43,5.61
2021-01-20,5.34,5.65
2021-01-21,5.07,5.34
2021-01-22,4.82,4.82
2021-01-23,4.74,4.74
2021-01-24,4.66,4.66
2021-01-25,4.58,4.58
2021-01-26,4.47,4.49
2021-01-27,4.36,4.4
2021-01-28,4.57,4.14
2021-01-29,4.8,4.8
2021-01-30,4.72,4.83
2021-01-31,4.64,4.86
2021-02-01,4.56,4.89
2021-02-02,4.34,4.5
2021-02-03,4.22,4.12
2021-02-04,4.22,4.2
2021-02-05,4.23,4.38
2021-02-06,4.21,4.35
2021-02-07,4.2,4.33
2021-02-08,4.18,4.3
2021-02-09,4.03,4.03
2021-02-10,4.01,4.04
2021-02-11,4.05,4.12
2021-02-12,4.01,4.05
2021-02-13,3.98,4.04
2021-02-14,3.96,4.02
2021-02-15,3.94,4.01
2021-02-16,3.86,4.01
2021-02-17,3.81,3.91
2021-02-18,3.71,3.89
2021-02-19,3.79,3.7
2021-02-20,3.77,3.76
2021-02-21,3.76,3.81
2021-02-22,3.74,3.87
2021-02-23,3.88,3.88
2021-02-24,3.96,3.91
2021-02-25,4.04,4.07
2021-02-26,4.01,3.98
2021-02-27,4.0,3.99
2021-02-28,3.98,4.0
2021-03-01,3.96,4.01
2021-03-02,3.87,3.9
2021-03-03,3.76,3.9
2021-03-04,3.78,3.8
2021-03-05,3.76,3.78
2021-03-06,3.74,3.75
2021-03-07,3.73,3.73
2021-03-08,3.71,3.7
2021-03-09,3.72,3.78
2021-03-10,3.69,3.7
2021-03-11,3.64,3.7
2021-03-12,3.6,3.7
2021-03-13,3.6,3.69
2021-03-14,3.6,3.69
2021-03-15,3.6,3.68
2021-03-16,3.53,3.53
2021-03-17,3.39,3.52
2021-03-18,3.31,3.4
2021-03-19,3.38,3.3
2021-03-20,3.43,3.35
2021-03-21,3.47,3.4
2021-03-22,3.51,3.44
2021-03-23,3.57,3.67
2021-03-24,3.64,3.64
2021-03-25,3.49,3.7
2021-03-26,3.4,3.43
2021-03-27,3.37,3.41
2021-03-28,3.34,3.39
2021-03-29,3.31,3.37
2021-03-30,3.28,3.35
2021-03-31,3.26,3.3
2021-04-01,3.37,3.26
2021-04-02,3.37,3.29
2021-04-03,3.38,3.31
2021-04-04,3.39,3.34
2021-04-05,3.39,3.37
2021-04-06,3.47,3.39
2021-04-07,3.39,3.41
2021-04-08,3.35,3.39
2021-04-09,3.32,3.36
2021-04-10,3.29,3.35
2021-04-11,3.27,3.35
2021-04-12,3.24,3.35
2021-04-13,3.26,3.35
2021-04-14,3.28,3.38
2021-04-15,3.31,3.41
2021-04-16,3.42,3.39
2021-04-17,3.46,3.42
2021-04-18,3.5,3.45
2021-04-19,3.55,3.48
2021-04-20,3.67,3.49
2021-04-21,3.76,3.64
2021-04-22,3.85,3.8
2021-04-23,4.04,4.04
2021-04-24,4.11,4.11
2021-04-25,4.17,4.17
2021-04-26,4.24,4.24
2021-04-27,4.45,4.38
2021-04-28,4.23,4.66
2021-04-29,4.02,4.04
2021-04-30,3.82,3.82
2021-05-01,3.76,3.76
2021-05-02,3.69,3.69
2021-05-03,3.63,3.63
2021-05-04,3.81,3.63
2021-05-05,4.0,4.0
2021-05-06,4.2,4.2
2021-05-07,4.09,4.37
2021-05-08,4.11,4.28
2021-05-09,4.14,4.2
2021-05-10,4.17,4.11
2021-05-11,4.11,4.22
2021-05-12,4.1,4.2
2021-05-13,4.07,4.19
2021-05-14,4.04,4.18
2021-05-15,3.97,4.07
2021-05-16,3.91,3.95
2021-05-17,3.84,3.84
2021-05-18,3.74,3.65
2021-05-19,3.78,3.71
2021-05-20,3.69,3.7
2021-05-21,3.72,3.78
2021-05-22,3.71,3.77
2021-05-23,3.69,3.77
2021-05-24,3.67,3.77
2021-05-25,3.7,3.62
2021-05-26,3.7,3.7
2021-05-27,3.72,3.71
2021-05-28,3.66,3.77
2021-05-29,3.65,3.76
2021-05-30,3.63,3.74
2021-05-31,3.62,3.73
2021-06-01,3.61,3.64
2021-06-02,3.65,3.61
2021-06-03,3.64,3.74
2021-06-04,3.66,3.73
2021-06-05,3.67,3.73
2021-06-06,3.67,3.72
2021-06-07,3.68,3.72
2021-06-08,3.65,3.7
2021-06-09,3.62,3.69
2021-06-10,3.91,3.62
2021-06-11,4.19,4.3
2021-06-12,4.27,4.28
2021-06-13,4.35,4.25
2021-06-14,4.43,4.23
2021-06-15,4.18,4.43
2021-06-16,4.09,4.18
2021-06-17,3.95,3.95
2021-06-18,3.9,4.05
2021-06-19,3.99,3.93
2021-06-20,4.07,3.81
2021-06-21,4.16,3.68
2021-06-22,4.15,4.28
2021-06-23,4.55,4.39
2021-06-24,4.26,4.61
2021-06-25,4.09,4.18
2021-06-26,4.09,4.16
2021-06-27,4.1,4.14
2021-06-28,4.11,4.12
2021-06-29,4.45,4.13
2021-06-30,4.3,4.45
2021-07-01,4.24,4.38
