Date,Open,Close
2020-01-01,2.71,2.79
2020-01-02,2.75,2.71
2020-01-03,2.71,2.66
2020-01-04,2.66,2.65
2020-01-05,2.62,2.64
2020-01-06,2.58,2.62
2020-01-07,2.62,2.54
2020-01-08,2.5,2.58
2020-01-09,2.37,2.41
2020-01-10,2.33,2.41
2020-01-11,2.34,2.37
2020-01-12,2.36,2.33
2020-01-13,2.37,2.29
2020-01-14,2.41,2.41
2020-01-15,2.33,2.33
2020-01-16,2.25,2.25
2020-01-17,2.25,2.16
2020-01-18,2.26,2.21
2020-01-19,2.28,2.25
2020-01-20,2.29,2.29
2020-01-21,2.21,2.25
2020-01-22,2.12,2.21
2020-01-23,2.12,2.04
2020-01-24,2.04,2.08
2020-01-25,2.01,2.04
2020-01-26,1.98,2.0
2020-01-27,1.96,1.96
2020-01-28,2.0,1.87
2020-01-29,2.0,1.96
2020-01-30,1.96,2.0
2020-01-31,1.87,1.87
2020-02-01,1.87,1.87
2020-02-02,1.87,1.87
2020-02-03,1.87,1.87
2020-02-04,1.79,1.83
2020-02-05,1.79,1.75
2020-02-06,1.87,1.75
2020-02-07,1.91,1.83
2020-02-08,1.9,1.87
2020-02-09,1.89,1.91
2020-02-10,1.87,1.96
2020-02-11,1.91,1.83
2020-02-12,1.91,2.0
2020-02-13,1.96,1.91
2020-02-14,2.04,2.0
2020-02-15,2.07,2.04
2020-02-16,2.09,2.08
2020-02-17,2.12,2.12
2020-02-18,2.12,2.21
2020-02-19,2.16,2.16
2020-02-20,2.08,2.21
2020-02-21,2.06,2.16
2020-02-22,2.04,2.12
2020-02-23,2.02,2.08
2020-02-24,2.0,2.04
2020-02-25,2.08,1.91
2020-02-26,2.0,2.12
2020-02-27,1.91,1.91
2020-02-28,1.83,1.83
2020-03-01,1.83,1.78
2020-03-02,1.83,1.75
2020-03-03,1.75,1.75
2020-03-04,1.66,1.66
2020-03-05,1.71,1.66
2020-03-06,1.75,1.66
2020-03-07,1.72,1.66
2020-03-08,1.69,1.66
2020-03-09,1.66,1.66
2020-03-10,1.62,1.62
2020-03-11,1.58,1.58
2020-03-12,1.54,1.54
2020-03-13,1.5,1.5
2020-03-14,1.48,1.48
2020-03-15,1.47,1.47
2020-03-16,1.46,1.46
2020-03-17,1.41,1.41
2020-03-18,1.37,1.37
2020-03-19,1.33,1.33
2020-03-20,1.29,1.29
2020-03-21,1.28,1.28
2020-03-22,1.26,1.26
2020-03-23,1.25,1.25
2020-03-24,1.21,1.21
2020-03-25,1.17,1.17
2020-03-26,1.12,1.12
2020-03-27,1.08,1.08
2020-03-28,1.07,1.07
2020-03-29,1.05,1.05
2020-03-30,1.04,1.04
2020-03-31,1.0,1.0
2020-04-01,0.96,0.96
2020-04-02,0.94,0.94
2020-04-03,0.92,0.92
2020-04-04,0.91,0.91
2020-04-05,0.89,0.89
2020-04-06,0.88,0.88
2020-04-07,0.87,0.87
2020-04-08,0.83,0.83
2020-04-09,0.79,0.79
2020-04-10,0.8,0.79
2020-04-11,0.81,0.79
2020-04-12,0.82,0.79
2020-04-13,0.83,0.79
2020-04-14,0.85,0.83
2020-04-15,0.87,0.87
2020-04-16,0.92,0.92
2020-04-17,0.96,0.96
2020-04-18,0.97,0.97
2020-04-19,0.98,0.98
2020-04-20,1.0,1.0
2020-04-21,1.04,1.04
2020-04-22,1.08,1.08
2020-04-23,1.12,1.12
2020-04-24,1.17,1.17
2020-04-25,1.18,1.18
2020-04-26,1.19,1.19
2020-04-27,1.21,1.21
2020-04-28,1.25,1.25
2020-04-29,1.29,1.29
2020-04-30,1.33,1.33
2020-05-01,1.34,1.34
2020-05-02,1.35,1.35
2020-05-03,1.36,1.36
2020-05-04,1.37,1.37
2020-05-05,1.41,1.41
2020-05-06,1.46,1.46
2020-05-07,1.5,1.5
2020-05-08,1.54,1.54
2020-05-09,1.54,1.55
2020-05-10,1.54,1.57
2020-05-11,1.54,1.58
2020-05-12,1.54,1.54
2020-05-13,1.58,1.58
2020-05-14,1.62,1.62
2020-05-15,1.66,1.66
2020-05-16,1.69,1.69
2020-05-17,1.72,1.72
2020-05-18,1.75,1.75
2020-05-19,1.75,1.83
2020-05-20,1.83,1.79
2020-05-21,1.87,1.91
2020-05-22,1.96,1.96
2020-05-23,1.94,1.97
2020-05-24,1.91,1.98
2020-05-25,1.89,1.99
2020-05-26,1.87,2.0
2020-05-27,1.79,1.79
2020-05-28,1.87,1.75
2020-05-29,1.96,1.87
2020-05-30,1.98,1.93
2020-05-31,2.01,1.98
2020-06-01,2.04,2.04
2020-06-02,2.12,2.12
2020-06-03,2.21,2.21
2020-06-04,2.29,2.29
2020-06-05,2.37,2.37
