Date,Open,Close
2023-01-01,165.73,165.46
2023-01-02,166.85,166.16
2023-01-03,166.55,167.14
2023-01-04,165.08,167.14
2023-01-05,166.41,166.5
2023-01-06,162.23,167.14
2023-01-07,160.77,166.31
2023-01-08,159.31,165.47
2023-01-09,157.85,164.64
2023-01-10,159.87,158.39
2023-01-11,151.51,154.36
2023-01-12,144.14,151.51
2023-01-13,146.84,144.53
2023-01-14,146.15,145.58
2023-01-15,145.46,146.63
2023-01-16,144.78,147.68
2023-01-17,143.79,144.58
2023-01-18,145.37,143.6
2023-01-19,145.56,144.53
2023-01-20,144.48,145.51
2023-01-21,145.38,145.5
2023-01-22,146.28,145.48
2023-01-23,147.19,145.46
2023-01-24,148.12,149.69
2023-01-25,142.91,148.12
2023-01-26,140.5,145.66
2023-01-27,138.09,143.2
2023-01-28,138.45,142.32
2023-01-29,138.81,141.43
2023-01-30,139.17,140.55
2023-01-31,142.61,139.57
2023-02-01,139.96,149.0
2023-02-02,141.83,139.91
2023-02-03,141.88,138.93
2023-02-04,142.09,140.14
2023-02-05,142.3,141.35
2023-02-06,142.51,142.56
2023-02-07,143.74,142.56
2023-02-08,144.48,143.79
2023-02-09,146.45,144.24
2023-02-10,148.91,146.69
2023-02-11,143.74,143.29
2023-02-12,138.58,139.88
2023-02-13,133.42,136.47
2023-02-14,131.36,132.83
2023-02-15,135.24,131.75
2023-02-16,136.86,134.8
2023-02-17,134.75,136.66
2023-02-18,134.37,136.03
2023-02-19,133.99,135.39
2023-02-20,133.62,134.75
2023-02-21,134.7,133.76
2023-02-22,132.88,134.55
2023-02-23,130.03,132.83
2023-02-24,122.7,131.31
2023-02-25,120.7,128.36
2023-02-26,118.71,125.41
2023-02-27,116.71,122.46
2023-02-28,120.98,116.95
2023-03-01,122.85,121.92
2023-03-02,121.92,123.1
2023-03-03,123.05,122.56
2023-03-04,124.15,122.74
2023-03-05,125.24,122.92
2023-03-06,126.34,123.1
2023-03-07,127.89,123.98
2023-03-08,129.44,124.87
2023-03-09,130.67,131.36
2023-03-10,131.65,128.8
2023-03-11,130.21,130.11
2023-03-12,128.77,131.42
2023-03-13,127.32,132.73
2023-03-14,124.57,128.55
2023-03-15,123.39,125.75
2023-03-16,124.67,123.93
2023-03-17,125.75,125.65
2023-03-18,125.05,125.69
2023-03-19,124.34,125.72
2023-03-20,123.64,125.75
2023-03-21,123.0,123.98
2023-03-22,122.31,123.83
2023-03-23,124.08,122.41
2023-03-24,122.85,124.08
2023-03-25,122.36,123.6
2023-03-26,121.87,123.13
2023-03-27,121.38,122.65
2023-03-28,121.47,120.93
2023-03-29,122.51,121.47
2023-03-30,122.97,122.68
2023-03-31,123.44,123.88
2023-04-01,124.98,124.21
2023-04-02,126.52,124.54
2023-04-03,128.06,124.87
2023-04-04,129.54,126.34
2023-04-05,131.01,127.82
2023-04-06,131.95,131.9
2023-04-07,131.28,131.74
2023-04-08,130.62,131.58
2023-04-09,129.95,131.42
2023-04-10,129.29,131.26
2023-04-11,121.33,122.9
2023-04-12,122.65,120.05
2023-04-13,126.49,123.0
2023-04-14,128.1,123.94
2023-04-15,129.71,124.89
2023-04-16,131.32,125.84
2023-04-17,132.93,126.78
2023-04-18,133.81,132.83
2023-04-19,140.2,135.68
2023-04-20,141.04,140.2
2023-04-21,142.07,141.09
2023-04-22,142.32,141.74
2023-04-23,142.56,142.4
2023-04-24,142.81,143.06
2023-04-25,141.34,143.79
2023-04-26,140.25,141.78
2023-04-27,139.22,140.84
2023-04-28,139.81,139.61
2023-04-29,140.61,139.81
2023-04-30,141.41,140.01
2023-05-01,142.21,140.2
2023-05-02,143.01,140.4
2023-05-03,144.38,142.51
2023-05-04,145.81,145.32
2023-05-05,144.92,146.5
2023-05-06,143.79,146.14
2023-05-07,142.66,145.78
2023-05-08,141.53,145.42
2023-05-09,140.06,141.58
2023-05-10,139.37,139.61
2023-05-11,143.45,140.11
2023-05-12,141.29,143.25
2023-05-13,141.65,142.38
2023-05-14,142.01,141.52
2023-05-15,142.37,140.65
2023-05-16,149.45,152.4
2023-05-17,151.02,149.69
2023-05-18,147.53,152.25
2023-05-19,148.07,148.17
2023-05-20,147.68,150.2
2023-05-21,147.28,152.23
2023-05-22,146.89,154.26
2023-05-23,147.38,148.46
2023-05-24,147.14,148.46
2023-05-25,145.61,148.81
2023-05-26,147.77,146.45
2023-05-27,148.66,146.79
2023-05-28,149.54,147.14
2023-05-29,150.43,147.48
2023-05-30,150.68,150.43
2023-05-31,148.66,151.81
2023-06-01,152.45,149.4
2023-06-02,157.26,152.59
2023-06-03,158.33,154.49
2023-06-04,159.39,156.39
2023-06-05,160.46,158.3
2023-06-06,161.64,161.15
2023-06-07,161.88,162.13
2023-06-08,164.39,163.31
2023-06-09,163.36,164.93
2023-06-10,165.47,164.67
2023-06-11,167.59,164.41
2023-06-12,169.7,164.15
2023-06-13,170.49,171.08
2023-06-14,183.17,170.98
2023-06-15,177.66,184.84
2023-06-16,180.66,178.6
2023-06-17,184.09,181.33
2023-06-18,187.51,184.07
2023-06-19,190.94,186.81
2023-06-20,190.69,190.74
2023-06-21,205.69,190.45
2023-06-22,204.36,206.47
2023-06-23,199.29,204.41
2023-06-24,199.57,202.65
2023-06-25,199.85,200.9
2023-06-26,200.13,199.15
2023-06-27,201.46,201.41
2023-06-28,193.1,202.05
2023-06-29,196.26,198.56
2023-06-30,199.43,195.08
2023-07-01,199.1,195.93
2023-07-02,198.77,196.79
2023-07-03,198.44,197.65
2023-07-04,194.04,197.75
2023-07-05,202.93,194.14
2023-07-06,219.04,205.5
2023-07-07,223.19,221.36
2023-07-08,225.78,222.67
2023-07-09,228.36,223.97
2023-07-10,230.95,225.27
2023-07-11,237.13,232.14
2023-07-12,233.37,236.09
2023-07-13,235.15,234.61
2023-07-14,229.96,236.68
2023-07-15,230.95,234.85
2023-07-16,231.94,233.03
2023-07-17,232.93,231.2
2023-07-18,227.84,232.88
2023-07-19,235.99,228.23
2023-07-20,235.4,235.89
2023-07-21,226.9,233.96
2023-07-22,227.49,231.91
2023-07-23,228.08,229.85
2023-07-24,228.68,227.79
2023-07-25,232.04,230.41
2023-07-26,227.19,232.04
2023-07-27,236.68,228.53
2023-07-28,231.59,238.16
2023-07-29,231.43,236.43
2023-07-30,231.26,234.71
2023-07-31,231.1,232.98
2023-08-01,252.79,232.04
2023-08-02,257.34,254.96
2023-08-03,276.8,260.89
2023-08-04,284.31,278.98
2023-08-05,280.03,281.15
2023-08-06,275.75,283.33
2023-08-07,271.47,285.5
2023-08-08,266.28,273.54
2023-08-09,277.35,268.6
2023-08-10,282.78,277.64
2023-08-11,279.92,283.57
2023-08-12,279.7,281.94
2023-08-13,279.49,280.31
2023-08-14,279.27,278.68
2023-08-15,279.05,277.79
2023-08-16,278.83,276.9
2023-08-17,275.67,277.84
2023-08-18,298.84,275.82
2023-08-19,300.97,284.68
2023-08-20,303.09,293.54
2023-08-21,305.22,302.4
2023-08-22,311.1,308.77
2023-08-23,300.77,310.3
2023-08-24,298.94,302.35
2023-08-25,278.63,298.45
2023-08-26,274.43,291.13
2023-08-27,270.23,283.82
2023-08-28,266.03,276.51
2023-08-29,266.97,271.62
2023-08-30,280.21,268.55
2023-08-31,274.88,282.44
2023-09-01,283.28,276.7
2023-09-02,281.3,280.0
2023-09-03,279.32,283.29
2023-09-04,277.35,286.59
2023-09-05,271.07,278.68
2023-09-06,270.53,270.82
2023-09-07,270.48,269.79
2023-09-08,280.36,271.17
2023-09-09,279.57,274.89
2023-09-10,278.78,278.62
2023-09-11,277.99,282.34
2023-09-12,263.36,278.43
2023-09-13,260.94,267.17
2023-09-14,271.62,261.39
2023-09-15,293.95,273.39
2023-09-16,293.22,280.1
2023-09-17,292.5,286.8
2023-09-18,291.78,293.5
2023-09-19,287.18,292.12
2023-09-20,282.58,290.74
2023-09-21,278.83,282.58
2023-09-22,273.2,278.68
2023-09-23,272.64,276.85
2023-09-24,272.08,275.02
2023-09-25,271.52,273.2
2023-09-26,284.41,274.09
2023-09-27,279.67,284.41
2023-09-28,273.74,281.05
2023-09-29,280.56,276.9
2023-09-30,280.97,277.82
2023-10-01,281.37,278.73
2023-10-02,281.78,279.64
2023-10-03,282.19,280.56
2023-10-04,276.7,281.5
2023-10-05,276.66,276.75
2023-10-06,280.9,277.69
2023-10-07,277.78,277.08
2023-10-08,274.65,276.47
2023-10-09,271.52,275.86
2023-10-10,275.22,274.73
2023-10-11,281.35,277.69
2023-10-12,284.71,284.41
2023-10-13,287.48,288.27
2023-10-14,285.47,287.71
2023-10-15,283.46,287.15
2023-10-16,281.45,286.59
2023-10-17,278.68,282.88
2023-10-18,280.21,277.69
2023-10-19,277.1,282.39
2023-10-20,271.86,276.75
2023-10-21,264.29,275.55
2023-10-22,256.71,274.35
2023-10-23,249.13,273.15
2023-10-24,251.31,262.57
2023-10-25,253.48,252.0
2023-10-26,248.84,249.73
2023-10-27,262.08,252.0
2023-10-28,261.88,255.62
2023-10-29,261.68,259.25
2023-10-30,261.49,262.87
2023-10-31,259.11,264.2
2023-11-01,262.18,259.11
2023-11-02,262.08,264.85
2023-11-03,262.47,262.42
2023-11-04,267.89,263.23
2023-11-05,273.31,264.04
2023-11-06,278.73,264.85
2023-11-07,282.29,283.62
2023-11-08,282.98,279.67
2023-11-09,284.56,285.8
2023-11-10,305.07,287.08
2023-11-11,306.25,296.12
2023-11-12,307.44,305.17
2023-11-13,308.62,314.21
2023-11-14,314.63,312.73
2023-11-15,320.63,311.24
2023-11-16,323.2,322.16
2023-11-17,316.83,323.84
2023-11-18,320.8,321.31
