Date,Open,Close
2025-01-01,8.33,8.29
2025-01-02,8.15,8.39
2025-01-03,7.97,8.13
2025-01-04,7.87,8.13
2025-01-05,7.77,8.13
2025-01-06,7.67,8.13
2025-01-07,7.71,7.7
2025-01-08,8.48,7.94
2025-01-09,8.81,8.52
2025-01-10,8.19,8.51
2025-01-11,8.02,8.32
2025-01-12,7.84,8.14
2025-01-13,7.67,7.95
2025-01-14,7.92,7.5
2025-01-15,8.12,7.93
2025-01-16,8.34,8.35
2025-01-17,8.36,8.41
2025-01-18,8.44,8.41
2025-01-19,8.52,8.41
2025-01-20,8.6,8.41
2025-01-21,8.22,8.64
2025-01-22,8.03,8.21
2025-01-23,8.03,8.33
2025-01-24,7.89,8.2
2025-01-25,7.91,8.13
2025-01-26,7.93,8.07
2025-01-27,7.95,8.0
2025-01-28,7.96,8.09
2025-01-29,7.96,7.86
2025-01-30,8.04,8.2
2025-01-31,7.95,7.91
2025-02-01,8.15,8.1
2025-02-02,8.05,8.15
2025-02-03,7.96,8.2
2025-02-04,7.96,7.99
2025-02-05,7.95,8.0
2025-02-06,7.95,8.1
2025-02-07,7.84,7.94
2025-02-08,7.81,7.92
2025-02-09,7.77,7.91
2025-02-10,7.74,7.89
2025-02-11,7.55,7.83
2025-02-12,7.36,7.8
2025-02-13,7.38,7.51
2025-02-14,7.01,7.54
2025-02-15,6.97,7.38
2025-02-16,6.94,7.21
2025-02-17,6.9,7.05
2025-02-18,6.59,6.9
2025-02-19,7.09,6.9
2025-02-20,7.19,7.22
2025-02-21,7.39,7.27
2025-02-22,7.34,7.4
2025-02-23,7.3,7.52
2025-02-24,7.25,7.65
2025-02-25,7.02,7.41
2025-02-26,6.88,7.29
2025-02-27,6.74,7.18
2025-02-28,6.37,6.7
2025-03-01,6.28,6.73
2025-03-02,6.2,6.76
2025-03-03,6.11,6.79
2025-03-04,6.22,6.0
2025-03-05,6.51,6.4
2025-03-06,6.48,6.79
2025-03-07,7.08,6.7
2025-03-08,6.98,6.84
2025-03-09,6.88,6.97
2025-03-10,6.78,7.11
2025-03-11,6.52,6.7
2025-03-12,6.31,6.7
2025-03-13,6.13,6.49
2025-03-14,6.08,6.41
2025-03-15,6.03,6.32
2025-03-16,5.97,6.24
2025-03-17,5.92,6.16
2025-03-18,5.92,5.92
2025-03-19,6.36,6.2
2025-03-20,6.23,6.56
2025-03-21,6.23,6.24
2025-03-22,6.24,6.28
2025-03-23,6.24,6.33
2025-03-24,6.25,6.37
2025-03-25,5.96,6.39
2025-03-26,5.72,5.89
2025-03-27,5.8,5.7
2025-03-28,5.51,5.8
2025-03-29,5.5,5.73
2025-03-30,5.49,5.66
2025-03-31,5.48,5.59
2025-04-01,5.47,5.52
2025-04-02,5.99,5.6
2025-04-03,6.34,5.99
2025-04-04,6.36,6.39
2025-04-05,6.24,6.23
2025-04-06,6.12,6.06
2025-04-07,6.0,5.9
2025-04-08,6.25,6.3
2025-04-09,6.2,6.13
2025-04-10,6.2,6.27
2025-04-11,6.2,6.4
2025-04-12,6.25,6.35
2025-04-13,6.3,6.3
2025-04-14,6.36,6.25
2025-04-15,6.41,6.2
2025-04-16,6.43,6.38
2025-04-17,6.52,6.45
2025-04-18,6.55,6.5
2025-04-19,6.59,6.54
2025-04-20,6.62,6.59
2025-04-21,6.65,6.64
2025-04-22,6.7,6.78
2025-04-23,6.87,6.8
2025-04-24,6.69,6.99
2025-04-25,6.25,6.67
2025-04-26,6.28,6.53
2025-04-27,6.3,6.4
2025-04-28,6.33,6.26
2025-04-29,6.25,6.35
2025-04-30,6.13,6.25
2025-05-01,6.14,6.19
2025-05-02,6.16,6.13
2025-05-03,6.13,6.14
2025-05-04,6.09,6.16
2025-05-05,6.06,6.17
2025-05-06,5.98,6.27
2025-05-07,5.95,5.97
2025-05-08,5.85,5.97
2025-05-09,5.88,5.8
2025-05-10,6.0,6.01
2025-05-11,6.11,6.22
2025-05-12,6.23,6.43
2025-05-13,6.37,6.3
2025-05-14,6.56,6.6
2025-05-15,6.56,6.56
2025-05-16,7.87,7.1
2025-05-17,8.05,7.53
2025-05-18,8.22,7.97
2025-05-19,8.4,8.4
2025-05-20,8.16,8.65
2025-05-21,8.9,8.16
2025-05-22,9.03,9.0
2025-05-23,8.67,9.0
2025-05-24,8.53,8.92
2025-05-25,8.4,8.83
2025-05-26,8.26,8.75
2025-05-27,8.55,8.22
2025-05-28,8.51,8.4
2025-05-29,8.35,8.51
2025-05-30,8.24,8.35
2025-05-31,8.22,8.34
2025-06-01,8.21,8.33
2025-06-02,8.19,8.32
2025-06-03,8.59,8.36
2025-06-04,9.01,8.6
2025-06-05,9.46,9.46
2025-06-06,9.93,9.93
2025-06-07,10.09,10.09
2025-06-08,10.26,10.26
2025-06-09,10.42,10.42
2025-06-10,10.6,10.6
2025-06-11,10.38,10.38
2025-06-12,10.17,10.17
2025-06-13,9.96,9.96
2025-06-14,9.89,9.89
2025-06-15,9.83,9.83
2025-06-16,9.76,9.76
2025-06-17,9.56,9.56
2025-06-18,9.36,9.36
2025-06-19,9.17,9.17
2025-06-20,8.98,8.98
2025-06-21,9.04,9.04
2025-06-22,9.09,9.09
2025-06-23,9.15,9.15
2025-06-24,9.33,9.33
2025-06-25,9.51,9.51
2025-06-26,9.7,9.7
2025-06-27,9.6,9.6
2025-06-28,9.53,9.53
2025-06-29,9.47,9.47
2025-06-30,9.4,9.4
2025-07-01,9.21,9.21
2025-07-02,9.11,9.11
2025-07-03,9.29,9.29
2025-07-04,9.47,9.47
2025-07-05,9.41,9.41
2025-07-06,9.34,9.34
2025-07-07,9.28,9.28
2025-07-08,9.26,9.26
2025-07-09,9.07,9.07
2025-07-10,9.25,9.25
2025-07-11,9.2,9.2
2025-07-12,9.1,9.28
2025-07-13,9.01,9.37
2025-07-14,8.91,9.45
