Date,Open,Close
2021-01-01,6.05,5.85
2021-01-02,6.02,5.95
2021-01-03,5.98,6.05
2021-01-04,5.95,6.15
2021-01-05,5.85,5.9
2021-01-06,5.8,5.9
2021-01-07,5.8,5.8
2021-01-08,5.75,5.8
2021-01-09,5.67,5.78
2021-01-10,5.58,5.77
2021-01-11,5.5,5.75
2021-01-12,5.55,5.5
2021-01-13,5.6,5.6
2021-01-14,5.6,5.7
2021-01-15,5.55,5.65
2021-01-16,5.48,5.62
2021-01-17,5.42,5.58
2021-01-18,5.35,5.55
2021-01-19,5.4,5.35
2021-01-20,5.4,5.4
2021-01-21,5.4,5.45
2021-01-22,5.2,5.4
2021-01-23,5.27,5.35
2021-01-24,5.33,5.3
2021-01-25,5.4,5.25
2021-01-26,5.33,5.33
2021-01-27,5.25,5.4
2021-01-28,5.3,5.2
2021-01-29,5.4,5.25
2021-01-30,5.4,5.32
2021-01-31,5.4,5.38
2021-02-01,5.4,5.45
2021-02-02,5.3,5.4
2021-02-03,5.35,5.35
2021-02-04,5.35,5.4
2021-02-05,5.1,5.4
2021-02-06,5.18,5.3
2021-02-07,5.27,5.2
2021-02-08,5.35,5.1
2021-02-09,5.4,5.5
2021-02-10,5.3,5.4
2021-02-11,5.3,5.35
2021-02-12,5.55,5.55
2021-02-13,5.58,5.63
2021-02-14,5.62,5.72
2021-02-15,5.65,5.8
2021-02-16,5.6,5.6
2021-02-17,5.65,5.6
2021-02-18,5.75,5.65
2021-02-19,5.9,5.75
2021-02-20,5.97,5.82
2021-02-21,6.03,5.88
2021-02-22,6.1,5.95
2021-02-23,6.3,6.2
2021-02-24,6.15,6.4
2021-02-25,6.0,6.2
2021-02-26,5.95,6.0
2021-02-27,6.03,6.02
2021-02-28,6.12,6.03
2021-03-01,6.2,6.05
2021-03-02,6.5,6.5
2021-03-03,6.8,6.8
2021-03-04,7.1,6.9
2021-03-05,6.9,7.3
2021-03-06,6.88,7.22
2021-03-07,6.87,7.13
2021-03-08,6.85,7.05
2021-03-09,6.75,6.95
2021-03-10,6.9,6.75
2021-03-11,6.88,6.9
2021-03-12,6.85,7.05
2021-03-13,6.95,6.98
2021-03-14,7.05,6.92
2021-03-15,7.15,6.85
2021-03-16,7.0,7.2
2021-03-17,6.65,7.0
2021-03-18,6.35,6.7
2021-03-19,6.45,6.2
2021-03-20,6.42,6.3
2021-03-21,6.38,6.4
2021-03-22,6.35,6.5
2021-03-23,6.45,6.5
2021-03-24,6.25,6.45
2021-03-25,6.05,6.25
2021-03-26,6.05,6.05
